State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Alabama,Autauga County,1001020100,1912,217,44,83.5,,0,13.7
Alabama,Autauga County,1001020200,2170,1214,75,81.3,714287.81,329.2,59.4
Alabama,Autauga County,1001020300,3373,647,87,79.5,,0,21.8
Alabama,Autauga County,1001020400,4386,191,85,83.5,,0,6.3
Alabama,Autauga County,1001020500,10766,1418,355,77.3,235000,21.8,16.5
Alabama,Autauga County,1001020600,3668,738,176,82.8,,0,24.9
Alabama,Autauga County,1001020700,2891,434,98,83.2,,0,18.4
Alabama,Autauga County,1001020801,3081,278,57,85.5,,0,10.9
Alabama,Autauga County,1001020802,10435,1380,159,85.4,,0,14.7
Alabama,Autauga County,1001020900,5675,677,96,83,,0,13.6
Alabama,Autauga County,1001021000,2894,601,39,86.7,338000,116.8,22.1
Alabama,Autauga County,1001021100,3320,1800,39,81.2,,0,55.4
Alabama,Baldwin County,1003010100,3804,822,16,73.6,,0,22.0
Alabama,Baldwin County,1003010200,2902,271,46,78,,0,10.9
Alabama,Baldwin County,1003010300,7826,1428,128,81.2,,0,19.9
Alabama,Baldwin County,1003010400,4736,250,71,79.2,,0,6.8
Alabama,Baldwin County,1003010500,4815,662,76,81.8,385000,80.0,15.3
Alabama,Baldwin County,1003010600,3325,1848,92,72.1,,0,58.3
Alabama,Baldwin County,1003010701,7882,221,160,82.2,,0,4.8
Alabama,Baldwin County,1003010703,13166,1070,343,86.1,,0,10.7
Alabama,Baldwin County,1003010704,5055,327,155,75.6,,0,9.5
Alabama,Baldwin County,1003010705,8331,1024,280,77.4,,0,15.7
Alabama,Baldwin County,1003010800,6861,1631,109,81.5,253621.48,37.0,25.4
Alabama,Baldwin County,1003010903,5173,945,159,79,,0,21.3
Alabama,Baldwin County,1003010904,6831,137,187,79,,0,4.7
Alabama,Baldwin County,1003010905,8011,409,718,77.5,,0,14.1
Alabama,Baldwin County,1003010906,4302,188,221,80.9,,0,9.5
Alabama,Baldwin County,1003011000,4305,279,356,78.1,,0,14.8
Alabama,Baldwin County,1003011101,8397,440,326,84.7,,0,9.1
Alabama,Baldwin County,1003011102,3715,156,154,78.9,,0,8.3
Alabama,Baldwin County,1003011201,4230,109,95,79.2,,0,4.8
Alabama,Baldwin County,1003011202,5065,1142,99,81.9,,0,24.5
Alabama,Baldwin County,1003011300,4487,182,110,77,,0,6.5
Alabama,Baldwin County,1003011401,10632,953,775,77.9,,0,16.3
Alabama,Baldwin County,1003011403,9131,191,960,75.1,,0,12.6
Alabama,Baldwin County,1003011501,5316,355,407,83.4,,0,14.3
Alabama,Baldwin County,1003011502,10534,1672,1314,77.8,,0,28.3
Alabama,Baldwin County,1003011601,6062,58,233,82.2,,0,4.8
Alabama,Baldwin County,1003011602,4895,114,98,90.4,,0,4.3
Alabama,Barbour County,1005950100,3321,1595,144,78.7,,0,52.4
Alabama,Barbour County,1005950200,4264,2752,32,67.4,434576,101.9,65.3
Alabama,Barbour County,1005950300,1638,862,67,77.9,,0,56.7
Alabama,Barbour County,1005950400,4303,1716,566,75.7,350000,81.3,53.0
Alabama,Barbour County,1005950500,3467,744,172,68.3,256326,73.9,26.4
Alabama,Barbour County,1005950600,2099,890,46,79.4,187000,89.1,44.6
Alabama,Barbour County,1005950700,1727,921,43,79.6,91825.59,53.2,55.8
Alabama,Barbour County,1005950800,2055,829,57,83.5,,0,43.1
Alabama,Barbour County,1005950900,4583,2511,260,74.6,,0,60.5
Alabama,Bibb County,1007010001,2732,269,76,76.5,,0,12.6
Alabama,Bibb County,1007010002,6025,321,76,73.4,204491.06,33.9,6.6
Alabama,Bibb County,1007010003,5391,814,84,67.8,943427.25,175.0,16.7
Alabama,Bibb County,1007010004,8767,3620,170,67,494608.32,56.4,43.2
Alabama,Blount County,1009050101,7858,238,1325,82.3,,0,19.9
Alabama,Blount County,1009050102,7050,175,941,83.5,398755.45,56.6,15.8
Alabama,Blount County,1009050200,3789,16,673,80.2,,0,18.2
Alabama,Blount County,1009050300,5269,14,479,83.4,,0,9.4
Alabama,Blount County,1009050400,4451,13,218,84,,0,5.2
Alabama,Blount County,1009050500,7329,29,631,81.5,,0,9.0
Alabama,Blount County,1009050601,3922,9,29,84.3,,0,1.0
Alabama,Blount County,1009050602,8923,161,96,84.1,,0,2.9
Alabama,Blount County,1009050700,8731,69,234,83.9,,0,3.5
Alabama,Bullock County,1011952100,1434,1279,12,66.7,,0,90.0
Alabama,Bullock County,1011952200,7102,5076,725,47.6,129512,18.2,81.7
Alabama,Bullock County,1011952500,2378,1282,40,34.3,,0,55.6
Alabama,Butler County,1013952700,2439,1059,17,73.7,,0,44.1
Alabama,Butler County,1013952800,1394,287,25,79.3,,0,22.4
Alabama,Butler County,1013952900,2180,1208,25,61,,0,56.6
Alabama,Butler County,1013953000,1469,556,3,61.3,,0,38.1
Alabama,Butler County,1013953100,3023,2181,35,72.4,,0,73.3
Alabama,Butler County,1013953200,4327,1617,46,70.5,,0,38.4
Alabama,Butler County,1013953300,1774,178,9,61.7,,0,10.5
Alabama,Butler County,1013953400,2931,1636,14,70.9,,0,56.3
Alabama,Butler County,1013953500,1410,325,17,74.8,,0,24.3
Alabama,Calhoun County,1015000200,3104,1705,89,79.1,612672.14,197.4,57.8
Alabama,Calhoun County,1015000300,2951,2367,48,74.9,1634448.06,553.9,81.8
Alabama,Calhoun County,1015000400,2812,1703,57,82.5,233505.2,83.0,62.6
Alabama,Calhoun County,1015000500,1814,1638,18,70.7,1655033.63,912.4,91.3
Alabama,Calhoun County,1015000600,2191,1590,35,63.9,177904.66,81.2,74.2
Alabama,Calhoun County,1015000700,2715,1092,102,78.9,79232.84,29.2,44.0
Alabama,Calhoun County,1015000800,1379,600,67,79.7,4072453.77,2953.2,48.4
Alabama,Calhoun County,1015000900,3362,590,70,80.9,126567.13,37.6,19.6
Alabama,Calhoun County,1015001000,5792,1176,372,78,33466.35,5.8,26.7
Alabama,Calhoun County,1015001100,6565,863,628,81,,0,22.7
Alabama,Calhoun County,1015001201,3482,1007,261,80.8,19903.9,5.7,36.4
Alabama,Calhoun County,1015001202,4318,512,429,82.4,,0,21.8
Alabama,Calhoun County,1015001300,2211,64,41,75.6,,0,4.7
Alabama,Calhoun County,1015001400,3731,724,75,82.1,,0,21.4
Alabama,Calhoun County,1015001500,5198,427,180,84.3,,0,11.7
Alabama,Calhoun County,1015001600,3791,532,171,79,2127,0.6,18.5
Alabama,Calhoun County,1015001700,6329,1381,184,80,,0,24.7
Alabama,Calhoun County,1015001800,6919,849,160,83.1,,0,14.6
Alabama,Calhoun County,1015002000,7335,354,221,85.1,,0,7.8
Alabama,Calhoun County,1015002101,3992,1664,75,56.3,,0,43.6
Alabama,Calhoun County,1015002102,3411,465,71,85.7,,0,15.7
Alabama,Calhoun County,1015002103,6801,1386,192,74.7,,0,23.2
Alabama,Calhoun County,1015002200,3652,126,46,85.2,,0,4.7
Alabama,Calhoun County,1015002300,3843,466,56,82.5,376771.57,98.0,13.6
Alabama,Calhoun County,1015002400,4518,88,71,84.7,,0,3.5
Alabama,Calhoun County,1015002501,7069,568,76,84,,0,9.1
Alabama,Calhoun County,1015002502,4661,77,41,84.2,127500,27.4,2.5
Alabama,Calhoun County,1015002600,4615,160,57,85.4,,0,4.7
Alabama,Chambers County,1017953800,3619,1006,38,81.6,,0,28.8
Alabama,Chambers County,1017953900,2900,1470,17,80.7,,0,51.3
Alabama,Chambers County,1017954000,6669,3776,109,82,141620.61,21.2,58.3
Alabama,Chambers County,1017954200,3257,742,40,81.7,,0,24.0
Alabama,Chambers County,1017954300,4708,1831,43,79.2,,0,39.8
Alabama,Chambers County,1017954400,995,789,18,80.5,,0,81.1
Alabama,Chambers County,1017954500,3804,1702,139,79.9,,0,48.4
Alabama,Chambers County,1017954600,3411,568,74,78.3,,0,18.8
Alabama,Chambers County,1017954700,4852,1322,58,81.7,,0,28.4
Alabama,Cherokee County,1019955701,3332,277,34,71.6,,0,9.3
Alabama,Cherokee County,1019955702,3872,14,19,73.6,,0,0.9
Alabama,Cherokee County,1019955800,5561,122,127,76.2,,0,4.5
Alabama,Cherokee County,1019955900,4235,307,50,84.9,,0,8.4
Alabama,Cherokee County,1019956000,4017,251,33,85.4,755842.11,188.2,7.1
Alabama,Cherokee County,1019956100,4972,235,57,82.3,,0,5.9
Alabama,Chilton County,1021060101,5219,1272,452,78.8,,0,33.0
Alabama,Chilton County,1021060102,6303,615,458,81.3,200000,31.7,17.0
Alabama,Chilton County,1021060200,2807,14,41,81.8,,0,2.0
Alabama,Chilton County,1021060300,3808,25,324,78.7,,0,9.2
Alabama,Chilton County,1021060401,5466,380,467,81.3,,0,15.5
Alabama,Chilton County,1021060402,8776,587,1083,80.4,,0,19.0
Alabama,Chilton County,1021060500,2902,656,45,85.4,,0,24.2
