State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
District of Columbia,District of Columbia,11001000100,4890,101,296,81.6,,0,8.1
District of Columbia,District of Columbia,11001000201,3916,249,275,100,,0,13.4
District of Columbia,District of Columbia,11001000202,5425,150,343,78.7,150,0.0,9.1
District of Columbia,District of Columbia,11001000300,6233,135,404,77,,0,8.6
District of Columbia,District of Columbia,11001000400,1455,46,123,75.6,,0,11.6
District of Columbia,District of Columbia,11001000501,3376,122,231,88.8,,0,10.5
District of Columbia,District of Columbia,11001000502,3189,89,271,84.7,,0,11.3
District of Columbia,District of Columbia,11001000600,4539,217,332,87,97500,21.5,12.1
District of Columbia,District of Columbia,11001000701,4620,215,407,84.1,,0,13.5
District of Columbia,District of Columbia,11001000702,3364,180,357,80.7,,0,16.0
District of Columbia,District of Columbia,11001000801,6709,299,572,79,,0,13.0
District of Columbia,District of Columbia,11001000802,2869,98,231,80.1,,0,11.5
District of Columbia,District of Columbia,11001000901,7175,249,436,84.8,,0,9.5
District of Columbia,District of Columbia,11001000902,2092,63,107,85.6,,0,8.1
District of Columbia,District of Columbia,11001001001,7436,295,512,86.8,,0,10.9
District of Columbia,District of Columbia,11001001002,3442,178,271,81.5,,0,13.0
District of Columbia,District of Columbia,11001001100,4779,290,306,84,224997.5,47.1,12.5
District of Columbia,District of Columbia,11001001200,5008,263,399,85,,0,13.2
District of Columbia,District of Columbia,11001001301,3955,367,290,82.2,,0,16.6
District of Columbia,District of Columbia,11001001302,6857,371,483,81.7,,0,12.5
District of Columbia,District of Columbia,11001001401,3078,176,210,83.1,,0,12.5
District of Columbia,District of Columbia,11001001402,2998,350,232,78.9,,0,19.4
District of Columbia,District of Columbia,11001001500,5911,637,304,90,,0,15.9
District of Columbia,District of Columbia,11001001600,3957,2621,200,84.8,2722221.44,688.0,71.3
District of Columbia,District of Columbia,11001001702,2644,1325,212,83.2,478896.07,181.1,58.1
District of Columbia,District of Columbia,11001001803,3514,2340,838,70.4,,0,90.4
District of Columbia,District of Columbia,11001001804,4480,2933,1211,72.7,14271952.31,3185.7,92.5
District of Columbia,District of Columbia,11001001901,4016,2965,625,78.1,962268.2,239.6,89.4
District of Columbia,District of Columbia,11001001902,1969,1525,179,77.5,214998.3,109.2,86.5
District of Columbia,District of Columbia,11001002001,2340,1138,629,79.5,,0,75.5
District of Columbia,District of Columbia,11001002002,3813,2247,794,78.5,57753,15.1,79.8
District of Columbia,District of Columbia,11001002101,5309,3203,1651,77,1495670.99,281.7,91.4
District of Columbia,District of Columbia,11001002102,4648,3512,724,77.3,4400096,946.7,91.1
District of Columbia,District of Columbia,11001002201,3442,2281,823,71.9,,0,90.2
District of Columbia,District of Columbia,11001002202,3087,2130,648,75.2,3500,1.1,90.0
District of Columbia,District of Columbia,11001002301,2974,2113,402,79.4,0,0.0,84.6
District of Columbia,District of Columbia,11001002302,2036,860,84,69.6,,0,46.4
District of Columbia,District of Columbia,11001002400,3618,2240,685,76.4,170000,47.0,80.8
District of Columbia,District of Columbia,11001002501,2554,1398,589,75.9,,0,77.8
District of Columbia,District of Columbia,11001002502,5973,2363,2532,76,309500,51.8,82.0
District of Columbia,District of Columbia,11001002600,2166,1017,149,83.4,,0,53.8
District of Columbia,District of Columbia,11001002701,5233,1236,1269,79.5,733387.71,140.1,47.9
District of Columbia,District of Columbia,11001002702,5226,652,1303,80.5,4137000,791.6,37.4
District of Columbia,District of Columbia,11001002801,3773,1321,1382,73.5,12394750,3285.1,71.6
District of Columbia,District of Columbia,11001002802,4277,1034,1843,75.2,10215059.08,2388.4,67.3
District of Columbia,District of Columbia,11001002900,3962,1213,1370,75,5318178.48,1342.3,65.2
District of Columbia,District of Columbia,11001003000,3398,1409,532,74.9,34200863.72,10065.0,57.1
District of Columbia,District of Columbia,11001003100,2885,1056,1037,76.9,,0,72.5
District of Columbia,District of Columbia,11001003200,4913,2836,1188,74.9,637817,129.8,81.9
District of Columbia,District of Columbia,11001003301,3198,1972,125,73.8,,0,65.6
District of Columbia,District of Columbia,11001003302,2134,1197,128,76.1,0,0.0,62.1
District of Columbia,District of Columbia,11001003400,4347,3295,239,73.9,975000,224.3,81.3
District of Columbia,District of Columbia,11001003500,3740,2620,371,72.1,4035436.1,1079.0,80.0
District of Columbia,District of Columbia,11001003600,4208,1604,809,77.9,1953183.37,464.2,57.3
District of Columbia,District of Columbia,11001003700,5763,2405,1514,74.4,4686625.79,813.2,68.0
District of Columbia,District of Columbia,11001003800,4614,796,935,82.4,13118704.97,2843.2,37.5
District of Columbia,District of Columbia,11001003900,4474,546,553,84.9,234446.82,52.4,24.6
District of Columbia,District of Columbia,11001004001,3745,133,345,81.9,647270.74,172.8,12.8
District of Columbia,District of Columbia,11001004002,2797,209,250,83.7,14002219.52,5006.2,16.4
District of Columbia,District of Columbia,11001004100,2708,108,259,81.1,,0,13.6
District of Columbia,District of Columbia,11001004201,3342,236,266,79.1,50000,15.0,15.0
District of Columbia,District of Columbia,11001004202,2771,126,215,84.5,,0,12.3
District of Columbia,District of Columbia,11001004300,3255,889,492,83.3,2951867.8,906.9,42.4
District of Columbia,District of Columbia,11001004400,4572,982,417,83.1,4002742.53,875.5,30.6
District of Columbia,District of Columbia,11001004600,3028,1929,221,71.2,1693808.54,559.4,71.0
District of Columbia,District of Columbia,11001004701,3986,2725,108,71.8,5666957.75,1421.7,71.1
District of Columbia,District of Columbia,11001004702,1802,844,95,77.6,1546743.5,858.3,52.1
District of Columbia,District of Columbia,11001004801,2143,952,191,78.4,840565.36,392.2,53.3
District of Columbia,District of Columbia,11001004802,2922,1457,223,74.9,0,0.0,57.5
District of Columbia,District of Columbia,11001004901,2087,1060,178,76.3,2820769.14,1351.6,59.3
District of Columbia,District of Columbia,11001004902,2690,805,468,75.2,2866815.75,1065.7,47.3
District of Columbia,District of Columbia,11001005001,1955,474,169,81.5,,0,32.9
District of Columbia,District of Columbia,11001005002,6021,1120,1676,75.9,2483221.8,412.4,46.4
District of Columbia,District of Columbia,11001005201,6077,757,612,82.9,6151275.58,1012.2,22.5
District of Columbia,District of Columbia,11001005301,5051,171,432,85.8,,0,11.9
District of Columbia,District of Columbia,11001005500,6671,613,493,80.2,,0,16.6
District of Columbia,District of Columbia,11001005600,6756,495,428,80.6,,0,13.7
District of Columbia,District of Columbia,11001005800,2830,262,180,82.2,1497372.29,529.1,15.6
District of Columbia,District of Columbia,11001005900,2998,806,223,81.5,0,0.0,34.3
District of Columbia,District of Columbia,11001006400,2139,1839,65,71.7,3296140.01,1541.0,89.0
District of Columbia,District of Columbia,11001006500,2531,222,123,84.8,,0,13.6
District of Columbia,District of Columbia,11001006600,1909,56,78,84.6,,0,7.0
District of Columbia,District of Columbia,11001006700,3775,447,147,84.2,,0,15.7
District of Columbia,District of Columbia,11001006801,1949,1183,74,80.7,7554949,3876.3,64.5
District of Columbia,District of Columbia,11001006802,2084,1009,94,84,0,0.0,52.9
District of Columbia,District of Columbia,11001006804,3670,3138,315,83.3,,0,94.1
District of Columbia,District of Columbia,11001006900,2179,630,87,82,1042500.34,478.4,32.9
District of Columbia,District of Columbia,11001007000,2812,423,162,86.9,6753549.16,2401.7,20.8
District of Columbia,District of Columbia,11001007100,2911,1691,158,79.3,194570.33,66.8,63.5
District of Columbia,District of Columbia,11001007200,2794,851,155,80.5,9107309.55,3259.6,36.0
District of Columbia,District of Columbia,11001007301,3012,717,391,80.8,,0,36.8
District of Columbia,District of Columbia,11001007304,3546,3420,38,70.2,7741109.17,2183.1,97.5
District of Columbia,District of Columbia,11001007401,2414,2342,31,65.1,,0,98.3
District of Columbia,District of Columbia,11001007403,2859,2792,24,66.3,1871414,654.6,98.5
District of Columbia,District of Columbia,11001007404,3310,3147,64,70.7,665628.09,201.1,97.0
District of Columbia,District of Columbia,11001007406,3063,2950,71,60.6,,0,98.6
District of Columbia,District of Columbia,11001007407,2587,2469,36,73.7,4325888.97,1672.2,96.8
District of Columbia,District of Columbia,11001007408,3038,2939,32,65.2,627371.89,206.5,97.8
District of Columbia,District of Columbia,11001007409,3499,3399,34,69.2,19188080.75,5483.9,98.1
District of Columbia,District of Columbia,11001007502,4541,4357,57,70.7,812114.27,178.8,97.2
District of Columbia,District of Columbia,11001007503,2425,2308,37,66.7,33063794.26,13634.6,96.7
District of Columbia,District of Columbia,11001007504,2451,2370,6,61.4,5074312.63,2070.3,96.9
District of Columbia,District of Columbia,11001007601,4355,4075,61,76.2,2559479.37,587.7,95.0
District of Columbia,District of Columbia,11001007603,4044,3613,89,80,,0,91.5
District of Columbia,District of Columbia,11001007604,3644,3387,59,78.2,5007078.12,1374.1,94.6
District of Columbia,District of Columbia,11001007605,3447,3278,43,73.4,,0,96.3
District of Columbia,District of Columbia,11001007703,5187,4886,186,74.6,1192546.95,229.9,97.8
District of Columbia,District of Columbia,11001007707,3867,3712,64,76.2,0,0.0,97.6
District of Columbia,District of Columbia,11001007708,2486,2395,35,73.6,,0,97.7
District of Columbia,District of Columbia,11001007709,2007,1884,47,74.4,400595.1,199.6,96.2
District of Columbia,District of Columbia,11001007803,3293,3102,103,72.5,,0,97.3
District of Columbia,District of Columbia,11001007804,3446,3277,69,76.4,5608619.32,1627.6,97.1
District of Columbia,District of Columbia,11001007806,2347,2208,75,73.2,,0,97.3
District of Columbia,District of Columbia,11001007807,2139,2043,49,74,701689.42,328.0,97.8
District of Columbia,District of Columbia,11001007808,3646,3470,77,75.6,0,0.0,97.3
District of Columbia,District of Columbia,11001007809,2922,2753,86,75.1,0,0.0,97.2
District of Columbia,District of Columbia,11001007901,3822,3240,115,73.7,5659.65,1.5,87.8
District of Columbia,District of Columbia,11001007903,1774,1518,95,79.4,0,0.0,90.9
District of Columbia,District of Columbia,11001008001,2784,1235,138,87.5,915123.34,328.7,49.3
District of Columbia,District of Columbia,11001008002,3031,1152,114,85.1,,0,41.8
District of Columbia,District of Columbia,11001008100,2910,413,133,83.9,91300,31.4,18.8
District of Columbia,District of Columbia,11001008200,2918,152,134,81.6,,0,9.8
District of Columbia,District of Columbia,11001008301,2279,373,80,86.6,1563332.13,686.0,19.9
District of Columbia,District of Columbia,11001008302,2206,487,94,86.6,,0,26.3
District of Columbia,District of Columbia,11001008402,2149,830,99,84.1,6956650,3237.2,43.2
District of Columbia,District of Columbia,11001008410,1489,942,71,77.3,137000,92.0,68.0
District of Columbia,District of Columbia,11001008701,2407,1856,114,74.5,0,0.0,81.8
District of Columbia,District of Columbia,11001008702,1599,1265,103,72.5,5427875.86,3394.5,85.6
District of Columbia,District of Columbia,11001008802,4119,3555,172,76.4,448959.17,109.0,90.5
District of Columbia,District of Columbia,11001008803,2037,1117,167,56.6,,0,63.0
District of Columbia,District of Columbia,11001008804,2412,2167,130,67,657000,272.4,95.2
District of Columbia,District of Columbia,11001008903,2633,2481,67,69.5,299999.99,113.9,96.8
District of Columbia,District of Columbia,11001008904,3309,3154,61,69.2,,0,97.2
District of Columbia,District of Columbia,11001009000,2732,2412,76,78.9,,0,91.1
District of Columbia,District of Columbia,11001009102,4127,3784,173,72.7,5603438.22,1357.8,95.9
District of Columbia,District of Columbia,11001009201,1976,1006,185,77.7,779083.43,394.3,60.3
District of Columbia,District of Columbia,11001009203,2582,2079,167,77.6,0,0.0,87.0
District of Columbia,District of Columbia,11001009204,2557,2044,318,68.7,5462944.52,2136.5,92.4
District of Columbia,District of Columbia,11001009301,3143,1891,221,77.7,3813977.68,1213.5,67.2
District of Columbia,District of Columbia,11001009302,1189,821,125,79.4,1494042.08,1256.6,79.6
District of Columbia,District of Columbia,11001009400,4163,3424,266,81.8,156587.94,37.6,88.6
District of Columbia,District of Columbia,11001009501,5797,2778,831,72.8,,0,62.3
District of Columbia,District of Columbia,11001009503,2910,2276,113,84.4,,0,82.1
District of Columbia,District of Columbia,11001009504,3025,2187,120,82.7,999800,330.5,76.3
District of Columbia,District of Columbia,11001009505,2630,2249,201,79.7,2063189,784.5,93.2
District of Columbia,District of Columbia,11001009507,1489,1292,156,82.3,,0,97.2
District of Columbia,District of Columbia,11001009508,3290,2793,235,78.6,990000,300.9,92.0
District of Columbia,District of Columbia,11001009509,2940,2565,169,82,7705000,2620.7,93.0
District of Columbia,District of Columbia,11001009601,2445,2357,36,73.7,,0,97.9
District of Columbia,District of Columbia,11001009602,3280,3156,40,70,24288651,7405.1,97.4
District of Columbia,District of Columbia,11001009603,3373,3220,62,74.6,4790044.33,1420.1,97.3
