State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Idaho,Ada County,16001000100,3897,59,297,78.2,5833646.86,1497.0,9.1
Idaho,Ada County,16001000201,3196,18,73,84.7,,0,2.8
Idaho,Ada County,16001000202,5435,25,150,88.8,12550,2.3,3.2
Idaho,Ada County,16001000302,3284,74,130,84.1,5273.9,1.6,6.2
Idaho,Ada County,16001000303,2087,19,109,79.6,4655,2.2,6.1
Idaho,Ada County,16001000304,6394,41,376,86.4,111513.12,17.4,6.5
Idaho,Ada County,16001000400,5936,223,459,83.6,178298.92,30.0,11.5
Idaho,Ada County,16001000500,5957,82,284,82.8,408430.35,68.6,6.1
Idaho,Ada County,16001000600,5446,18,208,81.9,100775.2,18.5,4.1
Idaho,Ada County,16001000701,4686,40,187,83.5,,0,4.8
Idaho,Ada County,16001000702,3144,25,132,91.4,,0,5.0
Idaho,Ada County,16001000802,5397,35,304,84.4,111290,20.6,6.3
Idaho,Ada County,16001000803,4354,48,191,88.8,105564.28,24.2,5.5
Idaho,Ada County,16001000804,5604,57,341,77.7,17000,3.0,7.1
Idaho,Ada County,16001000805,3158,5,70,92,10000,3.2,2.4
Idaho,Ada County,16001000900,5760,112,643,80.2,796915.82,138.4,13.1
Idaho,Ada County,16001001000,5997,268,395,78.8,10321090.1,1721.0,11.1
Idaho,Ada County,16001001100,4093,59,1036,81,350066,85.5,26.8
Idaho,Ada County,16001001201,3484,39,167,88.1,,0,5.9
Idaho,Ada County,16001001202,6391,190,617,78.2,328350.85,51.4,12.6
Idaho,Ada County,16001001400,5382,143,451,77.3,108166.75,20.1,11.0
Idaho,Ada County,16001001500,3494,37,191,83.6,437358,125.2,6.5
Idaho,Ada County,16001001600,4167,34,373,81.3,26764.99,6.4,9.8
Idaho,Ada County,16001001700,5715,187,656,77.5,1539907.95,269.5,14.8
Idaho,Ada County,16001001800,4485,45,355,82.3,491777.35,109.6,8.9
Idaho,Ada County,16001001900,5070,46,577,83.3,268338.46,52.9,12.3
Idaho,Ada County,16001002000,5746,202,965,73.3,1751760.17,304.9,20.3
Idaho,Ada County,16001002100,1807,4,98,88,,0,5.6
Idaho,Ada County,16001002221,8585,44,447,86.5,,0,5.7
Idaho,Ada County,16001002222,5144,37,373,84.7,,0,8.0
Idaho,Ada County,16001002223,4228,21,143,89.6,,0,3.9
Idaho,Ada County,16001002224,5637,30,348,87.5,9000,1.6,6.7
Idaho,Ada County,16001002302,7852,88,1230,81.1,285411.17,36.3,16.8
Idaho,Ada County,16001002310,9313,116,841,81.8,184939,19.9,10.3
Idaho,Ada County,16001002312,5278,64,561,81.7,325505.31,61.7,11.8
Idaho,Ada County,16001002313,3993,45,332,80.9,88849.02,22.3,9.4
Idaho,Ada County,16001002410,7051,60,324,89,110976.04,15.7,5.4
Idaho,Ada County,16001002411,5269,33,319,87.3,126009.99,23.9,6.7
