State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Indiana,Adams County,18001030100,4737,4,179,89.4,,0,3.9
Indiana,Adams County,18001030200,4971,19,408,82.2,,0,8.6
Indiana,Adams County,18001030300,5506,32,425,81.3,,0,8.3
Indiana,Adams County,18001030400,3400,0,74,88.6,,0,2.2
Indiana,Adams County,18001030500,6070,9,55,86.3,159011.29,26.2,1.1
Indiana,Adams County,18001030600,3412,25,163,84.4,50000,14.7,5.5
Indiana,Adams County,18001030700,6291,13,108,75.4,1035850,164.7,1.9
Indiana,Allen County,18003000100,2358,81,83,83.1,53828.26,22.8,7.0
Indiana,Allen County,18003000300,3298,119,169,80.3,33438.38,10.1,8.7
Indiana,Allen County,18003000400,2569,193,129,79.3,89060.67,34.7,12.5
Indiana,Allen County,18003000500,2945,240,307,79.3,18483,6.3,18.6
Indiana,Allen County,18003000600,1975,85,223,73.9,1550,0.8,15.6
Indiana,Allen County,18003000701,3108,131,319,71.9,51740.8,16.6,14.5
Indiana,Allen County,18003000704,2419,245,176,72.7,,0,17.4
Indiana,Allen County,18003000800,4113,131,248,81.6,47957.8,11.7,9.2
Indiana,Allen County,18003000900,3166,140,220,74.5,86533.76,27.3,11.4
Indiana,Allen County,18003001000,1247,68,94,80.4,34500,27.7,13.0
Indiana,Allen County,18003001100,1559,140,73,74.1,348920.83,223.8,13.7
Indiana,Allen County,18003001200,1079,185,80,70.9,745811.86,691.2,24.6
Indiana,Allen County,18003001300,2277,804,158,72.3,30091700.02,13215.5,42.2
Indiana,Allen County,18003001600,2206,659,407,72.9,98048.27,44.4,48.3
Indiana,Allen County,18003001700,2177,1405,450,68.4,1073637.71,493.2,85.2
Indiana,Allen County,18003002000,3321,679,704,69.2,563196.99,169.6,41.6
Indiana,Allen County,18003002100,2344,274,420,71.5,175194.12,74.7,29.6
Indiana,Allen County,18003002200,4221,572,595,76.9,56960.46,13.5,27.6
Indiana,Allen County,18003002300,5180,2576,1029,72.5,135994.88,26.3,69.6
Indiana,Allen County,18003002500,3152,323,329,78.9,62710.97,19.9,20.7
Indiana,Allen County,18003002600,3347,614,641,79.1,167055.49,49.9,37.5
Indiana,Allen County,18003002800,2065,1327,391,73.3,359014.61,173.9,83.2
Indiana,Allen County,18003002900,2368,1340,486,73.2,49361,20.8,77.1
Indiana,Allen County,18003003000,3525,2076,704,73,164174.9,46.6,78.9
Indiana,Allen County,18003003100,2645,940,534,78.5,79167.46,29.9,55.7
Indiana,Allen County,18003003200,5325,625,711,83,60157.27,11.3,25.1
Indiana,Allen County,18003003301,2795,177,178,83.2,3089.5,1.1,12.7
Indiana,Allen County,18003003304,4340,511,590,77.1,34654.63,8.0,25.4
Indiana,Allen County,18003003400,4351,237,202,82.6,26969.63,6.2,10.1
Indiana,Allen County,18003003500,4216,715,148,81.6,125971.22,29.9,20.5
Indiana,Allen County,18003003600,5687,2411,788,76.6,93698.58,16.5,56.3
Indiana,Allen County,18003003700,2779,226,161,82.4,230439,82.9,13.9
Indiana,Allen County,18003003800,3132,330,204,77.7,,0,17.0
Indiana,Allen County,18003003901,3358,141,208,86.1,30050.75,8.9,10.4
Indiana,Allen County,18003003902,2448,586,219,78.2,15417.75,6.3,32.9
Indiana,Allen County,18003004000,3111,2112,335,77.2,1218969.49,391.8,78.7
Indiana,Allen County,18003004101,2251,258,103,82.2,,0,16.0
Indiana,Allen County,18003004103,5368,447,260,72,,0,13.2
Indiana,Allen County,18003004300,2652,1327,320,74.1,305296.14,115.1,62.1
Indiana,Allen County,18003004400,3223,1574,1000,70.5,557819.49,173.1,79.9
Indiana,Allen County,18003010100,4763,13,73,83.3,,0,1.8
Indiana,Allen County,18003010201,6752,56,97,90.1,,0,2.3
Indiana,Allen County,18003010202,5818,25,97,87.9,,0,2.1
Indiana,Allen County,18003010304,6601,91,111,90.1,,0,3.1
Indiana,Allen County,18003010305,6551,121,147,91.7,,0,4.1
Indiana,Allen County,18003010306,5154,44,118,86.4,,0,3.1
Indiana,Allen County,18003010307,5298,167,202,88.4,,0,7.0
Indiana,Allen County,18003010308,5554,133,141,88.4,,0,4.9
Indiana,Allen County,18003010400,3612,7,64,88.4,,0,2.0
Indiana,Allen County,18003010500,2301,10,41,89.5,,0,2.2
Indiana,Allen County,18003010601,3586,249,209,84.2,16300,4.5,12.8
Indiana,Allen County,18003010602,3583,168,193,78.8,37721.7,10.5,10.1
Indiana,Allen County,18003010603,1620,23,50,88.5,,0,4.5
Indiana,Allen County,18003010604,2744,25,523,72.9,,0,20.0
Indiana,Allen County,18003010705,5019,306,242,82,7168,1.4,10.9
Indiana,Allen County,18003010706,4701,334,227,83.8,,0,11.9
Indiana,Allen County,18003010707,4803,257,167,80.6,,0,8.8
Indiana,Allen County,18003010803,5227,248,209,87,19162.88,3.7,8.7
Indiana,Allen County,18003010804,3918,214,122,88.2,,0,8.6
Indiana,Allen County,18003010807,4394,173,189,85,,0,8.2
Indiana,Allen County,18003010808,5213,143,136,88.8,,0,5.4
Indiana,Allen County,18003010809,5210,533,212,84.7,5000,1.0,14.3
Indiana,Allen County,18003010811,5422,454,199,84.6,4610,0.9,12.0
Indiana,Allen County,18003010812,4148,226,106,88.3,8313.38,2.0,8.0
Indiana,Allen County,18003010813,4210,176,378,82.5,,0,13.2
Indiana,Allen County,18003010815,4484,268,126,87.2,,0,8.8
Indiana,Allen County,18003010816,4709,233,104,90.3,14130.73,3.0,7.2
Indiana,Allen County,18003010817,4054,273,98,88.6,,0,9.2
Indiana,Allen County,18003010819,4389,411,130,76.7,,0,12.3
Indiana,Allen County,18003010821,4581,603,178,78.5,,0,17.0
Indiana,Allen County,18003010900,6369,21,67,85.5,,0,1.4
Indiana,Allen County,18003011000,2613,4,45,89.4,,0,1.9
Indiana,Allen County,18003011100,2853,16,62,83.9,,0,2.7
Indiana,Allen County,18003011201,1940,75,111,80.2,,0,9.6
Indiana,Allen County,18003011202,3164,42,131,82.8,,0,5.5
Indiana,Allen County,18003011204,3093,254,87,83.5,,0,11.0
Indiana,Allen County,18003011205,3299,48,67,86.2,,0,3.5
Indiana,Allen County,18003011302,5644,2500,400,80.1,122878.26,21.8,51.4
Indiana,Allen County,18003011303,2079,719,183,77.7,52840.47,25.4,43.4
Indiana,Allen County,18003011304,5081,2108,651,72.7,494716.22,97.4,54.3
Indiana,Allen County,18003011501,3741,329,267,83.9,4852,1.3,15.9
Indiana,Allen County,18003011502,2602,156,117,81.7,,0,10.5
Indiana,Allen County,18003011603,6192,124,206,91.2,,0,5.3
Indiana,Allen County,18003011604,4090,131,142,84.6,,0,6.7
Indiana,Allen County,18003011605,3105,72,103,84.4,,0,5.6
Indiana,Allen County,18003011606,4846,231,202,85.6,,0,8.9
Indiana,Allen County,18003011607,4920,231,174,86.2,9015.88,1.8,8.2
Indiana,Allen County,18003011608,6290,329,170,87.8,,0,7.9
Indiana,Allen County,18003011609,6322,109,165,90.5,100000,15.8,4.3
Indiana,Allen County,18003011701,3354,105,88,86.8,,0,5.8
Indiana,Allen County,18003011702,3312,245,210,85,,0,13.7
Indiana,Allen County,18003011801,3858,40,73,89.1,,0,2.9
Indiana,Allen County,18003011802,1771,3,26,88.4,,0,1.6
Indiana,Allen County,18003011900,1927,2,34,88.7,,0,1.9
Indiana,Allen County,18003980001,664,96,26,82.5,10000,15.1,18.4
Indiana,Bartholomew County,18005010100,4553,217,340,79.4,3803473.72,835.4,12.2
Indiana,Bartholomew County,18005010200,4483,128,252,82.9,,0,8.5
Indiana,Bartholomew County,18005010300,3486,50,102,90.7,,0,4.4
Indiana,Bartholomew County,18005010400,5941,115,675,77.8,18180,3.1,13.3
Indiana,Bartholomew County,18005010500,5245,88,256,84.8,,0,6.6
Indiana,Bartholomew County,18005010600,5245,178,186,81.9,,0,6.9
Indiana,Bartholomew County,18005010700,3297,114,108,86.5,84335.29,25.6,6.7
Indiana,Bartholomew County,18005010800,4071,93,342,72.4,,0,10.7
Indiana,Bartholomew County,18005010900,4827,56,131,85.9,,0,3.9
Indiana,Bartholomew County,18005011000,5033,44,78,86.2,,0,2.4
Indiana,Bartholomew County,18005011100,8436,92,1270,75.4,,0,16.1
Indiana,Bartholomew County,18005011200,5435,23,80,82.2,1405596,258.6,1.9
Indiana,Bartholomew County,18005011300,4970,37,59,88.2,,0,1.9
Indiana,Bartholomew County,18005011400,4170,33,527,78.8,29160,7.0,13.4
Indiana,Bartholomew County,18005011500,7602,92,356,83.7,,0,5.9
Indiana,Benton County,18007100100,3413,12,58,81.9,,0,2.1
Indiana,Benton County,18007100200,3115,13,106,85.9,1302457.82,418.1,3.8
Indiana,Benton County,18007100300,2326,11,267,83.9,50000,21.5,12.0
Indiana,Blackford County,18009975100,3461,9,33,84.9,178600,51.6,1.2
Indiana,Blackford County,18009975200,2756,6,32,84.9,1577425.97,572.4,1.4
Indiana,Blackford County,18009975300,3013,12,40,84.4,548430,182.0,1.7
Indiana,Blackford County,18009975400,3536,21,12,87.8,,0,0.9
Indiana,Boone County,18011810100,3517,8,68,87.6,,0,2.2
Indiana,Boone County,18011810200,3707,6,36,84.7,40000,10.8,1.1
Indiana,Boone County,18011810300,5520,31,74,85,,0,1.9
Indiana,Boone County,18011810400,5799,30,198,77.9,,0,3.9
Indiana,Boone County,18011810500,6711,25,232,80.4,,0,3.8
Indiana,Boone County,18011810601,4811,44,97,86.8,545522.5,113.4,2.9
Indiana,Boone County,18011810603,11559,211,313,89.4,,0,4.5
Indiana,Boone County,18011810604,4982,35,94,91.1,,0,2.6
Indiana,Boone County,18011810605,5436,86,119,86.8,,0,3.8
Indiana,Boone County,18011810700,4598,8,39,86.2,,0,1.0
Indiana,Brown County,18013974600,2877,4,31,89.2,,0,1.2
Indiana,Brown County,18013974700,3379,17,31,87.7,,0,1.4
Indiana,Brown County,18013974800,4171,20,37,88,622750,149.3,1.4
Indiana,Brown County,18013974900,4815,12,79,87.4,,0,1.9
Indiana,Carroll County,18015959300,3023,6,20,86,13219.24,4.4,0.9
Indiana,Carroll County,18015959400,2592,1,58,85.2,,0,2.3
Indiana,Carroll County,18015959500,2427,7,83,88.6,,0,3.7
Indiana,Carroll County,18015959600,3282,10,343,79.6,1475741,449.6,10.8
Indiana,Carroll County,18015959700,3392,8,70,85.5,,0,2.3
Indiana,Carroll County,18015959800,2755,7,76,87.1,490000,177.9,3.0
Indiana,Carroll County,18015959900,2684,3,61,86.2,,0,2.4
Indiana,Cass County,18017950900,4864,39,206,88.4,,0,5.0
Indiana,Cass County,18017951000,2458,9,205,83,,0,8.7
Indiana,Cass County,18017951100,3065,10,56,80.9,,0,2.2
Indiana,Cass County,18017951200,2118,16,329,83.5,,0,16.3
Indiana,Cass County,18017951300,2903,51,744,77.4,,0,27.4
Indiana,Cass County,18017951400,2536,107,481,81.6,60700,23.9,23.2
Indiana,Cass County,18017951500,4604,109,1510,79.6,910369,197.7,35.2
Indiana,Cass County,18017951600,5915,70,849,83.4,,0,15.5
Indiana,Cass County,18017951700,2743,18,98,91,,0,4.2
Indiana,Cass County,18017951800,3972,82,366,85.8,,0,11.3
Indiana,Cass County,18017951900,3788,8,53,91.7,,0,1.6
Indiana,Clark County,18019050100,1670,195,35,76.7,20000,12.0,13.8
Indiana,Clark County,18019050200,3741,1042,200,79.4,643200.79,171.9,33.2
Indiana,Clark County,18019050303,2560,251,79,76.5,,0,12.9
Indiana,Clark County,18019050304,4249,693,199,76.7,,0,21.0
Indiana,Clark County,18019050305,2805,335,82,84.3,,0,14.9
Indiana,Clark County,18019050306,2297,404,111,84.3,,0,22.4
Indiana,Clark County,18019050401,2809,86,66,77.4,,0,5.4
Indiana,Clark County,18019050403,2913,288,340,67.6,,0,21.6
Indiana,Clark County,18019050404,3986,134,128,81.8,2499,0.6,6.6
Indiana,Clark County,18019050501,1639,38,92,80.7,,0,7.9
Indiana,Clark County,18019050503,5447,410,1070,74.7,,0,27.2
Indiana,Clark County,18019050504,3069,201,341,81.5,,0,17.7
Indiana,Clark County,18019050603,7066,1171,464,74.6,,0,23.1
Indiana,Clark County,18019050604,6005,577,157,84.6,,0,12.2
Indiana,Clark County,18019050605,5354,537,219,81.9,,0,14.1
Indiana,Clark County,18019050606,3911,326,124,88,,0,11.5
Indiana,Clark County,18019050701,5557,348,153,84.6,16450,3.0,9.0
Indiana,Clark County,18019050703,5987,89,376,80.1,573976.5,95.9,7.8
Indiana,Clark County,18019050704,5837,31,127,88.8,30000,5.1,2.7
Indiana,Clark County,18019050801,6199,19,110,85.8,40500,6.5,2.1
Indiana,Clark County,18019050803,4899,79,63,83.9,,0,2.9
Indiana,Clark County,18019050804,4010,5,36,83.4,,0,1.0
Indiana,Clark County,18019050902,4508,47,310,85.3,1089875,241.8,7.9
Indiana,Clark County,18019050903,3450,127,261,76.6,,0,11.2
Indiana,Clark County,18019050904,5526,88,153,84.8,,0,4.4
Indiana,Clark County,18019051000,4738,20,54,88.4,,0,1.6
Indiana,Clay County,18021040100,5454,30,78,77.4,,0,2.0
Indiana,Clay County,18021040200,6163,37,78,79.3,189800,30.8,1.9
Indiana,Clay County,18021040300,3465,4,30,83.6,,0,1.0
Indiana,Clay County,18021040400,4600,7,54,82,,0,1.3
Indiana,Clay County,18021040500,3555,5,31,90.2,,0,1.0
Indiana,Clay County,18021040600,3653,2,36,88.3,992225.97,271.6,1.0
Indiana,Clinton County,18023950100,3086,7,38,85.6,437950,141.9,1.5
Indiana,Clinton County,18023950200,5720,11,446,84.7,,0,8.0
Indiana,Clinton County,18023950300,5081,12,51,86.8,,0,1.2
Indiana,Clinton County,18023950400,4090,9,139,86.1,,0,3.6
Indiana,Clinton County,18023950500,4736,34,1163,78.1,533750,112.7,25.3
Indiana,Clinton County,18023950600,3455,16,677,78.2,,0,20.1
Indiana,Clinton County,18023950700,3382,18,349,85.1,,0,10.9
Indiana,Clinton County,18023950800,3674,31,1532,78.3,,0,42.5
Indiana,Crawford County,18025951900,3805,10,43,81.9,515000,135.3,1.4
Indiana,Crawford County,18025952000,4031,4,37,88.8,294826.83,73.1,1.0
