State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Iowa,Adair County,19001960100,2791,5,36,85.7,,0,1.5
Iowa,Adair County,19001960200,1844,3,14,83.9,,0,0.9
Iowa,Adair County,19001960300,3047,3,51,88,,0,1.8
Iowa,Adams County,19003950100,1742,5,17,85.6,,0,1.3
Iowa,Adams County,19003950200,2287,3,20,85.8,,0,1.0
Iowa,Allamakee County,19005960100,2130,3,16,86.4,,0,0.9
Iowa,Allamakee County,19005960200,2591,3,18,89.6,,0,0.8
Iowa,Allamakee County,19005960300,4088,17,55,86.9,,0,1.8
Iowa,Allamakee County,19005960400,2343,16,17,89.6,,0,1.4
Iowa,Allamakee County,19005960500,3178,70,651,81.5,,0,22.7
Iowa,Appanoose County,19007950100,2587,1,23,82.4,,0,0.9
Iowa,Appanoose County,19007950200,1868,4,25,86.2,,0,1.6
Iowa,Appanoose County,19007950300,3055,28,64,83.7,,0,3.0
Iowa,Appanoose County,19007950400,3025,22,49,78.9,,0,2.3
Iowa,Appanoose County,19007950500,2352,0,20,80.4,,0,0.9
Iowa,Audubon County,19009070100,2056,1,3,87.1,,0,0.2
Iowa,Audubon County,19009070200,2332,5,16,89,,0,0.9
Iowa,Audubon County,19009070300,1731,3,18,85.4,,0,1.2
Iowa,Benton County,19011960100,3012,6,21,85.1,,0,0.9
Iowa,Benton County,19011960200,3251,9,40,86.7,,0,1.5
Iowa,Benton County,19011960300,5410,17,51,85.2,,0,1.3
Iowa,Benton County,19011960400,3270,16,26,85.2,,0,1.3
Iowa,Benton County,19011960500,5760,29,38,86.8,,0,1.2
Iowa,Benton County,19011960600,2643,13,56,85.7,,0,2.6
Iowa,Benton County,19011960700,2730,3,43,85.8,,0,1.7
Iowa,Black Hawk County,19013000100,2011,832,163,72.9,5721566.16,2845.1,49.5
Iowa,Black Hawk County,19013000200,3057,551,411,73.2,114382.68,37.4,31.5
Iowa,Black Hawk County,19013000300,3104,682,352,70.8,73101.54,23.6,33.3
Iowa,Black Hawk County,19013000400,1566,88,49,81.7,7802,5.0,8.7
Iowa,Black Hawk County,19013000500,1717,481,166,75.7,264079.49,153.8,37.7
Iowa,Black Hawk County,19013000700,1518,637,327,66.8,119658,78.8,63.5
Iowa,Black Hawk County,19013000800,4028,397,533,75.7,457608,113.6,23.1
Iowa,Black Hawk County,19013000900,1764,235,110,77.8,,0,19.6
Iowa,Black Hawk County,19013001000,3626,100,132,84.4,573770,158.2,6.4
Iowa,Black Hawk County,19013001100,2847,204,204,79.7,51005,17.9,14.3
Iowa,Black Hawk County,19013001200,2321,57,63,86.1,6500,2.8,5.2
Iowa,Black Hawk County,19013001301,4142,392,124,79.5,,0,12.5
Iowa,Black Hawk County,19013001302,3632,214,53,82.4,,0,7.4
Iowa,Black Hawk County,19013001400,4557,176,140,85.3,638053,140.0,6.9
Iowa,Black Hawk County,19013001501,3120,211,57,82.9,10731,3.4,8.6
Iowa,Black Hawk County,19013001502,4165,167,134,81.4,19000,4.6,7.2
Iowa,Black Hawk County,19013001503,3845,126,73,87.3,122492.86,31.9,5.2
Iowa,Black Hawk County,19013001600,2761,428,159,78.8,19368,7.0,21.3
Iowa,Black Hawk County,19013001701,2147,1281,136,76.6,1155184.94,538.0,66.0
Iowa,Black Hawk County,19013001702,2467,1072,87,75.9,469839.49,190.4,47.0
Iowa,Black Hawk County,19013001800,1506,1238,55,75.3,965102.23,640.8,85.9
Iowa,Black Hawk County,19013001900,2181,761,176,76.4,158768.1,72.8,43.0
Iowa,Black Hawk County,19013002000,5395,86,93,84,,0,3.3
Iowa,Black Hawk County,19013002200,4202,59,93,83,859246.14,204.5,3.6
Iowa,Black Hawk County,19013002301,2248,65,58,80,280881.5,124.9,5.5
Iowa,Black Hawk County,19013002303,5142,131,117,74.5,,0,4.8
Iowa,Black Hawk County,19013002304,2749,48,58,81.1,114237.29,41.6,3.9
Iowa,Black Hawk County,19013002400,4078,62,66,87.4,35000,8.6,3.1
Iowa,Black Hawk County,19013002500,5719,149,88,85.5,28030,4.9,4.1
Iowa,Black Hawk County,19013002601,4311,88,104,80.9,,0,4.5
Iowa,Black Hawk County,19013002603,10029,183,181,84.4,2600,0.3,3.6
Iowa,Black Hawk County,19013002604,4154,94,44,87.5,76342,18.4,3.3
Iowa,Black Hawk County,19013002700,3888,31,53,86.4,,0,2.2
Iowa,Black Hawk County,19013002800,3010,7,40,84.1,,0,1.6
Iowa,Black Hawk County,19013002901,1366,11,14,88.8,14000,10.2,1.8
Iowa,Black Hawk County,19013002902,3900,23,45,88.7,,0,1.7
Iowa,Black Hawk County,19013003001,5022,116,99,81.6,,0,4.3
Iowa,Black Hawk County,19013003002,3795,10,50,90.3,,0,1.6
Iowa,Boone County,19015020100,2913,10,98,87.2,,0,3.7
Iowa,Boone County,19015020200,3900,15,64,83.6,,0,2.0
Iowa,Boone County,19015020300,6153,70,129,81.3,,0,3.2
Iowa,Boone County,19015020400,2554,7,47,80.7,,0,2.1
Iowa,Boone County,19015020500,4687,16,56,85.7,,0,1.5
Iowa,Boone County,19015020600,2283,76,74,86.1,,0,6.6
Iowa,Boone County,19015020700,3816,8,37,86.1,,0,1.2
Iowa,Bremer County,19017004000,2690,109,37,89.4,,0,5.4
Iowa,Bremer County,19017004100,3515,27,42,89.2,,0,2.0
Iowa,Bremer County,19017004200,3909,24,55,87.8,,0,2.0
Iowa,Bremer County,19017004300,1892,4,13,89.1,,0,0.9
Iowa,Bremer County,19017004400,2824,4,30,88.9,,0,1.2
Iowa,Bremer County,19017004500,2512,6,9,87.8,,0,0.6
Iowa,Bremer County,19017004600,4876,12,37,87.3,,0,1.0
Iowa,Bremer County,19017004700,2058,0,16,89.3,,0,0.8
Iowa,Buchanan County,19019950100,2492,4,36,84.9,,0,1.6
Iowa,Buchanan County,19019950200,4054,7,45,80.9,,0,1.3
Iowa,Buchanan County,19019950300,3276,8,42,86.3,,0,1.5
Iowa,Buchanan County,19019950400,2705,21,28,82.5,,0,1.8
Iowa,Buchanan County,19019950500,3956,8,59,84.3,,0,1.7
Iowa,Buchanan County,19019950600,4475,11,33,84.6,,0,1.0
Iowa,Buena Vista County,19021960100,1570,3,39,82.4,,0,2.7
Iowa,Buena Vista County,19021960200,1936,3,126,82.2,,0,6.7
Iowa,Buena Vista County,19021960300,1940,4,62,87,,0,3.4
Iowa,Buena Vista County,19021960400,6345,304,2531,76.5,,0,44.7
Iowa,Buena Vista County,19021960500,4944,152,1492,81.1,,0,33.3
Iowa,Buena Vista County,19021960600,3525,31,358,87.6,,0,11.0
Iowa,Butler County,19023070100,3260,3,18,88.6,,0,0.6
Iowa,Butler County,19023070200,1971,5,40,85.2,,0,2.3
Iowa,Butler County,19023070300,2825,2,9,88.3,,0,0.4
Iowa,Butler County,19023070400,3824,6,28,87.6,,0,0.9
Iowa,Butler County,19023070500,2987,9,38,86.8,,0,1.6
Iowa,Calhoun County,19025950100,2369,3,19,87.5,,0,0.9
Iowa,Calhoun County,19025950200,3107,6,38,87.9,,0,1.4
Iowa,Calhoun County,19025950300,1796,4,10,85.5,,0,0.8
Iowa,Calhoun County,19025950400,2398,6,23,87.5,,0,1.2
Iowa,Carroll County,19027960100,3882,4,22,89.2,,0,0.7
Iowa,Carroll County,19027960200,2400,5,10,87.7,,0,0.6
