State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Maine,Androscoggin County,23001010100,1714,71,52,74.1,8943065.35,5217.7,7.2
Maine,Androscoggin County,23001010200,4603,266,67,75.9,1037278.82,225.3,7.2
Maine,Androscoggin County,23001010300,2468,47,60,75.2,1855833.57,752.0,4.3
Maine,Androscoggin County,23001010400,2119,9,23,83,504058.87,237.9,1.5
Maine,Androscoggin County,23001010500,2030,22,30,74.1,1960025.44,965.5,2.6
Maine,Androscoggin County,23001010600,3047,62,25,79.8,598867.11,196.5,2.9
Maine,Androscoggin County,23001010700,3088,26,30,78.1,1068050.03,345.9,1.8
Maine,Androscoggin County,23001010800,3986,53,62,83.5,935345.58,234.7,2.9
Maine,Androscoggin County,23001020100,1577,457,56,67.1,14868350.28,9428.3,32.5
Maine,Androscoggin County,23001020200,1283,67,36,70.9,164609.62,128.3,8.0
Maine,Androscoggin County,23001020300,6683,421,169,72.8,1206575.74,180.5,8.8
Maine,Androscoggin County,23001020400,3770,1087,132,68.3,2344359.04,621.8,32.3
Maine,Androscoggin County,23001020500,3713,131,68,77,255753.28,68.9,5.4
Maine,Androscoggin County,23001020600,2708,6,24,82.9,299341.31,110.5,1.1
Maine,Androscoggin County,23001020700,4891,47,46,83.7,98646.94,20.2,1.9
Maine,Androscoggin County,23001020800,7556,467,105,79.8,276116.11,36.5,7.6
Maine,Androscoggin County,23001020900,4411,446,94,81.5,461918.32,104.7,12.2
Maine,Androscoggin County,23001030100,4624,25,29,79.8,400000,86.5,1.2
Maine,Androscoggin County,23001030200,4385,28,65,77.9,,0,2.1
Maine,Androscoggin County,23001040000,3848,11,31,84.5,,0,1.1
Maine,Androscoggin County,23001041000,5376,19,32,87,,0,0.9
Maine,Androscoggin County,23001041500,5638,16,44,79.3,,0,1.1
Maine,Androscoggin County,23001042000,5734,24,156,79.4,,0,3.1
Maine,Androscoggin County,23001043000,2095,2,20,89.4,,0,1.1
Maine,Androscoggin County,23001044000,3187,11,71,80.6,,0,2.6
Maine,Androscoggin County,23001045000,2326,6,40,82.8,,0,2.0
Maine,Androscoggin County,23001046000,4350,14,32,80.8,,0,1.1
Maine,Androscoggin County,23001046500,6492,17,70,79.1,,0,1.3
Maine,Aroostook County,23003950100,2596,7,9,88.5,42380,16.3,0.6
Maine,Aroostook County,23003950200,2638,8,13,79.5,76116,28.9,0.8
Maine,Aroostook County,23003950300,4035,4,20,84.7,340000,84.3,0.6
Maine,Aroostook County,23003950400,1834,2,10,85.2,,0,0.7
Maine,Aroostook County,23003950600,4097,30,29,80.7,,0,1.4
Maine,Aroostook County,23003950700,2956,6,20,82.1,,0,0.9
Maine,Aroostook County,23003950900,2069,9,8,82.6,,0,0.8
Maine,Aroostook County,23003951000,3569,4,35,82.7,,0,1.1
Maine,Aroostook County,23003951100,2841,5,9,83.3,,0,0.5
Maine,Aroostook County,23003951200,2549,15,27,86.9,,0,1.6
Maine,Aroostook County,23003951300,3386,11,28,87.5,,0,1.2
Maine,Aroostook County,23003951400,2254,8,12,88.9,,0,0.9
Maine,Aroostook County,23003951600,2314,156,89,80.2,,0,10.6
Maine,Aroostook County,23003951700,4783,32,55,78.7,,0,1.8
Maine,Aroostook County,23003951800,3693,13,65,82.3,,0,2.1
Maine,Aroostook County,23003951900,2937,14,23,82.5,,0,1.3
Maine,Aroostook County,23003952000,3062,31,39,79.6,,0,2.3
Maine,Aroostook County,23003952100,2768,5,18,79,,0,0.8
Maine,Aroostook County,23003952300,2652,4,26,78.9,,0,1.1
Maine,Aroostook County,23003952400,3825,15,21,86.5,,0,0.9
Maine,Aroostook County,23003952500,2298,27,44,86.6,,0,3.1
Maine,Aroostook County,23003952600,3195,13,19,80.3,,0,1.0
Maine,Aroostook County,23003952700,2561,8,21,80.6,,0,1.1
Maine,Aroostook County,23003952900,2958,3,27,78.5,,0,1.0
Maine,Cumberland County,23005000100,2346,164,64,76.9,479774.11,204.5,9.7
Maine,Cumberland County,23005000200,2349,143,91,79.3,912029.43,388.3,10.0
Maine,Cumberland County,23005000300,2625,161,70,73.9,9368152.37,3568.8,8.8
Maine,Cumberland County,23005000500,2420,517,141,65.7,1579480.43,652.7,27.2
Maine,Cumberland County,23005000600,3389,389,165,68.1,2843750.46,839.1,16.3
Maine,Cumberland County,23005001000,2779,390,98,69.3,1849968.99,665.7,17.6
Maine,Cumberland County,23005001100,2372,93,50,76.2,1752392.49,738.8,6.0
Maine,Cumberland County,23005001200,1381,177,47,75.2,280529.88,203.1,16.2
Maine,Cumberland County,23005001300,3321,194,262,77.1,1678960.53,505.6,13.7
Maine,Cumberland County,23005001500,3415,124,95,70.9,353500.66,103.5,6.4
Maine,Cumberland County,23005001700,4390,60,76,79.4,263451.23,60.0,3.1
Maine,Cumberland County,23005001800,3709,69,97,75.6,147912.82,39.9,4.5
Maine,Cumberland County,23005001900,4220,90,77,76.1,113547,26.9,4.0
Maine,Cumberland County,23005002001,3632,188,93,79.1,171788.99,47.3,7.7
Maine,Cumberland County,23005002002,2777,175,117,71.7,60850.78,21.9,10.5
Maine,Cumberland County,23005002101,5917,263,84,81.5,65950.57,11.1,5.9
Maine,Cumberland County,23005002102,5578,714,187,72.3,146576.02,26.3,16.2
Maine,Cumberland County,23005002200,4916,234,90,79.2,113098,23.0,6.6
Maine,Cumberland County,23005002300,3632,424,79,70.9,158895.2,43.7,13.8
Maine,Cumberland County,23005002400,1256,8,20,84.4,570348.91,454.1,2.2
Maine,Cumberland County,23005002501,3366,16,32,84,,0,1.4
Maine,Cumberland County,23005002502,7819,38,113,84,,0,1.9
Maine,Cumberland County,23005002600,3976,61,74,80.4,,0,3.4
Maine,Cumberland County,23005002700,4536,149,99,79.2,,0,5.5
Maine,Cumberland County,23005002800,2907,72,71,78.9,429242.46,147.7,4.9
Maine,Cumberland County,23005002900,6075,115,84,84.5,238355,39.2,3.3
Maine,Cumberland County,23005003000,6499,300,248,75.2,267780.27,41.2,8.4
Maine,Cumberland County,23005003100,3722,58,67,75,21308.97,5.7,3.4
Maine,Cumberland County,23005003200,3117,33,50,78.8,2388187.03,766.2,2.7
Maine,Cumberland County,23005003300,3102,51,52,77.6,6839.22,2.2,3.3
Maine,Cumberland County,23005003400,4702,31,78,85.6,13600,2.9,2.3
Maine,Cumberland County,23005003500,3860,24,59,85.9,33499.98,8.7,2.2
Maine,Cumberland County,23005003701,4044,9,42,85.2,149741,37.0,1.3
Maine,Cumberland County,23005003702,4971,29,88,85.3,50260,10.1,2.4
Maine,Cumberland County,23005004001,2892,23,40,81.3,,0,2.2
