State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
New Jersey,Atlantic County,34001000100,2417,419,996,71.9,633316.11,262.0,58.5
New Jersey,Atlantic County,34001000200,3202,100,1011,75,1012915.82,316.3,34.7
New Jersey,Atlantic County,34001000300,4373,246,2275,59.6,669693.12,153.1,57.6
New Jersey,Atlantic County,34001000400,2606,212,875,64.9,1090913.06,418.6,41.7
New Jersey,Atlantic County,34001000500,3503,109,1703,64.5,531162.23,151.6,51.7
New Jersey,Atlantic County,34001001100,2027,1599,237,65.5,1179632.47,582.0,90.6
New Jersey,Atlantic County,34001001200,3174,2370,482,69.7,2106641.22,663.7,89.9
New Jersey,Atlantic County,34001001300,1984,1458,216,71.8,2011090.57,1013.7,84.4
New Jersey,Atlantic County,34001001400,3623,2523,795,65.4,2184015.07,602.8,91.6
New Jersey,Atlantic County,34001001500,1438,1013,211,70.9,1277482.75,888.4,85.1
New Jersey,Atlantic County,34001001900,1568,714,424,60.9,173183,110.4,72.6
New Jersey,Atlantic County,34001002300,2861,206,1480,56.5,801278.29,280.1,58.9
New Jersey,Atlantic County,34001002400,2752,1120,520,62.1,16530052.1,6006.6,59.6
New Jersey,Atlantic County,34001002500,4030,2011,819,72.1,1786226.14,443.2,70.2
New Jersey,Atlantic County,34001010101,3497,33,155,88.3,,0,5.4
New Jersey,Atlantic County,34001010102,1702,16,71,85.7,156937.8,92.2,5.1
New Jersey,Atlantic County,34001010104,1491,40,107,81.3,,0,9.9
New Jersey,Atlantic County,34001010105,2760,155,317,83.3,1950,0.7,17.1
New Jersey,Atlantic County,34001010200,5890,266,362,82.5,307869.78,52.3,10.7
New Jersey,Atlantic County,34001010300,2521,522,269,78.9,34845,13.8,31.4
New Jersey,Atlantic County,34001010401,5536,397,350,78.8,126939,22.9,13.5
New Jersey,Atlantic County,34001010403,6992,693,933,73.5,,0,23.3
New Jersey,Atlantic County,34001010501,7299,280,357,81,,0,8.7
New Jersey,Atlantic County,34001010503,7718,1967,1328,71.7,,0,42.7
New Jersey,Atlantic County,34001010505,3044,133,218,80.3,,0,11.5
New Jersey,Atlantic County,34001010506,5458,277,402,78.6,1382772,253.3,12.4
New Jersey,Atlantic County,34001010600,4243,668,1115,76.5,1653068.98,389.6,42.0
New Jersey,Atlantic County,34001010700,6147,286,1046,78.5,80434,13.1,21.7
New Jersey,Atlantic County,34001010800,3106,61,622,77,21589,7.0,22.0
New Jersey,Atlantic County,34001010900,5880,221,1113,74,625117,106.3,22.7
New Jersey,Atlantic County,34001011000,2666,44,421,79,8025,3.0,17.4
New Jersey,Atlantic County,34001011100,3139,56,940,79.2,16870,5.4,31.7
New Jersey,Atlantic County,34001011201,1885,79,127,73.9,126896.93,67.3,10.9
New Jersey,Atlantic County,34001011202,7570,969,869,80.7,,0,24.3
New Jersey,Atlantic County,34001011300,4603,390,1354,74.3,300000,65.2,37.9
New Jersey,Atlantic County,34001011401,4759,233,388,80.4,1332101.62,279.9,13.0
New Jersey,Atlantic County,34001011403,5793,1705,1141,76.4,202513.78,35.0,49.1
New Jersey,Atlantic County,34001011404,9359,1555,1198,85.4,28709,3.1,29.4
New Jersey,Atlantic County,34001011500,6592,1099,663,74.5,316034.08,47.9,26.7
New Jersey,Atlantic County,34001011600,4942,145,159,83.8,95894.88,19.4,6.2
New Jersey,Atlantic County,34001011701,9371,1101,1907,73.9,35647,3.8,32.1
New Jersey,Atlantic County,34001011702,3236,657,747,77.1,256949,79.4,43.4
New Jersey,Atlantic County,34001011802,15765,1182,1655,79.9,35560,2.3,18.0
New Jersey,Atlantic County,34001011803,4688,388,607,75.3,31070,6.6,21.2
New Jersey,Atlantic County,34001011804,7189,352,471,80.1,43710,6.1,11.4
New Jersey,Atlantic County,34001011805,2283,79,101,80,682,0.3,7.9
New Jersey,Atlantic County,34001011900,8031,3673,3064,69.6,262135,32.6,83.9
New Jersey,Atlantic County,34001012000,4519,1566,1766,73.7,,0,73.7
New Jersey,Atlantic County,34001012100,3138,981,1478,69.4,338424.36,107.8,78.4
New Jersey,Atlantic County,34001012200,5161,2474,2141,72.1,,0,89.4
New Jersey,Atlantic County,34001012302,3437,83,333,81.5,65192,19.0,12.1
New Jersey,Atlantic County,34001012401,3014,127,251,80.5,611000,202.7,12.5
New Jersey,Atlantic County,34001012402,2173,37,106,82.1,,0,6.6
New Jersey,Atlantic County,34001012501,2461,38,68,85.6,27556,11.2,4.3
New Jersey,Atlantic County,34001012502,1621,6,70,85.7,,0,4.7
New Jersey,Atlantic County,34001012602,1418,7,33,86.1,,0,2.8
New Jersey,Atlantic County,34001012701,3408,245,297,76.7,4500,1.3,15.9
New Jersey,Atlantic County,34001012702,1786,236,189,74,523.5,0.3,23.8
New Jersey,Atlantic County,34001012801,3892,579,467,77.9,18000,4.6,26.9
New Jersey,Atlantic County,34001012802,1709,27,71,82.3,,0,5.7
New Jersey,Atlantic County,34001013000,3616,17,90,90.8,28915,8.0,3.0
New Jersey,Atlantic County,34001013101,1192,7,10,92.7,,0,1.4
New Jersey,Atlantic County,34001013102,1546,16,75,83.3,60184,38.9,5.9
New Jersey,Atlantic County,34001013201,2642,129,810,74.7,,0,35.5
New Jersey,Atlantic County,34001013202,2607,88,409,81.3,,0,19.1
New Jersey,Atlantic County,34001013301,2674,75,344,84,155296,58.1,15.7
New Jersey,Atlantic County,34001013302,2727,92,359,82.5,,0,16.5
New Jersey,Atlantic County,34001013500,2678,15,56,87.2,48686,18.2,2.7
New Jersey,Atlantic County,34001983400,2417,215,197,56.3,,0,17.0
New Jersey,Bergen County,34003001000,6505,29,304,83.5,38555,5.9,5.1
New Jersey,Bergen County,34003002100,1849,44,89,80.3,,0,7.2
New Jersey,Bergen County,34003002200,5171,56,398,81.4,1414091.9,273.5,8.8
New Jersey,Bergen County,34003002300,5711,64,260,83.7,130750,22.9,5.7
New Jersey,Bergen County,34003003100,5043,293,1289,80.6,55000,10.9,31.4
New Jersey,Bergen County,34003003200,4604,246,1417,83.3,117365.64,25.5,36.1
New Jersey,Bergen County,34003003300,6616,406,1803,80.6,,0,33.4
New Jersey,Bergen County,34003003401,2766,138,505,83.3,,0,23.2
New Jersey,Bergen County,34003003402,3686,224,549,80.4,,0,21.0
New Jersey,Bergen County,34003003500,4049,417,1534,82.1,53960,13.3,48.2
New Jersey,Bergen County,34003004001,3215,240,1203,74.9,757161.59,235.5,44.9
New Jersey,Bergen County,34003004002,4972,342,1966,72.5,138162,27.8,46.4
New Jersey,Bergen County,34003005000,6127,122,1104,70,174991.23,28.6,20.0
New Jersey,Bergen County,34003006100,6538,136,1608,75.6,254000,38.8,26.7
New Jersey,Bergen County,34003006201,4493,99,1250,78.7,867520,193.1,30.0
New Jersey,Bergen County,34003006202,4470,106,488,80.8,400000,89.5,13.3
New Jersey,Bergen County,34003006300,8093,243,3358,71.4,578830.21,71.5,44.5
New Jersey,Bergen County,34003007001,3817,36,242,80.8,47000,12.3,7.3
New Jersey,Bergen County,34003007002,4556,64,259,80.4,430174.03,94.4,7.1
New Jersey,Bergen County,34003008000,8573,57,537,82,405727.04,47.3,6.9
New Jersey,Bergen County,34003009100,4881,26,216,84.6,253408.32,51.9,5.0
New Jersey,Bergen County,34003009200,3382,37,148,83.4,165469.1,48.9,5.5
New Jersey,Bergen County,34003010100,6224,114,944,84.2,,0,17.0
New Jersey,Bergen County,34003010200,4100,77,702,78.5,1180358.49,287.9,19.0
New Jersey,Bergen County,34003010300,7155,184,934,84.2,499941.4,69.9,15.6
New Jersey,Bergen County,34003011100,4249,264,1061,79.4,,0,31.2
New Jersey,Bergen County,34003011200,4807,310,1054,72.9,,0,28.4
New Jersey,Bergen County,34003011300,4282,101,883,77.6,640663.94,149.6,23.0
New Jersey,Bergen County,34003011400,6065,209,1119,73.5,117000,19.3,21.9
New Jersey,Bergen County,34003012001,5504,243,1211,76.5,2671124.33,485.3,26.4
New Jersey,Bergen County,34003012002,3409,93,352,81.4,,0,13.1
New Jersey,Bergen County,34003013001,5626,229,495,74.4,102340.73,18.2,12.9
New Jersey,Bergen County,34003013002,5887,290,783,75.2,208011.34,35.3,18.2
New Jersey,Bergen County,34003014000,7401,64,619,82.3,64275,8.7,9.2
New Jersey,Bergen County,34003015100,2445,184,182,74.4,,0,15.0
New Jersey,Bergen County,34003015200,6070,1951,2171,75,100000,16.5,67.9
New Jersey,Bergen County,34003015300,6124,3887,1679,72.4,561018.15,91.6,90.9
New Jersey,Bergen County,34003015400,6570,1632,2638,73.1,6495656.78,988.7,65.0
New Jersey,Bergen County,34003015500,5938,719,790,74.2,33785,5.7,25.4
New Jersey,Bergen County,34003016000,5281,93,316,76.4,8640,1.6,7.7
New Jersey,Bergen County,34003017100,7049,47,356,82.9,279783,39.7,5.7
New Jersey,Bergen County,34003017200,6021,138,762,76.7,698161.97,116.0,14.9
New Jersey,Bergen County,34003017300,6056,102,711,81.2,516739.5,85.3,13.4
New Jersey,Bergen County,34003017400,5366,55,443,81.5,1200,0.2,9.3
New Jersey,Bergen County,34003017500,7965,122,1024,82.4,165142.07,20.7,14.4
New Jersey,Bergen County,34003018100,7284,136,4395,70.8,505749,69.4,62.2
New Jersey,Bergen County,34003018200,6551,150,3163,74.2,185602,28.3,50.6
New Jersey,Bergen County,34003019102,2859,100,364,80.6,95762,33.5,16.2
New Jersey,Bergen County,34003019103,3662,166,417,75.3,,0,15.9
New Jersey,Bergen County,34003019104,3935,97,540,74.4,248850.42,63.2,16.2
New Jersey,Bergen County,34003019202,1483,66,229,73.3,25000,16.9,19.9
New Jersey,Bergen County,34003019203,2862,47,298,88,443758.12,155.1,12.1
New Jersey,Bergen County,34003019204,3697,57,412,83.2,,0,12.7
