State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
New York,Albany County,36001000100,2139,1343,198,67.9,790804.77,369.7,72.0
New York,Albany County,36001000200,6046,4455,648,60.4,34147413.19,5647.9,84.4
New York,Albany County,36001000300,5888,2077,615,73,1573858.31,267.3,45.7
New York,Albany County,36001000401,2227,198,53,88.1,33760,15.2,11.3
New York,Albany County,36001000403,4415,407,201,76.9,195686.13,44.3,13.8
New York,Albany County,36001000404,5203,707,647,91.7,25970.08,5.0,26.0
New York,Albany County,36001000501,3412,1058,377,69.6,548935.55,160.9,42.1
New York,Albany County,36001000502,3448,434,276,73.4,789006.49,228.8,20.6
New York,Albany County,36001000600,3676,1271,419,52.9,1385780.58,377.0,46.0
New York,Albany County,36001000700,3821,2889,383,59.8,1862379.81,487.4,85.6
New York,Albany County,36001000800,2393,1343,330,57.8,2826069.97,1181.0,69.9
New York,Albany County,36001001100,1169,494,127,70.9,5404747.22,4623.4,53.1
New York,Albany County,36001001400,3560,322,216,74.7,848255.93,238.3,15.1
New York,Albany County,36001001500,4606,623,308,64.5,369288.22,80.2,20.2
New York,Albany County,36001001600,4273,506,291,72.5,590233.31,138.1,18.7
New York,Albany County,36001001700,4021,450,235,73.5,150687.88,37.5,17.0
New York,Albany County,36001001801,6579,407,213,87.1,263413.3,40.0,9.4
New York,Albany County,36001001802,3816,285,132,81,406788.44,106.6,10.9
New York,Albany County,36001001901,2607,184,106,85.9,237876.21,91.2,11.1
New York,Albany County,36001001902,2581,231,103,88.5,416841.13,161.5,12.9
New York,Albany County,36001002000,5771,1868,671,77.4,1481718.98,256.8,44.0
New York,Albany County,36001002100,3773,810,230,62.2,1821184.68,482.7,27.6
New York,Albany County,36001002200,2344,559,201,72,635364.63,271.1,32.4
New York,Albany County,36001002300,2051,1021,254,68.1,468461.85,228.4,62.2
New York,Albany County,36001002500,2872,1754,492,62.6,2542231.79,885.2,78.2
New York,Albany County,36001002600,5165,2783,670,72.3,2292455.7,443.8,66.9
New York,Albany County,36001012700,2342,66,90,81.3,,0,6.7
New York,Albany County,36001012800,3836,278,182,73.8,32302.22,8.4,12.0
New York,Albany County,36001012900,3445,216,170,77.7,,0,11.2
New York,Albany County,36001013000,6545,131,164,83.2,,0,4.5
New York,Albany County,36001013100,2620,118,87,81.5,21178.64,8.1,7.8
New York,Albany County,36001013200,3397,243,250,77,129900.19,38.2,14.5
New York,Albany County,36001013300,4427,396,263,81,170232.31,38.5,14.9
New York,Albany County,36001013400,2430,164,110,74.9,1077320,443.3,11.3
New York,Albany County,36001013503,4277,187,96,78.8,,0,6.6
New York,Albany County,36001013505,2712,28,50,87,,0,2.9
New York,Albany County,36001013506,6361,278,204,83.5,,0,7.6
New York,Albany County,36001013507,2594,144,100,79.7,1000,0.4,9.4
New York,Albany County,36001013508,6547,239,162,86.1,70000,10.7,6.1
New York,Albany County,36001013601,9372,331,310,85,317296.2,33.9,6.8
New York,Albany County,36001013602,4409,537,174,82.4,85558.39,19.4,16.1
New York,Albany County,36001013703,2500,461,85,86.1,10000,4.0,21.8
New York,Albany County,36001013705,6628,249,163,86.1,127085,19.2,6.2
New York,Albany County,36001013706,2124,28,61,89.5,,0,4.2
New York,Albany County,36001013707,6061,165,141,88.2,,0,5.0
New York,Albany County,36001013801,7278,444,280,83.2,12500,1.7,9.9
New York,Albany County,36001013802,4390,110,86,88.7,,0,4.5
New York,Albany County,36001013901,2460,95,65,86.6,721351.01,293.2,6.5
New York,Albany County,36001013902,5333,249,138,86.3,39960,7.5,7.3
New York,Albany County,36001014001,4003,268,218,82,27499.98,6.9,12.1
New York,Albany County,36001014002,4542,248,193,78.1,121090,26.7,9.7
New York,Albany County,36001014100,5304,100,113,88.1,396678,74.8,4.0
New York,Albany County,36001014201,5768,87,130,86,36542,6.3,3.8
New York,Albany County,36001014202,5938,91,161,86.6,146787,24.7,4.2
New York,Albany County,36001014203,6002,119,141,89.8,6212.16,1.0,4.3
New York,Albany County,36001014301,2852,272,128,84.6,,0,14.0
New York,Albany County,36001014302,7792,159,223,86.8,10882.3,1.4,4.9
New York,Albany County,36001014401,4151,69,118,81,50286.21,12.1,4.5
New York,Albany County,36001014402,3267,118,246,78.1,,0,11.1
New York,Albany County,36001014501,2380,7,24,84.4,93640,39.3,1.3
New York,Albany County,36001014502,3479,21,61,85.1,63034.08,18.1,2.4
New York,Albany County,36001014503,2789,22,60,88.3,,0,2.9
New York,Albany County,36001014606,3675,36,112,87.5,,0,4.0
New York,Albany County,36001014607,8262,151,207,89.5,947,0.1,4.3
New York,Albany County,36001014608,4358,332,282,87.1,258681.24,59.4,14.1
New York,Albany County,36001014609,4645,187,149,80.2,9971,2.1,7.2
New York,Albany County,36001014611,1818,33,57,84.9,23968.48,13.2,5.0
New York,Albany County,36001014612,1720,12,38,87.6,30823.61,17.9,2.9
New York,Albany County,36001014613,2863,71,59,83.9,4372.64,1.5,4.5
New York,Albany County,36001014614,5588,194,164,84.3,15443.33,2.8,6.4
New York,Albany County,36001014615,2374,111,64,77.5,133503.9,56.2,7.4
New York,Albany County,36001014700,2692,12,20,85.3,3117.84,1.2,1.2
New York,Albany County,36001014801,2794,17,36,89.9,3835.13,1.4,1.9
New York,Albany County,36001014802,1843,18,34,89.1,,0,2.8
New York,Albany County,36001014803,3361,5,52,83.2,,0,1.7
New York,Allegany County,36003950100,2555,2,21,74.9,,0,0.9
New York,Allegany County,36003950300,4927,41,59,83.3,,0,2.0
New York,Allegany County,36003950400,3649,7,36,85,,0,1.2
New York,Allegany County,36003950500,3799,26,59,86.6,,0,2.2
New York,Allegany County,36003950600,3960,50,59,87.6,750000,189.4,2.8
New York,Allegany County,36003950700,3821,24,48,79.8,,0,1.9
New York,Allegany County,36003950800,6384,275,210,77.2,,0,7.6
New York,Allegany County,36003950900,3938,13,42,82.8,,0,1.4
New York,Allegany County,36003951000,3249,12,24,84,370000,113.9,1.1
New York,Allegany County,36003951100,3938,14,25,77.6,,0,1.0
New York,Allegany County,36003951200,5086,16,42,80.9,,0,1.1
New York,Allegany County,36003951300,3639,14,45,81.6,386500,106.2,1.6
New York,Bronx County,36005000200,4334,977,2993,68.1,,0,91.6
New York,Bronx County,36005000400,5503,1327,3755,70.9,,0,92.3
New York,Bronx County,36005001600,5643,1829,3482,74.9,,0,94.1
New York,Bronx County,36005001900,1917,487,1186,63.4,,0,87.3
New York,Bronx County,36005002000,8731,3023,5361,74.3,,0,96.0
New York,Bronx County,36005002300,4933,1603,3223,74,,0,97.8
New York,Bronx County,36005002500,5491,988,4349,73.2,,0,97.2
New York,Bronx County,36005002701,3113,992,2050,74.2,,0,97.7
New York,Bronx County,36005002702,4475,955,3385,73.7,,0,97.0
New York,Bronx County,36005002800,5586,4189,1239,76.5,,0,97.2
New York,Bronx County,36005003100,1597,541,1018,72.8,,0,97.6
New York,Bronx County,36005003300,3413,875,2465,75.2,,0,97.9
New York,Bronx County,36005003500,3761,896,2787,74.9,,0,97.9
New York,Bronx County,36005003800,1264,425,761,68.1,,0,93.8
New York,Bronx County,36005003900,6475,945,5269,71.2,,0,96.0
New York,Bronx County,36005004001,1420,222,726,68.1,,0,66.8
New York,Bronx County,36005004100,6127,1499,4449,74,,0,97.1
New York,Bronx County,36005004200,7143,2985,3948,76.4,,0,97.1
New York,Bronx County,36005004300,5056,1060,3834,74.8,,0,96.8
New York,Bronx County,36005004400,4797,1652,2913,77.4,,0,95.2
New York,Bronx County,36005004600,1555,593,912,72.8,,0,96.8
New York,Bronx County,36005004800,3883,682,2989,72.2,,0,94.5
New York,Bronx County,36005005001,4767,1283,3306,68.1,,0,96.3
New York,Bronx County,36005005002,5823,933,4617,70.1,,0,95.3
New York,Bronx County,36005005100,5810,2008,3695,78.7,,0,98.2
New York,Bronx County,36005005200,2031,585,1348,69,,0,95.2
New York,Bronx County,36005005300,4669,2521,2027,63.8,,0,97.4
New York,Bronx County,36005005400,5853,1492,3810,61.9,,0,90.6
New York,Bronx County,36005005600,2711,607,1830,71,,0,89.9
New York,Bronx County,36005005902,2582,761,1631,80.2,,0,92.6
New York,Bronx County,36005006000,1129,148,938,77.1,,0,96.2
New York,Bronx County,36005006100,3713,3018,565,67.7,,0,96.5
New York,Bronx County,36005006200,6585,2146,4205,73.9,,0,96.4
New York,Bronx County,36005006300,5280,1265,3481,74.5,,0,89.9
New York,Bronx County,36005006400,3967,1344,2165,62.8,,0,88.5
New York,Bronx County,36005006500,5337,1550,3438,71.8,,0,93.5
New York,Bronx County,36005006700,6984,1667,5123,75,,0,97.2
New York,Bronx County,36005006800,2897,890,1667,64.2,,0,88.3
New York,Bronx County,36005006900,7564,2546,4747,72.5,,0,96.4
New York,Bronx County,36005007000,4584,1020,2791,62.3,,0,83.1
New York,Bronx County,36005007100,1907,620,1243,77.3,,0,97.7
New York,Bronx County,36005007200,5432,649,2818,69.6,,0,63.8
New York,Bronx County,36005007300,3893,871,2929,74.7,,0,97.6
New York,Bronx County,36005007400,3710,1357,2118,76.1,,0,93.7
New York,Bronx County,36005007500,4869,1429,3306,77.8,,0,97.2
New York,Bronx County,36005007600,5190,1067,3418,65.4,,0,86.4
New York,Bronx County,36005007700,1927,430,1420,74.6,,0,96.0
New York,Bronx County,36005007800,6418,1002,4284,66.6,,0,82.4
New York,Bronx County,36005007900,6733,1674,4888,76,,0,97.5
New York,Bronx County,36005008300,6155,923,5089,76,,0,97.7
New York,Bronx County,36005008400,2374,760,1448,59.8,,0,93.0
New York,Bronx County,36005008500,5457,1078,4173,72.7,,0,96.2
New York,Bronx County,36005008600,4176,1322,2642,78.8,,0,94.9
New York,Bronx County,36005008700,5466,1072,4274,75.2,,0,97.8
New York,Bronx County,36005008900,3177,449,2641,79.5,,0,97.3
New York,Bronx County,36005009000,3667,1089,2367,77.4,,0,94.2
New York,Bronx County,36005009200,5017,634,3044,69.5,,0,73.3
New York,Bronx County,36005009300,6356,1683,4435,66.7,,0,96.3
New York,Bronx County,36005009600,2594,392,1541,62.4,,0,74.5
New York,Bronx County,36005009800,5038,1316,3137,71.3,,0,88.4
New York,Bronx County,36005011502,4340,1097,3137,70.7,,0,97.6
New York,Bronx County,36005011700,1585,447,1112,74.1,,0,98.4
New York,Bronx County,36005011800,5089,160,878,71.3,,0,20.4
New York,Bronx County,36005011900,5698,1382,4119,75.8,,0,96.5
New York,Bronx County,36005012101,3090,927,2080,73.1,,0,97.3
New York,Bronx County,36005012102,1631,294,1300,77.4,,0,97.7
New York,Bronx County,36005012300,4152,1117,2924,73.7,,0,97.3
New York,Bronx County,36005012500,3905,1180,2560,72.7,,0,95.8
New York,Bronx County,36005012701,2253,488,1642,76.5,,0,94.5
New York,Bronx County,36005012901,4015,1206,2706,74.1,,0,97.4
New York,Bronx County,36005013000,1032,26,498,65.4,,0,50.8
New York,Bronx County,36005013100,5103,1587,3289,69.1,,0,95.6
New York,Bronx County,36005013200,5890,464,3011,65.6,,0,59.0
New York,Bronx County,36005013300,6384,2527,3692,78.1,,0,97.4
New York,Bronx County,36005013500,3583,1522,1972,71.5,,0,97.5
New York,Bronx County,36005013800,3042,135,826,75.8,,0,31.6
New York,Bronx County,36005014100,3437,1158,2107,74.7,,0,95.0
New York,Bronx County,36005014300,1003,536,438,74.1,,0,97.1
New York,Bronx County,36005014400,5880,1770,3586,72.5,,0,91.1
New York,Bronx County,36005014500,5816,2737,2895,69.2,,0,96.8
New York,Bronx County,36005014701,6461,3036,3308,76.1,,0,98.2
New York,Bronx County,36005014702,5110,2162,2826,74.7,,0,97.6
New York,Bronx County,36005014900,4591,1762,2591,72.9,,0,94.8
New York,Bronx County,36005015100,5409,2493,2753,68,,0,97.0
New York,Bronx County,36005015200,2341,138,1295,65.1,,0,61.2
New York,Bronx County,36005015300,4031,1944,1982,66.4,,0,97.4
New York,Bronx County,36005015500,3005,592,2331,77.1,,0,97.3
New York,Bronx County,36005015700,3580,1239,2246,67.6,,0,97.3
New York,Bronx County,36005015800,1206,59,570,61.9,,0,52.2
New York,Bronx County,36005015900,2164,209,1919,78.1,,0,98.3
New York,Bronx County,36005016000,3767,65,968,61.4,,0,27.4
New York,Bronx County,36005016100,4380,1453,2816,74.8,,0,97.5
New York,Bronx County,36005016200,1769,72,651,67.7,,0,40.9
New York,Bronx County,36005016400,1141,31,437,70.5,,0,41.0
New York,Bronx County,36005016500,1077,468,580,68.3,,0,97.3
New York,Bronx County,36005016600,2166,78,1084,69.4,,0,53.6
New York,Bronx County,36005016700,2047,1019,1004,68.8,,0,98.8
New York,Bronx County,36005016900,1663,863,750,69.3,,0,97.0
New York,Bronx County,36005017300,5987,2157,3631,74.3,,0,96.7
New York,Bronx County,36005017500,6911,2757,3912,71.2,,0,96.5
New York,Bronx County,36005017701,4294,1747,2349,68.9,,0,95.4
New York,Bronx County,36005017702,4805,2034,2607,68.1,,0,96.6
New York,Bronx County,36005017901,4677,1038,3358,74.6,,0,94.0
New York,Bronx County,36005017902,3587,1334,2158,74.8,,0,97.4
New York,Bronx County,36005018101,3300,1430,1737,69,,0,96.0
New York,Bronx County,36005018102,5555,2229,2951,71.8,,0,93.2
New York,Bronx County,36005018301,4525,1526,2562,77.6,,0,90.3
New York,Bronx County,36005018302,3647,1389,2063,71.1,,0,94.7
New York,Bronx County,36005018400,3855,85,1257,62.6,,0,34.8
New York,Bronx County,36005018500,7466,2962,4280,71.7,,0,97.0
New York,Bronx County,36005018900,7752,2406,5064,71.1,,0,96.4
New York,Bronx County,36005019300,5461,1807,3537,77.1,,0,97.9
New York,Bronx County,36005019400,1903,202,1084,67.7,,0,67.6
New York,Bronx County,36005019500,7756,2350,5046,77,,0,95.4
New York,Bronx County,36005019700,7501,1537,5285,75.1,,0,90.9
New York,Bronx County,36005019900,8154,2387,5527,77.3,,0,97.1
New York,Bronx County,36005020000,4878,369,2628,71.7,,0,61.4
New York,Bronx County,36005020100,4013,1412,2473,74.2,,0,96.8
New York,Bronx County,36005020200,2155,211,1301,64,,0,70.2
New York,Bronx County,36005020400,2976,302,1900,65.1,,0,74.0
New York,Bronx County,36005020501,6996,2616,4188,76.4,,0,97.3
New York,Bronx County,36005020502,1764,550,1155,73.9,,0,96.7
New York,Bronx County,36005020601,3050,368,1726,65.3,,0,68.7
New York,Bronx County,36005020900,4361,1415,2795,76.1,,0,96.5
New York,Bronx County,36005021001,8521,4330,3230,73.8,,0,88.7
New York,Bronx County,36005021002,6839,3512,2297,77.5,,0,84.9
New York,Bronx County,36005021100,5565,1994,3432,75.9,,0,97.5
New York,Bronx County,36005021200,5267,2036,1640,77.8,,0,69.8
New York,Bronx County,36005021301,1201,218,951,78.4,,0,97.3
New York,Bronx County,36005021302,5415,2084,3208,73.1,,0,97.7
New York,Bronx County,36005021501,3506,957,2483,78.6,,0,98.1
New York,Bronx County,36005021502,6051,1775,4111,74.8,,0,97.3
New York,Bronx County,36005021601,4206,939,2717,70.8,,0,86.9
New York,Bronx County,36005021602,5769,2387,2107,74.4,,0,77.9
New York,Bronx County,36005021700,5334,2292,2788,69.7,,0,95.2
New York,Bronx County,36005021800,6499,1717,4184,69,,0,90.8
New York,Bronx County,36005021900,1367,307,1024,72.7,,0,97.4
New York,Bronx County,36005022000,1487,325,1071,65.8,,0,93.9
New York,Bronx County,36005022101,3849,804,2865,76.3,,0,95.3
New York,Bronx County,36005022102,5488,689,4596,75.1,,0,96.3
New York,Bronx County,36005022200,3425,500,2090,68.4,,0,75.6
New York,Bronx County,36005022300,5047,883,3963,79.8,,0,96.0
New York,Bronx County,36005022401,2708,395,1590,72.7,,0,73.3
New York,Bronx County,36005022403,3188,486,1893,76.6,,0,74.6
New York,Bronx County,36005022404,4509,690,2179,74.7,,0,63.6
New York,Bronx County,36005022500,7698,2277,5172,73.2,,0,96.8
New York,Bronx County,36005022701,5196,1678,3337,74.3,,0,96.5
New York,Bronx County,36005022702,1699,447,1063,72.9,,0,88.9
New York,Bronx County,36005022703,1556,286,1114,74.5,,0,90.0
New York,Bronx County,36005022800,6218,874,3073,71.7,,0,63.5
New York,Bronx County,36005022901,5370,1325,3429,68.8,,0,88.5
New York,Bronx County,36005022902,3273,880,2282,68.1,,0,96.6
New York,Bronx County,36005023000,2950,367,1681,63.7,,0,69.4
New York,Bronx County,36005023100,1537,537,960,65.5,,0,97.4
New York,Bronx County,36005023200,2661,211,1455,65.5,,0,62.6
New York,Bronx County,36005023301,4377,1505,2750,67.1,,0,97.2
New York,Bronx County,36005023302,3415,501,2790,73.8,,0,96.4
New York,Bronx County,36005023501,3341,577,2598,74.6,,0,95.0
New York,Bronx County,36005023502,4386,843,3235,78.3,,0,93.0
New York,Bronx County,36005023600,1907,257,1154,60.3,,0,74.0
New York,Bronx County,36005023702,1241,244,958,75.8,,0,96.9
New York,Bronx County,36005023703,5253,1084,3950,70.4,,0,95.8
New York,Bronx County,36005023704,3758,858,2790,70.8,,0,97.1
New York,Bronx County,36005023800,2615,275,1604,62.1,,0,71.9
