State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Oregon,Baker County,41001950100,2761,1,85,81.1,617098,223.5,3.1
Oregon,Baker County,41001950200,3145,9,125,86.8,79934,25.4,4.3
Oregon,Baker County,41001950300,2648,7,81,85,,0,3.3
Oregon,Baker County,41001950400,3026,1,96,82,,0,3.2
Oregon,Baker County,41001950500,2630,25,101,81.1,,0,4.8
Oregon,Baker County,41001950600,1924,9,40,86.8,2897571,1506.0,2.5
Oregon,Benton County,41003000100,7059,81,834,83.4,2596548.47,367.8,13.0
Oregon,Benton County,41003000202,5234,45,195,86.1,392474.66,75.0,4.6
Oregon,Benton County,41003000400,7820,69,327,87.8,469935.98,60.1,5.1
Oregon,Benton County,41003000500,3141,15,86,86.6,78779.39,25.1,3.2
Oregon,Benton County,41003000600,4845,66,397,78.3,342557.78,70.7,9.6
Oregon,Benton County,41003000900,5438,29,260,83.1,275316,50.6,5.3
Oregon,Benton County,41003001001,3872,41,844,72.5,842709.09,217.6,22.9
Oregon,Benton County,41003001002,3159,23,184,80.2,537664.19,170.2,6.6
Oregon,Benton County,41003001101,3662,39,181,71.8,430521,117.6,6.0
Oregon,Benton County,41003001102,4519,46,238,79.3,722446.32,159.9,6.3
Oregon,Benton County,41003010100,8519,37,305,89.1,57149.93,6.7,4.0
Oregon,Benton County,41003010200,4090,15,162,86.5,,0,4.3
Oregon,Benton County,41003010300,3203,4,82,89.3,,0,2.7
Oregon,Benton County,41003010400,3808,11,310,82,2347700.89,616.5,8.4
Oregon,Benton County,41003010600,5507,68,389,73.8,1579569.02,286.8,8.3
Oregon,Benton County,41003010702,3645,62,197,77.9,342357,93.9,7.1
Oregon,Benton County,41003010800,3455,17,253,77,237587,68.8,7.8
Oregon,Benton County,41003010900,4603,47,223,83.9,159193,34.6,5.9
Oregon,Clackamas County,41005020100,3870,25,172,84.1,223510.27,57.8,5.1
Oregon,Clackamas County,41005020200,6193,24,229,83.8,97044.77,15.7,4.1
Oregon,Clackamas County,41005020302,3591,34,200,79.1,89109.13,24.8,6.5
Oregon,Clackamas County,41005020303,5275,56,220,80.9,,0,5.2
Oregon,Clackamas County,41005020304,5438,44,211,83,107134,19.7,4.7
Oregon,Clackamas County,41005020401,5059,19,252,85.8,37074.52,7.3,5.4
Oregon,Clackamas County,41005020403,3628,13,80,88.1,,0,2.6
Oregon,Clackamas County,41005020404,3708,11,135,88.5,94917,25.6,3.9
Oregon,Clackamas County,41005020501,6921,70,298,81,664819,96.1,5.3
Oregon,Clackamas County,41005020503,2339,9,78,85.4,34677,14.8,3.7
Oregon,Clackamas County,41005020504,6316,18,195,86.6,92506.04,14.6,3.4
Oregon,Clackamas County,41005020505,2661,11,50,88.8,,0,2.3
Oregon,Clackamas County,41005020600,7814,69,332,81.4,75664.36,9.7,5.1
Oregon,Clackamas County,41005020700,3781,10,180,81.6,85319.2,22.6,5.0
Oregon,Clackamas County,41005020800,3989,37,189,78.9,935475.97,234.5,5.7
Oregon,Clackamas County,41005020900,3799,78,227,78.2,456873.68,120.3,8.0
Oregon,Clackamas County,41005021000,4509,43,362,80.6,410930.96,91.1,9.0
Oregon,Clackamas County,41005021100,5424,35,454,79.2,305501.99,56.3,9.0
Oregon,Clackamas County,41005021200,3859,55,360,74.6,218928.5,56.7,10.8
Oregon,Clackamas County,41005021300,5937,49,547,77.9,308362.61,51.9,10.0
Oregon,Clackamas County,41005021400,4719,59,343,79.3,161946.8,34.3,8.5
Oregon,Clackamas County,41005021500,4927,48,272,83.4,150374.01,30.5,6.5
Oregon,Clackamas County,41005021601,5951,110,1013,77.6,1086547.15,182.6,18.9
Oregon,Clackamas County,41005021602,4924,89,752,74.5,398495.8,80.9,17.1
Oregon,Clackamas County,41005021700,6082,73,486,78.2,1369809.09,225.2,9.2
Oregon,Clackamas County,41005021801,5612,26,276,86.5,94612,16.9,5.4
Oregon,Clackamas County,41005021802,4300,55,614,73.5,102652,23.9,15.6
Oregon,Clackamas County,41005021900,3515,24,389,74.5,1569474.42,446.5,11.7
Oregon,Clackamas County,41005022000,6412,41,400,81.9,785952.55,122.6,6.9
Oregon,Clackamas County,41005022101,6592,74,682,81.8,229212.36,34.8,11.5
Oregon,Clackamas County,41005022103,5827,78,359,75.4,5000,0.9,7.5
Oregon,Clackamas County,41005022105,6054,84,400,79.2,90755,15.0,8.0
Oregon,Clackamas County,41005022107,3685,96,437,64.5,,0,14.5
Oregon,Clackamas County,41005022108,2898,31,507,68,49086,16.9,18.6
Oregon,Clackamas County,41005022201,4779,168,1338,69.6,123683.62,25.9,31.5
Oregon,Clackamas County,41005022205,3339,24,249,81.8,130508.31,39.1,8.2
Oregon,Clackamas County,41005022206,6412,88,339,78.2,59925,9.3,6.7
Oregon,Clackamas County,41005022207,5095,59,196,83.4,12454,2.4,5.0
Oregon,Clackamas County,41005022208,6062,79,227,80.8,29010,4.8,5.0
Oregon,Clackamas County,41005022301,3867,19,186,79.4,118421.67,30.6,5.3
Oregon,Clackamas County,41005022302,5274,13,294,79.5,59911,11.4,5.8
Oregon,Clackamas County,41005022400,3968,16,209,78.6,5346170.79,1347.3,5.7
Oregon,Clackamas County,41005022500,7756,28,617,73.3,444372.07,57.3,8.3
Oregon,Clackamas County,41005022602,4171,9,156,85.4,52102.75,12.5,4.0
Oregon,Clackamas County,41005022603,3239,20,468,83.3,220332.06,68.0,15.1
Oregon,Clackamas County,41005022605,7363,56,536,83.8,7344754.94,997.5,8.0
Oregon,Clackamas County,41005022606,4342,24,215,87.7,80542.64,18.5,5.5
Oregon,Clackamas County,41005022702,6685,38,216,83.9,28521,4.3,3.8
Oregon,Clackamas County,41005022707,3835,26,341,79.4,3000,0.8,9.6
Oregon,Clackamas County,41005022708,4175,21,795,78.6,35922.87,8.6,19.5
Oregon,Clackamas County,41005022710,2570,22,353,74.1,,0,14.6
Oregon,Clackamas County,41005022800,3977,8,154,88.6,456575.12,114.8,4.1
Oregon,Clackamas County,41005022901,3481,12,203,83.2,8000,2.3,6.2
Oregon,Clackamas County,41005022904,3611,9,766,75.3,625028.15,173.1,21.5
Oregon,Clackamas County,41005022905,4092,7,514,83.1,85341.22,20.9,12.7
Oregon,Clackamas County,41005022906,2950,4,399,78.8,290729.69,98.6,13.7
