State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Rhode Island,Bristol County,44001030100,4654,22,92,86.8,,0,2.4
Rhode Island,Bristol County,44001030200,3188,30,61,84.4,33300,10.4,2.9
Rhode Island,Bristol County,44001030300,4531,14,88,88.2,,0,2.3
Rhode Island,Bristol County,44001030400,3937,5,92,87.8,,0,2.5
Rhode Island,Bristol County,44001030500,3224,46,80,73.4,159000,49.3,3.9
Rhode Island,Bristol County,44001030601,3341,30,47,82.4,,0,2.3
Rhode Island,Bristol County,44001030602,4046,36,67,80.9,4600,1.1,2.5
Rhode Island,Bristol County,44001030700,3996,55,94,76.2,205000,51.3,3.7
Rhode Island,Bristol County,44001030800,5650,45,148,78.4,,0,3.4
Rhode Island,Bristol County,44001030901,6271,42,117,83,,0,2.5
Rhode Island,Bristol County,44001030902,7037,38,103,85.1,19965,2.8,2.0
Rhode Island,Kent County,44003020101,6438,137,206,80.2,,0,5.3
Rhode Island,Kent County,44003020102,4836,114,203,79.9,,0,6.6
Rhode Island,Kent County,44003020200,4905,76,284,70.7,70000,14.3,7.3
Rhode Island,Kent County,44003020300,5833,125,413,75.3,1283800,220.1,9.2
Rhode Island,Kent County,44003020400,2919,50,177,75.9,125000,42.8,7.8
Rhode Island,Kent County,44003020500,4260,70,170,78.7,,0,5.6
Rhode Island,Kent County,44003020601,6286,37,159,82.2,,0,3.1
Rhode Island,Kent County,44003020602,3527,32,78,79.7,33850,9.6,3.1
Rhode Island,Kent County,44003020603,6527,24,75,82.7,55000,8.4,1.5
Rhode Island,Kent County,44003020604,5270,39,161,76.9,51821.75,9.8,3.8
Rhode Island,Kent County,44003020701,1920,11,23,81.8,10000,5.2,1.8
Rhode Island,Kent County,44003020702,4632,28,73,84.9,,0,2.2
Rhode Island,Kent County,44003020703,6852,35,102,84.2,673494.95,98.3,2.0
Rhode Island,Kent County,44003020800,6135,48,131,80.5,46700,7.6,2.9
Rhode Island,Kent County,44003020901,3448,40,89,78.6,711967,206.5,3.7
Rhode Island,Kent County,44003020903,5985,45,104,87.4,,0,2.5
Rhode Island,Kent County,44003020904,3713,18,34,87.3,,0,1.4
Rhode Island,Kent County,44003021001,2525,53,123,80.6,,0,7.0
Rhode Island,Kent County,44003021002,4932,78,223,81.1,117693,23.9,6.1
Rhode Island,Kent County,44003021100,5320,150,252,74.6,539073.85,101.3,7.6
Rhode Island,Kent County,44003021200,3656,71,144,78.3,467118.55,127.8,5.9
Rhode Island,Kent County,44003021300,4772,61,105,85.9,137481.4,28.8,3.5
Rhode Island,Kent County,44003021401,3937,51,111,81.8,58612,14.9,4.1
Rhode Island,Kent County,44003021402,3660,62,152,81.7,466418.07,127.4,5.8
Rhode Island,Kent County,44003021501,3194,61,128,73.1,138770.41,43.4,5.9
Rhode Island,Kent County,44003021502,4286,39,117,79.3,751940,175.4,3.6
Rhode Island,Kent County,44003021600,1526,8,29,85.8,5000,3.3,2.4
Rhode Island,Kent County,44003021700,4852,82,178,81.7,620338,127.9,5.4
Rhode Island,Kent County,44003021800,4144,93,133,78.3,86844.88,21.0,5.5
Rhode Island,Kent County,44003021901,3601,31,142,81.2,65061.92,18.1,4.8
Rhode Island,Kent County,44003021902,2727,18,132,78.5,14000,5.1,5.5
Rhode Island,Kent County,44003021903,3987,47,83,84.4,602053,151.0,3.3
Rhode Island,Kent County,44003022000,3360,39,84,77.3,6820339.74,2029.9,3.7
Rhode Island,Kent County,44003022100,5515,41,133,85.4,385944,70.0,3.2
Rhode Island,Kent County,44003022201,6799,102,190,81,139625,20.5,4.3
Rhode Island,Kent County,44003022202,3583,59,121,82.5,,0,5.0
Rhode Island,Kent County,44003022300,4167,74,222,72.6,442702.45,106.2,7.1
Rhode Island,Kent County,44003022400,2126,8,25,83.8,19000,8.9,1.6
Rhode Island,Newport County,44005040101,4895,42,123,81.9,,0,3.4
Rhode Island,Newport County,44005040102,5883,45,77,85.6,,0,2.1
Rhode Island,Newport County,44005040103,6611,132,172,84.9,319540,48.3,4.6
Rhode Island,Newport County,44005040200,1127,81,99,70.2,,0,16.0
Rhode Island,Newport County,44005040302,2431,113,76,79.1,,0,7.8
Rhode Island,Newport County,44005040303,3178,249,243,80.3,116200,36.6,15.5
Rhode Island,Newport County,44005040304,2912,116,173,80,396331,136.1,9.9
Rhode Island,Newport County,44005040400,6502,118,172,82.6,45526,7.0,4.5
Rhode Island,Newport County,44005040500,4260,561,660,76.9,6666,1.6,28.7
Rhode Island,Newport County,44005040600,4416,310,469,79.9,194600,44.1,17.6
Rhode Island,Newport County,44005040700,3324,90,132,79.4,15000,4.5,6.7
Rhode Island,Newport County,44005040800,2511,100,118,79.6,,0,8.7
Rhode Island,Newport County,44005040900,4738,74,168,83.7,,0,5.1
Rhode Island,Newport County,44005041000,1965,54,63,71.5,2333809,1187.7,6.0
Rhode Island,Newport County,44005041100,1573,83,140,83.9,,0,14.2
Rhode Island,Newport County,44005041200,1885,306,312,64.1,,0,32.8
Rhode Island,Newport County,44005041300,5405,24,92,86.1,414943,76.8,2.1
Rhode Island,Newport County,44005041400,3492,21,33,84.6,228500,65.4,1.5
Rhode Island,Newport County,44005041601,3137,49,94,78.7,30000,9.6,4.6
Rhode Island,Newport County,44005041602,4420,33,33,85.7,516900,116.9,1.5
Rhode Island,Newport County,44005041701,3246,21,18,83.5,102500,31.6,1.2
Rhode Island,Newport County,44005041702,4977,23,45,83.6,,0,1.4
Rhode Island,Providence County,44007000101,5064,778,1682,64.7,865793.53,171.0,48.6
Rhode Island,Providence County,44007000102,5303,960,2707,72,946542.89,178.5,69.1
Rhode Island,Providence County,44007000200,6452,934,4157,69.9,2816557.01,436.5,78.9
Rhode Island,Providence County,44007000300,6714,1321,4023,65.4,3691070.63,549.8,79.6
Rhode Island,Providence County,44007000400,3761,918,2399,67.4,3834073.59,1019.4,88.2
Rhode Island,Providence County,44007000500,3040,759,1927,71.9,2731319.59,898.5,88.4
Rhode Island,Providence County,44007000600,1665,484,664,64.6,2754051.54,1654.1,68.9
Rhode Island,Providence County,44007000700,2671,971,1107,67.7,4090286.92,1531.4,77.8
Rhode Island,Providence County,44007000800,4569,376,667,69,38127468.26,8344.8,22.8
Rhode Island,Providence County,44007000900,2317,238,564,59.8,1288964.06,556.3,34.6
Rhode Island,Providence County,44007001000,2456,297,977,64.5,743230.5,302.6,51.9
Rhode Island,Providence County,44007001100,2473,230,519,55.6,1429823,578.2,30.3
Rhode Island,Providence County,44007001200,2895,481,1722,71.5,1934449.98,668.2,76.1
Rhode Island,Providence County,44007001300,4256,378,1985,63.9,417044.58,98.0,55.5
Rhode Island,Providence County,44007001400,6693,930,4204,61.9,2707977.97,404.6,76.7
Rhode Island,Providence County,44007001500,2994,380,1224,71.4,271179.08,90.6,53.6
Rhode Island,Providence County,44007001600,8540,821,6012,65.3,532782.1,62.4,80.0
Rhode Island,Providence County,44007001700,3744,245,2324,67.5,507104.98,135.4,68.6
Rhode Island,Providence County,44007001800,7114,782,4349,69.9,1523038.12,214.1,72.1
Rhode Island,Providence County,44007001900,5559,679,3287,60.5,4115261.82,740.3,71.3
Rhode Island,Providence County,44007002000,6323,926,2456,69.3,224873.54,35.6,53.5
Rhode Island,Providence County,44007002101,2575,407,891,73.3,42812.89,16.6,50.4
Rhode Island,Providence County,44007002102,5839,937,2991,64.8,526050.85,90.1,67.3
Rhode Island,Providence County,44007002200,4746,791,2726,59.8,383160.8,80.7,74.1
Rhode Island,Providence County,44007002300,5307,509,995,68.5,800902.52,150.9,28.3
Rhode Island,Providence County,44007002400,6760,433,664,76.5,422020.32,62.4,16.2
Rhode Island,Providence County,44007002500,2984,280,940,66.5,798039.92,267.4,40.9
Rhode Island,Providence County,44007002600,3098,678,1212,62.1,1479430.59,477.5,61.0
Rhode Island,Providence County,44007002700,5777,970,2367,66.2,330029.44,57.1,57.8
Rhode Island,Providence County,44007002800,6092,1415,1953,68.1,599184.92,98.4,55.3
Rhode Island,Providence County,44007002900,6760,1088,1971,69.2,1518822.03,224.7,45.3
Rhode Island,Providence County,44007003100,4315,720,489,70.7,1437980.48,333.3,28.0
Rhode Island,Providence County,44007003200,3270,375,337,77.5,649581.88,198.6,21.8
Rhode Island,Providence County,44007003300,4132,273,206,81.1,892996.72,216.1,11.6
Rhode Island,Providence County,44007003400,4769,61,104,88.9,256266,53.7,3.5
Rhode Island,Providence County,44007003500,4474,108,195,80.3,437095.79,97.7,6.8
Rhode Island,Providence County,44007003601,3031,101,215,71.4,294763.41,97.2,10.4
Rhode Island,Providence County,44007003602,5937,194,448,73.9,2466384.92,415.4,10.8
Rhode Island,Providence County,44007003700,3573,171,175,67.9,1131035.51,316.6,9.7
Rhode Island,Providence County,44007010101,3870,188,161,79.4,88300,22.8,9.0
Rhode Island,Providence County,44007010102,3424,91,52,86.8,76171.02,22.2,4.2
Rhode Island,Providence County,44007010200,6600,472,334,75.9,3765330.05,570.5,12.2
Rhode Island,Providence County,44007010300,4090,321,180,75.2,2831330.78,692.3,12.2
Rhode Island,Providence County,44007010400,6661,559,386,77.1,343610.31,51.6,14.2
Rhode Island,Providence County,44007010501,4661,280,314,74.5,87271.84,18.7,12.7
Rhode Island,Providence County,44007010502,4731,300,141,78,92149.18,19.5,9.3
Rhode Island,Providence County,44007010600,6367,251,228,78.2,1602713.52,251.7,7.5
Rhode Island,Providence County,44007010701,2378,33,40,85.3,163267,68.7,3.1
Rhode Island,Providence County,44007010702,4255,64,77,84.1,150907.13,35.5,3.3
Rhode Island,Providence County,44007010800,4763,309,2820,66.6,1221549,256.5,65.7
Rhode Island,Providence County,44007010900,4903,297,2841,70.8,,0,64.0
Rhode Island,Providence County,44007011000,5534,445,3468,70.3,,0,70.7
Rhode Island,Providence County,44007011100,4176,362,2556,63.4,45800,11.0,69.9
Rhode Island,Providence County,44007011200,5673,147,728,81.5,132388.54,23.3,15.4
Rhode Island,Providence County,44007011301,4255,88,305,78.7,215000,50.5,9.2
Rhode Island,Providence County,44007011302,4012,36,99,85.5,,0,3.4
Rhode Island,Providence County,44007011401,8314,63,113,86,,0,2.1
Rhode Island,Providence County,44007011402,4093,28,53,84.3,11000,2.7,2.0
Rhode Island,Providence County,44007011403,7159,84,198,84.9,,0,3.9
Rhode Island,Providence County,44007011500,6151,97,262,69.8,,0,5.8
