State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Texas,Anderson County,48001950100,4685,449,236,72.5,,0,14.6
Texas,Anderson County,48001950401,5422,2263,1324,62.9,,0,66.2
Texas,Anderson County,48001950402,7535,3243,1737,58.1,,0,66.1
Texas,Anderson County,48001950500,4377,784,1389,75.4,244750,55.9,49.6
Texas,Anderson County,48001950600,6405,1654,1253,77.5,,0,45.4
Texas,Anderson County,48001950700,2640,1145,685,75.3,3449606.14,1306.7,69.3
Texas,Anderson County,48001950800,5246,770,813,78.7,,0,30.2
Texas,Anderson County,48001950901,5938,740,777,81.3,,0,25.5
Texas,Anderson County,48001950902,4834,467,499,82.8,,0,20.0
Texas,Anderson County,48001951000,6988,326,338,73.1,354722.88,50.8,9.5
Texas,Anderson County,48001951100,4388,381,236,69,,0,14.1
Texas,Andrews County,48003950100,1678,6,483,78.8,,0,29.1
Texas,Andrews County,48003950200,6473,116,2948,76.5,,0,47.3
Texas,Andrews County,48003950300,3924,64,2445,78.3,311500,79.4,63.9
Texas,Andrews County,48003950400,2711,13,1319,73.1,,0,49.1
Texas,Angelina County,48005000101,6311,242,724,74.6,,0,15.3
Texas,Angelina County,48005000102,4447,132,516,84.7,,0,14.6
Texas,Angelina County,48005000200,6580,509,1300,80.1,,0,27.5
Texas,Angelina County,48005000301,5326,597,738,81.7,,0,25.1
Texas,Angelina County,48005000302,4613,199,965,82.1,463752.36,100.5,25.2
Texas,Angelina County,48005000400,5479,1388,1452,79.4,,0,51.8
Texas,Angelina County,48005000500,4006,2635,816,74.9,,0,86.1
Texas,Angelina County,48005000600,6416,1861,2775,79.5,,0,72.3
Texas,Angelina County,48005000700,3292,820,1669,76.9,,0,75.6
Texas,Angelina County,48005000800,6299,1346,1052,80.6,,0,38.1
Texas,Angelina County,48005000901,6342,1065,760,79.2,,0,28.8
Texas,Angelina County,48005000902,3745,447,322,71.8,,0,20.5
Texas,Angelina County,48005001001,5377,996,2266,81.6,,0,60.7
Texas,Angelina County,48005001002,4289,301,1185,85.1,,0,34.6
Texas,Angelina County,48005001100,6079,204,375,80.1,,0,9.5
Texas,Angelina County,48005001200,2989,13,62,73.7,242327.77,81.1,2.5
Texas,Angelina County,48005001300,5181,85,168,73.8,,0,4.9
Texas,Aransas County,48007950100,5495,33,791,86.8,,0,15.0
Texas,Aransas County,48007950200,1163,7,98,93.3,,0,9.0
Texas,Aransas County,48007950300,6609,69,1767,85,1103719.23,167.0,27.8
Texas,Aransas County,48007950400,3583,95,1267,74.4,,0,38.0
Texas,Aransas County,48007950500,6308,54,1767,78.8,,0,28.9
Texas,Archer County,48009020100,2660,24,114,88.6,,0,5.2
Texas,Archer County,48009020200,2780,10,114,77.7,,0,4.5
Texas,Archer County,48009020300,3614,0,447,79.9,,0,12.4
Texas,Armstrong County,48011950100,1901,11,124,77.5,,0,7.1
Texas,Atascosa County,48013960100,6972,38,3959,77.1,,0,57.3
Texas,Atascosa County,48013960201,6234,37,3920,58.5,,0,63.5
Texas,Atascosa County,48013960202,9342,75,6711,66.1,,0,72.6
Texas,Atascosa County,48013960300,3595,10,3049,65.5,,0,85.1
Texas,Atascosa County,48013960401,2294,15,1641,59.4,,0,72.2
Texas,Atascosa County,48013960402,7801,46,3673,76.2,,0,47.7
Texas,Atascosa County,48013960500,2684,11,1811,66.9,,0,67.9
Texas,Atascosa County,48013960600,5989,24,3021,69.5,2282801.62,381.2,50.8
Texas,Austin County,48015760100,2400,308,647,72.7,,0,39.8
Texas,Austin County,48015760200,6032,747,2037,83.8,,0,46.2
Texas,Austin County,48015760300,7037,473,1964,78.6,,0,34.6
Texas,Austin County,48015760400,3660,172,378,80.5,,0,15.0
Texas,Austin County,48015760501,4184,268,450,80.8,,0,17.2
Texas,Austin County,48015760502,5104,654,1165,78.2,648953.8,127.1,35.6
Texas,Bailey County,48017950100,7165,67,4283,78,713030.55,99.5,60.7
Texas,Bandera County,48019000101,4330,15,748,77.2,394393,91.1,17.6
Texas,Bandera County,48019000102,4913,10,819,71.1,,0,16.9
Texas,Bandera County,48019000200,2726,16,262,77,,0,10.2
Texas,Bandera County,48019000300,6369,38,1192,73.1,,0,19.3
Texas,Bandera County,48019000400,2147,11,394,76.5,,0,18.9
Texas,Bastrop County,48021950100,8608,358,2660,80.7,,0,35.1
Texas,Bastrop County,48021950200,7955,1276,3674,78,,0,62.2
Texas,Bastrop County,48021950300,12927,1170,3012,83.2,,0,32.4
Texas,Bastrop County,48021950400,7984,775,1711,81.1,2274389.03,284.9,31.1
Texas,Bastrop County,48021950501,8008,832,3253,76.3,,0,51.0
Texas,Bastrop County,48021950502,6409,89,1118,82.3,,0,18.8
Texas,Bastrop County,48021950600,5184,163,697,79.7,,0,16.6
Texas,Bastrop County,48021950700,4189,504,784,83.5,,0,30.7
Texas,Bastrop County,48021950801,6520,161,3894,80.8,,0,62.2
Texas,Bastrop County,48021950802,6387,207,3387,77.7,,0,56.3
Texas,Baylor County,48023950300,3726,71,455,87.4,315000,84.5,14.1
Texas,Bee County,48025950100,2002,10,872,68,,0,44.1
Texas,Bee County,48025950201,7928,2103,2766,83,,0,61.4
Texas,Bee County,48025950202,5059,34,2613,78.2,,0,52.3
Texas,Bee County,48025950300,5093,134,3281,75,,0,67.1
Texas,Bee County,48025950400,2006,46,1436,78.2,5978573.78,2980.3,73.9
Texas,Bee County,48025950500,7343,174,5570,69.2,,0,78.2
Texas,Bee County,48025950600,2430,24,1368,71,,0,57.3
Texas,Bell County,48027020100,6219,105,856,73.4,,0,15.5
Texas,Bell County,48027020201,6017,166,628,90.1,,0,13.2
Texas,Bell County,48027020202,6574,120,895,84.7,,0,15.4
Texas,Bell County,48027020300,7838,703,1578,78.9,,0,29.1
Texas,Bell County,48027020401,3008,691,717,77.1,,0,46.8
Texas,Bell County,48027020402,2803,574,1002,74.2,21499.92,7.7,56.2
Texas,Bell County,48027020500,3810,562,1210,76.2,19868.35,5.2,46.5
Texas,Bell County,48027020600,2574,231,602,75.8,10000,3.9,32.4
Texas,Bell County,48027020701,1343,341,411,73.3,5069970.26,3775.1,56.0
Texas,Bell County,48027020702,2172,462,1046,72.7,260819.9,120.1,69.4
Texas,Bell County,48027020800,3528,1821,1025,68.4,464375.46,131.6,80.7
Texas,Bell County,48027020900,2998,862,953,69.1,19519.95,6.5,60.5
Texas,Bell County,48027021000,4610,819,1576,71.9,,0,52.0
Texas,Bell County,48027021100,5402,541,1449,77.7,6027.47,1.1,36.8
Texas,Bell County,48027021201,3021,396,611,69.1,8611.62,2.9,33.3
Texas,Bell County,48027021202,4130,687,780,71.3,13430,3.3,35.5
Texas,Bell County,48027021203,4298,294,683,77.1,17000,4.0,22.7
Texas,Bell County,48027021301,4796,447,669,81.6,,0,23.3
Texas,Bell County,48027021302,2865,134,253,80.3,13607,4.7,13.5
Texas,Bell County,48027021303,6153,1198,1035,80,22184.57,3.6,36.3
Texas,Bell County,48027021400,3834,63,647,76.5,,0,18.5
Texas,Bell County,48027021500,6538,709,1985,77.2,,0,41.2
Texas,Bell County,48027021601,5080,322,2358,75.8,20367.59,4.0,52.8
Texas,Bell County,48027021602,2499,241,589,71.9,,0,33.2
Texas,Bell County,48027021700,7338,201,941,80.1,,0,15.6
Texas,Bell County,48027021800,8440,889,1803,78,,0,31.9
Texas,Bell County,48027021901,3463,567,681,73.9,1082129.75,312.5,36.0
Texas,Bell County,48027021903,8350,2078,1371,78.1,1068214,127.9,41.3
Texas,Bell County,48027021904,8823,1070,1505,71.4,,0,29.2
Texas,Bell County,48027022000,7952,1716,1502,71.9,,0,40.5
Texas,Bell County,48027022101,4256,1249,868,73.7,191240.98,44.9,49.7
Texas,Bell County,48027022103,5518,1837,1322,73.7,60003.09,10.9,57.2
Texas,Bell County,48027022104,4399,1651,891,70.5,6135,1.4,57.8
Texas,Bell County,48027022105,2317,617,565,73.5,128244.95,55.3,51.0
Texas,Bell County,48027022200,3258,959,731,65.4,432765.53,132.8,51.9
Texas,Bell County,48027022300,4010,1381,824,69.6,467841.92,116.7,55.0
Texas,Bell County,48027022401,5567,2028,1257,76.7,17472.18,3.1,59.0
Texas,Bell County,48027022402,4402,1578,945,73.6,,0,57.3
Texas,Bell County,48027022403,4513,1408,944,73.6,27504.19,6.1,52.1
Texas,Bell County,48027022404,7400,2562,1606,73.5,277596.81,37.5,56.3
Texas,Bell County,48027022405,1750,413,362,57.5,14791.1,8.5,44.3
Texas,Bell County,48027022501,3423,811,829,70.5,180598.07,52.8,47.9
Texas,Bell County,48027022502,9542,2690,1987,67.5,657166,68.9,49.0
Texas,Bell County,48027022600,4292,1094,1425,65,767465.78,178.8,58.7
Texas,Bell County,48027022801,2540,866,688,62.8,227330.51,89.5,61.2
Texas,Bell County,48027022900,3672,933,1070,65.6,188324.97,51.3,54.5
Texas,Bell County,48027023000,7028,1894,1468,79.3,61875.77,8.8,47.8
Texas,Bell County,48027023103,4467,1348,984,67.5,44094.94,9.9,52.2
Texas,Bell County,48027023104,3235,854,750,74.1,180151.61,55.7,49.6
Texas,Bell County,48027023105,8805,2968,2022,69.6,79300,9.0,56.7
Texas,Bell County,48027023106,9716,3670,2182,65.1,42796,4.4,60.2
Texas,Bell County,48027023107,7105,2857,1477,68.9,14935.07,2.1,61.0
Texas,Bell County,48027023108,13856,4895,3248,71.7,21909.68,1.6,58.8
Texas,Bell County,48027023201,2684,335,418,69.9,,0,28.1
Texas,Bell County,48027023202,5198,900,1041,57.1,,0,37.3
Texas,Bell County,48027023203,2909,510,648,64.5,,0,39.8
Texas,Bell County,48027023204,4486,647,736,66.9,,0,30.8
Texas,Bell County,48027023300,6966,572,1023,83.7,2788,0.4,22.9
Texas,Bell County,48027023402,4862,100,1030,72.2,801750,164.9,23.2
Texas,Bell County,48027023403,5400,38,625,81.4,,0,12.3
Texas,Bell County,48027023404,3709,119,800,73.3,894,0.2,24.8
Texas,Bell County,48027023500,2155,537,839,57,9680791.61,4492.2,63.9
Texas,Bexar County,48029110100,3379,281,1880,73.8,20982894.1,6209.8,64.0
Texas,Bexar County,48029110300,2542,109,2012,73.7,2594861.07,1020.8,83.4
Texas,Bexar County,48029110500,2238,115,2012,70,485293.41,216.8,95.0
Texas,Bexar County,48029110600,7553,991,5299,77.9,6400509.48,847.4,83.3
Texas,Bexar County,48029110700,1398,58,1162,80.6,1175796.91,841.1,87.3
Texas,Bexar County,48029110800,1965,104,1401,71.6,3613096.64,1838.7,76.6
Texas,Bexar County,48029110900,549,66,359,78.1,94609.88,172.3,77.4
Texas,Bexar County,48029111000,2125,121,1646,71,1263200.58,594.4,83.2
Texas,Bexar County,48029120100,7129,1093,1200,74,,0,32.2
Texas,Bexar County,48029120300,7031,48,1149,79.9,143694.72,20.4,17.0
Texas,Bexar County,48029120400,5733,35,853,84.9,,0,15.5
Texas,Bexar County,48029120501,8151,1088,4321,78.8,1771618.33,217.3,66.4
Texas,Bexar County,48029120502,5155,620,2985,78.5,1856454.99,360.1,69.9
Texas,Bexar County,48029120600,5970,323,1937,80.2,72192.45,12.1,37.9
Texas,Bexar County,48029120701,5326,157,3085,81.9,30972,5.8,60.9
Texas,Bexar County,48029120702,4477,86,1032,74.4,,0,25.0
Texas,Bexar County,48029120800,6334,86,1142,86.1,25445,4.0,19.4
Texas,Bexar County,48029120901,2077,162,825,79.7,,0,47.5
Texas,Bexar County,48029120902,6123,831,2012,72.8,,0,46.4
Texas,Bexar County,48029121000,7095,384,3341,79.4,135268,19.1,52.5
Texas,Bexar County,48029121108,7109,228,2191,77.2,,0,34.0
Texas,Bexar County,48029121110,4895,209,2010,78.2,,0,45.3
Texas,Bexar County,48029121111,6591,406,3063,74.7,457623.23,69.4,52.6
Texas,Bexar County,48029121112,3771,342,1241,69.4,,0,42.0
Texas,Bexar County,48029121115,5141,142,1291,81.8,,0,27.9
Texas,Bexar County,48029121116,4839,171,1586,73.4,,0,36.3
Texas,Bexar County,48029121117,4448,177,1627,69.4,,0,40.6
Texas,Bexar County,48029121118,5620,377,1841,72.3,,0,39.5
Texas,Bexar County,48029121119,5362,251,2165,73.5,,0,45.1
Texas,Bexar County,48029121120,5103,205,2132,76.7,,0,45.8
Texas,Bexar County,48029121121,3001,137,761,85.6,,0,29.9
Texas,Bexar County,48029121122,5390,225,1799,81.7,,0,37.6
Texas,Bexar County,48029121203,3996,259,2328,76,45700.45,11.4,64.7
Texas,Bexar County,48029121204,7747,1361,3028,68.5,1418160,183.1,56.7
Texas,Bexar County,48029121205,3496,564,1859,72.6,314572,90.0,69.3
Texas,Bexar County,48029121206,7267,420,3637,79.7,91599,12.6,55.8
Texas,Bexar County,48029121300,6072,705,2042,79.8,,0,45.2
Texas,Bexar County,48029121402,5584,1025,3453,77.9,12724,2.3,80.2
Texas,Bexar County,48029121403,4957,1339,2070,74,39146,7.9,68.8
Texas,Bexar County,48029121404,4945,1293,2654,70.8,74997,15.2,79.8
Texas,Bexar County,48029121501,7831,1297,2713,78.4,6000,0.8,51.2
Texas,Bexar County,48029121504,6923,1035,2523,75.5,,0,51.4
Texas,Bexar County,48029121505,4571,505,1745,78,,0,49.2
Texas,Bexar County,48029121506,5742,1049,2656,78.1,,0,64.5
Texas,Bexar County,48029121507,5036,920,2043,78.8,,0,58.8
Texas,Bexar County,48029121508,5064,1368,2336,74.9,,0,73.1
Texas,Bexar County,48029121601,4754,448,1853,73,27583,5.8,48.4
Texas,Bexar County,48029121604,7247,1092,2554,74.2,,0,50.3
Texas,Bexar County,48029121605,1921,118,664,81.8,,0,40.7
Texas,Bexar County,48029121606,4860,427,1700,74.6,35000,7.2,43.8
Texas,Bexar County,48029121701,3771,171,1160,84,981206.97,260.2,35.3
Texas,Bexar County,48029121702,6960,521,1984,84.2,,0,36.0
Texas,Bexar County,48029121802,8176,687,3844,75.1,59040,7.2,55.4
Texas,Bexar County,48029121803,4549,350,2209,76.7,20814,4.6,56.3
Texas,Bexar County,48029121804,6353,749,2891,70.1,,0,57.3
Texas,Bexar County,48029121808,3436,234,1489,77.5,13810,4.0,50.1
Texas,Bexar County,48029121809,4982,312,1986,79.2,,0,46.1
Texas,Bexar County,48029121810,4387,312,1770,77.5,,0,47.5
Texas,Bexar County,48029121811,4476,245,1835,79.8,,0,46.5
Texas,Bexar County,48029121812,6028,401,2459,79.2,,0,47.4
Texas,Bexar County,48029121813,1637,95,564,74.2,25495,15.6,40.3
Texas,Bexar County,48029121903,4765,128,1138,84.7,,0,26.6
Texas,Bexar County,48029121904,3564,121,900,86.1,,0,28.6
Texas,Bexar County,48029121905,5776,340,1641,72.8,,0,34.3
Texas,Bexar County,48029121906,5561,252,1775,74.4,17394.78,3.1,36.5
Texas,Bexar County,48029121907,9329,552,3157,76.3,610.81,0.1,39.8
Texas,Bexar County,48029121908,2474,97,563,82.8,,0,26.7
Texas,Bexar County,48029121909,4510,442,1897,75.3,,0,51.9
Texas,Bexar County,48029121910,4736,208,1602,82.4,,0,38.2
Texas,Bexar County,48029130200,1755,401,1260,71.5,2198031.62,1252.4,94.6
Texas,Bexar County,48029130300,3303,445,2711,75.8,416449.09,126.1,95.5
Texas,Bexar County,48029130401,4107,542,3362,77.7,850969.57,207.2,95.1
Texas,Bexar County,48029130402,3972,1173,2563,75,316021.2,79.6,94.1
Texas,Bexar County,48029130500,4146,1490,2444,70.3,1419166.72,342.3,94.9
