State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Vermont,Addison County,50001960100,3757,11,35,79.4,,0,1.2
Vermont,Addison County,50001960200,2775,17,48,82.2,,0,2.3
Vermont,Addison County,50001960300,2588,74,67,79.4,,0,5.4
Vermont,Addison County,50001960400,5094,16,91,82.9,,0,2.1
Vermont,Addison County,50001960500,3894,9,47,85.7,317500,81.5,1.4
Vermont,Addison County,50001960600,2644,9,22,80.5,,0,1.2
Vermont,Addison County,50001960700,3957,18,62,74.6,450000,113.7,2.0
Vermont,Addison County,50001960800,4539,88,196,84.2,,0,6.3
Vermont,Addison County,50001960900,5337,21,97,75.1,,0,2.2
Vermont,Addison County,50001961000,2236,6,20,84.3,,0,1.2
Vermont,Bennington County,50003970200,2031,8,21,83.5,,0,1.4
Vermont,Bennington County,50003970300,1119,5,21,83.3,,0,2.3
Vermont,Bennington County,50003970400,4391,60,67,81.7,,0,2.9
Vermont,Bennington County,50003970500,1302,8,10,100,,0,1.4
Vermont,Bennington County,50003970600,3084,5,39,83.5,,0,1.4
Vermont,Bennington County,50003970700,2317,8,18,64.1,,0,1.1
Vermont,Bennington County,50003970800,3590,13,41,82.8,,0,1.5
Vermont,Bennington County,50003970900,2264,15,43,82.2,345000,152.4,2.6
Vermont,Bennington County,50003971000,3700,68,62,83.9,,0,3.5
Vermont,Bennington County,50003971100,4727,32,98,88.8,,0,2.8
Vermont,Bennington County,50003971200,5073,58,71,82.5,,0,2.5
Vermont,Bennington County,50003971300,3527,11,34,78.8,,0,1.3
Vermont,Caledonia County,50005957000,4275,8,40,77.7,,0,1.1
Vermont,Caledonia County,50005957100,2246,1,34,79.1,,0,1.6
Vermont,Caledonia County,50005957200,2646,5,28,78.3,496000,187.5,1.2
Vermont,Caledonia County,50005957300,3335,30,48,76.3,,0,2.3
Vermont,Caledonia County,50005957400,3852,43,65,84.5,,0,2.8
Vermont,Caledonia County,50005957500,3751,11,49,86.2,300000,80.0,1.6
Vermont,Caledonia County,50005957600,2196,6,10,86.1,,0,0.7
Vermont,Caledonia County,50005957700,3010,18,11,74.2,635000,211.0,1.0
Vermont,Caledonia County,50005957800,2928,7,22,78.7,,0,1.0
Vermont,Caledonia County,50005957900,2988,21,24,84.3,,0,1.5
Vermont,Chittenden County,50007000100,4580,208,88,82.3,611603.51,133.5,6.5
Vermont,Chittenden County,50007000200,5625,141,100,84.3,132897.8,23.6,4.3
Vermont,Chittenden County,50007000300,3399,319,84,76.5,1851819.08,544.8,11.9
Vermont,Chittenden County,50007000400,3148,214,106,75.3,766375.61,243.4,10.2
Vermont,Chittenden County,50007000500,4211,84,125,73.1,270993.02,64.4,5.0
Vermont,Chittenden County,50007000600,5169,129,134,80.6,684657.73,132.5,5.1
Vermont,Chittenden County,50007000800,2454,40,72,79.6,431390.08,175.8,4.6
Vermont,Chittenden County,50007000900,2839,57,53,80.3,201594.68,71.0,3.9
Vermont,Chittenden County,50007001000,2371,181,76,80.1,8834646.06,3726.1,10.8
Vermont,Chittenden County,50007001100,2421,92,75,80.8,51573.34,21.3,6.9
Vermont,Chittenden County,50007002101,2823,9,21,85.1,,0,1.1
Vermont,Chittenden County,50007002102,7529,59,47,81.7,554000,73.6,1.4
Vermont,Chittenden County,50007002200,8314,140,145,85.1,,0,3.4
Vermont,Chittenden County,50007002301,2210,17,45,83.2,,0,2.8
Vermont,Chittenden County,50007002302,6543,43,80,86,,0,1.9
Vermont,Chittenden County,50007002400,3241,255,60,80.4,392333,121.1,9.7
Vermont,Chittenden County,50007002500,4026,221,102,82.3,,0,8.0
Vermont,Chittenden County,50007002601,5188,86,98,81.6,51397,9.9,3.5
Vermont,Chittenden County,50007002602,4088,58,89,82.8,,0,3.6
Vermont,Chittenden County,50007002701,5376,84,69,80.1,,0,2.8
Vermont,Chittenden County,50007002702,4935,49,79,81.9,,0,2.6
Vermont,Chittenden County,50007002800,5009,30,72,85.6,,0,2.0
Vermont,Chittenden County,50007002900,6227,22,52,81.3,,0,1.2
Vermont,Chittenden County,50007003000,4081,11,38,65.4,632842,155.1,1.2
Vermont,Chittenden County,50007003100,8698,84,127,90.9,,0,2.4
Vermont,Chittenden County,50007003301,3562,35,57,88.7,,0,2.6
Vermont,Chittenden County,50007003304,5728,140,111,82,64849,11.3,4.4
Vermont,Chittenden County,50007003400,7144,48,105,86.7,1250000,175.0,2.1
Vermont,Chittenden County,50007003501,3754,16,71,82,,0,2.3
Vermont,Chittenden County,50007003502,5070,17,61,81.1,470000,92.7,1.5
Vermont,Chittenden County,50007003503,1968,11,15,83.7,,0,1.3
Vermont,Chittenden County,50007003600,4058,52,83,79.7,,0,3.3
Vermont,Chittenden County,50007003900,6200,110,231,87.9,24800,4.0,5.5
Vermont,Chittenden County,50007004002,4556,110,85,81.9,,0,4.3
Vermont,Essex County,50009950100,1846,2,17,85.6,,0,1.0
Vermont,Essex County,50009950200,1222,5,11,78.6,,0,1.3
Vermont,Essex County,50009950500,3238,9,31,82,,0,1.2
Vermont,Franklin County,50011010100,7130,19,48,81,,0,0.9
Vermont,Franklin County,50011010200,4473,15,55,77.1,,0,1.6
Vermont,Franklin County,50011010300,3509,13,40,79.3,,0,1.5
Vermont,Franklin County,50011010400,3213,6,53,81.2,,0,1.8
Vermont,Franklin County,50011010500,6427,19,63,79.8,375000,58.3,1.3
Vermont,Franklin County,50011010600,5999,47,75,87.5,,0,2.0
Vermont,Franklin County,50011010700,3451,40,49,81.7,1072050,310.6,2.6
Vermont,Franklin County,50011010800,3467,12,74,77.5,,0,2.5
Vermont,Franklin County,50011010900,4515,9,44,82.2,,0,1.2
Vermont,Franklin County,50011011000,5562,20,70,78.1,,0,1.6
Vermont,Grand Isle County,50013020200,3698,16,41,83.7,,0,1.5
Vermont,Lamoille County,50015953000,2344,5,21,78.2,,0,1.1
Vermont,Lamoille County,50015953100,3659,13,34,74.9,,0,1.3
Vermont,Lamoille County,50015953200,3446,42,48,57,,0,2.6
Vermont,Lamoille County,50015953300,2954,22,31,84,,0,1.8
Vermont,Lamoille County,50015953400,2531,6,22,81.3,,0,1.1
Vermont,Lamoille County,50015953500,5227,36,75,66.5,1070000,204.7,2.1
Vermont,Lamoille County,50015953600,4314,18,91,64.4,,0,2.5
Vermont,Orange County,50017959000,2216,4,21,80.6,,0,1.1
Vermont,Orange County,50017959101,2111,7,14,69.3,,0,1.0
Vermont,Orange County,50017959102,2540,8,15,85.5,,0,0.9
Vermont,Orange County,50017959200,3389,6,48,65,,0,1.6
Vermont,Orange County,50017959300,2538,4,15,80.3,,0,0.7
Vermont,Orange County,50017959400,4778,23,54,82.3,414000,86.6,1.6
Vermont,Orange County,50017959500,4350,29,49,63.1,285000,65.5,1.8
Vermont,Orange County,50017959600,2588,14,27,72.2,,0,1.6
Vermont,Orange County,50017959700,1629,2,13,81.2,,0,0.9
Vermont,Orange County,50017959800,2797,10,26,77.2,,0,1.3
Vermont,Orleans County,50019951100,2401,6,31,77.5,,0,1.5
Vermont,Orleans County,50019951200,2850,12,28,59.1,,0,1.4
Vermont,Orleans County,50019951300,1771,7,6,81.2,,0,0.7
Vermont,Orleans County,50019951400,2027,44,44,89.6,,0,4.3
Vermont,Orleans County,50019951500,2562,17,39,83.8,209863,81.9,2.2
Vermont,Orleans County,50019951600,4313,8,29,85,,0,0.9
Vermont,Orleans County,50019951700,4189,22,61,78.5,,0,2.0
Vermont,Orleans County,50019951800,2810,22,24,60.3,,0,1.6
Vermont,Orleans County,50019951900,2424,3,26,80,,0,1.2
Vermont,Orleans County,50019952000,1884,11,17,83.9,,0,1.5
Vermont,Rutland County,50021962100,1804,3,27,79.6,,0,1.7
Vermont,Rutland County,50021962200,3966,10,26,78.2,,0,0.9
Vermont,Rutland County,50021962300,2586,10,19,77.9,,0,1.1
Vermont,Rutland County,50021962400,2991,11,23,70.6,,0,1.1
Vermont,Rutland County,50021962500,1741,2,12,78.8,,0,0.8
Vermont,Rutland County,50021962600,2326,19,19,76.7,,0,1.6
Vermont,Rutland County,50021962700,4054,16,37,82.3,,0,1.3
Vermont,Rutland County,50021962800,2926,13,32,80.7,,0,1.5
Vermont,Rutland County,50021963000,4371,19,47,83.2,,0,1.5
Vermont,Rutland County,50021963100,3408,38,58,77.1,300000,88.0,2.8
Vermont,Rutland County,50021963200,3174,28,58,83.5,,0,2.7
Vermont,Rutland County,50021963300,5542,43,87,82.4,,0,2.3
Vermont,Rutland County,50021963400,2571,10,10,82.4,,0,0.8
Vermont,Rutland County,50021963500,1790,8,9,85.5,,0,0.9
Vermont,Rutland County,50021963600,4717,16,60,77.7,,0,1.6
Vermont,Rutland County,50021963700,2734,7,36,73.8,,0,1.6
Vermont,Rutland County,50021963800,4582,45,64,81.1,,0,2.4
Vermont,Rutland County,50021964000,3316,10,23,72.8,,0,1.0
Vermont,Rutland County,50021964200,1566,0,10,75.5,,0,0.6
Vermont,Rutland County,50021964300,1477,7,24,81,,0,2.1
Vermont,Washington County,50023954000,4264,25,45,83.2,,0,1.6
Vermont,Washington County,50023954100,2513,10,22,82.9,,0,1.3
Vermont,Washington County,50023954200,2729,18,22,78.4,,0,1.5
Vermont,Washington County,50023954300,5064,20,49,74.8,,0,1.4
Vermont,Washington County,50023954400,2995,12,41,78.3,,0,1.8
Vermont,Washington County,50023954500,2887,13,46,74.2,,0,2.0
Vermont,Washington County,50023954600,2221,12,43,78.7,,0,2.5
Vermont,Washington County,50023954700,1505,21,33,81.5,,0,3.6
Vermont,Washington County,50023954800,2239,24,61,82.3,550000,245.6,3.8
Vermont,Washington County,50023954900,1890,17,29,82.9,,0,2.4
Vermont,Washington County,50023955000,2576,18,41,70.5,,0,2.3
Vermont,Washington County,50023955100,4530,47,120,79.5,790000,174.4,3.7
Vermont,Washington County,50023955200,4522,61,92,75.1,800000,176.9,3.4
Vermont,Washington County,50023955300,4054,12,51,78,,0,1.6
Vermont,Washington County,50023955400,3870,17,66,48.9,,0,2.1
Vermont,Washington County,50023955500,6898,72,175,76.7,,0,3.6
Vermont,Washington County,50023955600,1705,6,24,78.5,,0,1.8
Vermont,Washington County,50023955700,1719,4,20,83.6,145000,84.4,1.4
Vermont,Washington County,50023955800,1353,2,15,83.6,,0,1.3
Vermont,Windham County,50025967000,3251,25,60,78.7,,0,2.6
Vermont,Windham County,50025967100,2031,6,33,75.9,,0,1.9
Vermont,Windham County,50025967200,3302,13,42,75.5,,0,1.7
Vermont,Windham County,50025967300,1769,6,18,83.2,,0,1.4
Vermont,Windham County,50025967400,1035,6,17,77.5,,0,2.2
Vermont,Windham County,50025967500,1119,11,5,84.5,,0,1.4
Vermont,Windham County,50025967600,3178,13,49,80.9,144000,45.3,2.0
Vermont,Windham County,50025967700,2702,37,77,71.8,293500,108.6,4.2
Vermont,Windham County,50025967800,1726,8,19,81.2,,0,1.6
Vermont,Windham County,50025968000,1876,4,29,100,266000,141.8,1.8
Vermont,Windham County,50025968100,1357,4,8,81.1,,0,0.9
Vermont,Windham County,50025968200,1806,15,29,77.6,,0,2.4
Vermont,Windham County,50025968300,1864,6,21,86.5,,0,1.4
Vermont,Windham County,50025968400,3943,35,78,86.2,,0,2.9
Vermont,Windham County,50025968500,5807,136,178,79,1419000,244.4,5.4
Vermont,Windham County,50025968600,2296,31,66,85.7,,0,4.2
Vermont,Windham County,50025968700,4327,23,73,82.4,,0,2.2
Vermont,Windsor County,50027965000,3414,25,41,86.2,,0,1.9
Vermont,Windsor County,50027965100,2773,25,41,76.1,,0,2.4
Vermont,Windsor County,50027965200,2870,14,35,81.5,300000,104.5,1.7
Vermont,Windsor County,50027965400,4089,18,44,74.3,,0,1.5
Vermont,Windsor County,50027965501,2998,27,26,62,,0,1.8
Vermont,Windsor County,50027965502,2811,27,27,80.8,,0,1.9
Vermont,Windsor County,50027965600,4143,23,63,80.9,378433,91.3,2.1
Vermont,Windsor County,50027965700,3393,5,45,77.5,,0,1.5
Vermont,Windsor County,50027965800,3048,13,31,84,995000,326.4,1.4
Vermont,Windsor County,50027965900,3320,4,15,82.4,,0,0.6
Vermont,Windsor County,50027966000,3553,27,61,81.4,330000,92.9,2.5
Vermont,Windsor County,50027966100,2825,4,32,81.9,,0,1.3
Vermont,Windsor County,50027966200,1611,9,27,80.9,,0,2.2
Vermont,Windsor County,50027966500,4187,12,37,79.5,,0,1.2
Vermont,Windsor County,50027966600,5075,25,83,84.3,,0,2.1
Vermont,Windsor County,50027966700,4298,49,66,84.6,,0,2.7
