State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Alaska,Aleutians East Borough,2013000100,3141,212,385,63.8,,0,19.0
Alaska,Aleutians West Census Area,2016000200,4376,287,666,62.9,,0,21.8
Alaska,Anchorage Municipality,2020000101,5736,56,209,86.6,,0,4.6
Alaska,Anchorage Municipality,2020000102,5259,46,201,77,662323.89,125.9,4.7
Alaska,Anchorage Municipality,2020000201,4110,123,292,80.8,2700,0.7,10.1
Alaska,Anchorage Municipality,2020000202,5947,89,349,83.8,,0,7.4
Alaska,Anchorage Municipality,2020000203,10549,267,592,84.4,2700,0.3,8.1
Alaska,Anchorage Municipality,2020000204,3381,56,125,89.5,,0,5.4
Alaska,Anchorage Municipality,2020000300,8000,929,1060,69.3,,0,24.9
Alaska,Anchorage Municipality,2020000400,5937,531,663,74.9,,0,20.1
Alaska,Anchorage Municipality,2020000500,1988,115,247,69.9,354689.12,178.4,18.2
Alaska,Anchorage Municipality,2020000600,7747,985,921,63.8,4134552.72,533.7,24.6
Alaska,Anchorage Municipality,2020000701,5949,708,666,71.2,8100,1.4,23.1
Alaska,Anchorage Municipality,2020000702,5107,659,455,73,851338.13,166.7,21.8
Alaska,Anchorage Municipality,2020000703,5706,561,449,75.4,208176.34,36.5,17.7
Alaska,Anchorage Municipality,2020000801,7323,689,852,72.6,56557.81,7.7,21.0
Alaska,Anchorage Municipality,2020000802,4407,471,402,71.3,259483.66,58.9,19.8
Alaska,Anchorage Municipality,2020000901,4906,574,564,67.3,2123011.31,432.7,23.2
Alaska,Anchorage Municipality,2020000902,3141,460,279,75.4,129870,41.3,23.5
Alaska,Anchorage Municipality,2020001000,4131,284,312,66.2,4375008.66,1059.1,14.4
Alaska,Anchorage Municipality,2020001100,940,63,63,74.6,8288362.99,8817.4,13.4
Alaska,Anchorage Municipality,2020001200,3718,50,135,79.9,,0,5.0
Alaska,Anchorage Municipality,2020001300,3059,23,126,86.2,,0,4.9
Alaska,Anchorage Municipality,2020001400,5224,293,530,70.9,2046847.72,391.8,15.8
Alaska,Anchorage Municipality,2020001500,5104,239,232,80,5060.66,1.0,9.2
Alaska,Anchorage Municipality,2020001601,4092,236,341,78.6,547999.53,133.9,14.1
Alaska,Anchorage Municipality,2020001602,4224,235,253,80.9,,0,11.6
Alaska,Anchorage Municipality,2020001701,6843,579,437,77.3,5400,0.8,14.8
Alaska,Anchorage Municipality,2020001702,5258,326,276,80.3,2700,0.5,11.4
Alaska,Anchorage Municipality,2020001731,5823,547,412,80.1,1667514.23,286.4,16.5
Alaska,Anchorage Municipality,2020001732,6179,516,460,78.2,,0,15.8
Alaska,Anchorage Municipality,2020001801,4907,222,421,71.2,,0,13.1
Alaska,Anchorage Municipality,2020001802,5537,277,591,73.4,160156,28.9,15.7
Alaska,Anchorage Municipality,2020001900,4194,281,495,68,208100,49.6,18.5
Alaska,Anchorage Municipality,2020002000,3748,133,470,68.1,360,0.1,16.1
Alaska,Anchorage Municipality,2020002100,3787,112,249,70.2,833661.48,220.1,9.5
Alaska,Anchorage Municipality,2020002201,5053,150,344,76.1,11973.6,2.4,9.8
Alaska,Anchorage Municipality,2020002202,2960,125,252,73.2,,0,12.7
Alaska,Anchorage Municipality,2020002301,7088,141,351,80.3,62700,8.8,6.9
Alaska,Anchorage Municipality,2020002302,4791,121,314,78.3,7884,1.6,9.1
Alaska,Anchorage Municipality,2020002303,9273,362,764,69.6,7290,0.8,12.1
Alaska,Anchorage Municipality,2020002400,3299,93,229,79.4,20247.1,6.1,9.8
Alaska,Anchorage Municipality,2020002501,4993,186,453,74.9,752671.13,150.7,12.8
Alaska,Anchorage Municipality,2020002502,5236,289,392,75.7,194459.44,37.1,13.0
Alaska,Anchorage Municipality,2020002601,4784,272,464,70.8,2700,0.6,15.4
Alaska,Anchorage Municipality,2020002602,5805,201,494,77.1,114400,19.7,12.0
Alaska,Anchorage Municipality,2020002603,6341,252,437,83.2,6696.9,1.1,10.9
Alaska,Anchorage Municipality,2020002702,9670,229,598,77.3,5400,0.6,8.6
Alaska,Anchorage Municipality,2020002711,6589,176,298,80.3,,0,7.2
Alaska,Anchorage Municipality,2020002712,9068,334,963,77.8,2700,0.3,14.3
