State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Arizona,Apache County,4001970200,4990,18,561,71,322643.21,64.7,11.6
Arizona,Apache County,4001970300,3523,51,1078,65.3,,0,32.0
Arizona,Apache County,4001970501,5081,22,1083,73,1500091.79,295.2,21.7
Arizona,Apache County,4001970502,4276,8,404,72.1,,0,9.6
Arizona,Cochise County,4003000100,1971,9,479,75.9,,0,24.8
Arizona,Cochise County,4003000201,3747,12,1617,69.8,,0,43.5
Arizona,Cochise County,4003000202,3982,27,1952,66.5,1481516.48,372.1,49.7
Arizona,Cochise County,4003000203,2740,13,317,78.6,113996.05,41.6,12.0
Arizona,Cochise County,4003000301,4212,23,1026,77.7,1491084.3,354.0,24.9
Arizona,Cochise County,4003000302,4851,32,502,66,,0,11.0
Arizona,Cochise County,4003000303,3457,13,428,80.1,,0,12.8
Arizona,Cochise County,4003000400,2206,8,362,74.1,405407.92,183.8,16.8
Arizona,Cochise County,4003000500,5651,351,1615,77,177061.02,31.3,34.8
Arizona,Cochise County,4003000600,2984,25,2291,66.7,,0,77.6
Arizona,Cochise County,4003000700,5196,53,4465,75.8,,0,87.0
Arizona,Cochise County,4003000800,5160,19,4538,75.5,932360,180.7,88.3
Arizona,Cochise County,4003000901,3586,7,3406,73.8,1274375.75,355.4,95.2
Arizona,Cochise County,4003000902,2846,8,2594,75,100000,35.1,91.4
Arizona,Cochise County,4003001000,1656,31,340,65.2,300766,181.6,22.4
Arizona,Cochise County,4003001100,3599,22,1656,83.7,1350284.61,375.2,46.6
Arizona,Cochise County,4003001200,3036,18,1445,75.4,1047946.83,345.2,48.2
Arizona,Cochise County,4003001300,5613,185,971,82.4,1695719.83,302.1,20.6
Arizona,Cochise County,4003001401,4359,634,708,69,,0,30.8
Arizona,Cochise County,4003001402,1251,146,194,79.1,,0,27.2
Arizona,Cochise County,4003001501,3636,298,1078,74.7,,0,37.8
Arizona,Cochise County,4003001502,3812,287,1118,71.4,284522.7,74.6,36.9
Arizona,Cochise County,4003001601,4825,366,1007,72.3,1423449.76,295.0,28.5
Arizona,Cochise County,4003001602,3441,304,818,68.5,,0,32.6
Arizona,Cochise County,4003001701,4274,324,927,72,,0,29.3
Arizona,Cochise County,4003001702,3978,276,952,73.3,328025,82.5,30.9
Arizona,Cochise County,4003001703,4511,289,781,76.7,,0,23.7
Arizona,Cochise County,4003001800,9219,516,1201,85.6,,0,18.6
Arizona,Cochise County,4003001900,7083,418,894,86.6,,0,18.5
Arizona,Cochise County,4003002001,4979,90,1127,83.3,,0,24.4
Arizona,Cochise County,4003002002,4332,34,850,80.1,,0,20.4
Arizona,Cochise County,4003002100,5153,98,884,87,,0,19.1
Arizona,Coconino County,4005000100,3804,40,364,84.3,139727.32,36.7,10.6
Arizona,Coconino County,4005000200,3788,47,415,74.9,273880.2,72.3,12.2
Arizona,Coconino County,4005000300,7175,111,2695,68.6,1145734.86,159.7,39.1
Arizona,Coconino County,4005000400,5373,89,1159,75.5,2653069.65,493.8,23.2
Arizona,Coconino County,4005000500,4396,44,1314,72,94966.54,21.6,30.9
Arizona,Coconino County,4005000600,5461,55,483,83.1,32333.5,5.9,9.9
Arizona,Coconino County,4005000700,3647,61,525,82.8,,0,16.1
Arizona,Coconino County,4005000800,4122,170,834,62.1,738864.96,179.2,24.4
Arizona,Coconino County,4005000900,6905,96,953,77,113446.55,16.4,15.2
Arizona,Coconino County,4005001000,8156,286,1132,68.2,,0,17.4
Arizona,Coconino County,4005001101,4797,53,468,80.4,,0,10.9
Arizona,Coconino County,4005001102,6650,106,1735,71.4,81523.35,12.3,27.7
