State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Arkansas,Arkansas County,5001480100,1435,164,9,68.8,51622.73,36.0,12.1
Arkansas,Arkansas County,5001480200,1643,140,4,74.7,,0,8.8
Arkansas,Arkansas County,5001480300,3129,1098,96,72,,0,38.2
Arkansas,Arkansas County,5001480400,2518,1600,52,56.1,218687.45,86.8,65.6
Arkansas,Arkansas County,5001480500,4151,794,187,73.4,978972.15,235.8,23.6
Arkansas,Arkansas County,5001480600,1747,101,30,81.8,,0,7.5
Arkansas,Arkansas County,5001480700,2972,616,110,82.2,2716094.04,913.9,24.4
Arkansas,Arkansas County,5001480800,1424,121,25,72,,0,10.3
Arkansas,Ashley County,5003960100,1928,649,103,81.2,,0,39.0
Arkansas,Ashley County,5003960200,2694,206,126,78.8,,0,12.3
Arkansas,Ashley County,5003960300,4982,1071,555,82.6,2620577,526.0,32.6
Arkansas,Ashley County,5003960400,1801,559,54,79.5,63500,35.3,34.0
Arkansas,Ashley County,5003960500,2744,363,66,74.7,,0,15.6
Arkansas,Ashley County,5003960600,5793,2162,124,75.2,440096.99,76.0,39.5
Arkansas,Ashley County,5003960700,1911,609,41,77.8,,0,34.0
Arkansas,Baxter County,5005950100,4680,12,79,82.3,,0,1.9
Arkansas,Baxter County,5005950200,4649,17,82,84,,0,2.1
Arkansas,Baxter County,5005950300,4921,3,126,83.1,,0,2.6
Arkansas,Baxter County,5005950400,3285,1,48,83.9,907500,276.3,1.5
Arkansas,Baxter County,5005950500,4962,6,57,81.2,,0,1.3
Arkansas,Baxter County,5005950600,3816,3,54,85,,0,1.5
Arkansas,Baxter County,5005950700,3445,5,47,86.1,,0,1.5
Arkansas,Baxter County,5005950800,6097,8,66,85.3,,0,1.2
Arkansas,Baxter County,5005950900,5658,4,129,79.7,,0,2.4
Arkansas,Benton County,5007020101,5952,26,266,84.2,,0,4.9
Arkansas,Benton County,5007020102,5647,38,570,87.9,,0,10.8
Arkansas,Benton County,5007020201,4074,36,1419,81.7,3246641.61,796.9,35.7
Arkansas,Benton County,5007020203,2941,11,453,88,32200,10.9,15.8
Arkansas,Benton County,5007020205,5629,29,3003,81.8,304980.51,54.2,53.9
Arkansas,Benton County,5007020206,6189,86,3461,78.9,371422.34,60.0,57.3
Arkansas,Benton County,5007020301,3834,32,1746,77.2,277151,72.3,46.4
Arkansas,Benton County,5007020302,3777,63,1450,77.4,260637.8,69.0,40.1
Arkansas,Benton County,5007020304,3365,67,605,73.2,163483,48.6,20.0
Arkansas,Benton County,5007020305,4003,36,1159,80.4,,0,29.9
Arkansas,Benton County,5007020401,6415,74,1183,79.9,14146.5,2.2,19.6
Arkansas,Benton County,5007020402,4378,24,1358,82,129663,29.6,31.6
Arkansas,Benton County,5007020404,4180,38,1617,77.5,185959.5,44.5,39.6
Arkansas,Benton County,5007020405,3149,51,245,77,15000,4.8,9.4
Arkansas,Benton County,5007020501,5073,90,401,80.9,1619713.17,319.3,9.7
Arkansas,Benton County,5007020503,4045,99,452,61.5,106110,26.2,13.6
Arkansas,Benton County,5007020504,3146,64,460,74.5,68789.11,21.9,16.7
Arkansas,Benton County,5007020603,5519,214,397,79.3,,0,11.1
Arkansas,Benton County,5007020604,4054,82,426,83.4,7428.34,1.8,12.5
