State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Colorado,Adams County,8001007801,3732,532,2348,63.4,8845492.75,2370.2,77.2
Colorado,Adams County,8001007802,3758,543,2631,65,954377.28,254.0,84.5
Colorado,Adams County,8001007900,5555,800,3544,66.6,1072485.65,193.1,78.2
Colorado,Adams County,8001008000,5742,915,3168,74,222521.03,38.8,71.1
Colorado,Adams County,8001008100,854,83,207,77.2,477651.46,559.3,34.0
Colorado,Adams County,8001008200,5484,922,2420,80,149263.6,27.2,60.9
Colorado,Adams County,8001008308,5557,980,2619,71.2,97086.12,17.5,64.8
Colorado,Adams County,8001008309,3254,302,1915,80.6,67549.11,20.8,68.1
Colorado,Adams County,8001008353,6044,883,2042,74.3,58558.59,9.7,48.4
Colorado,Adams County,8001008401,4315,31,531,78.1,644705.02,149.4,13.0
Colorado,Adams County,8001008402,4352,26,398,78.9,,0,9.7
Colorado,Adams County,8001008505,6655,92,2061,80.7,39400.15,5.9,32.4
Colorado,Adams County,8001008506,5383,171,1800,72.3,1308587.47,243.1,36.6
Colorado,Adams County,8001008507,6099,65,1774,82.4,680446.67,111.6,30.2
Colorado,Adams County,8001008508,5342,71,1237,77.5,117000,21.9,24.5
Colorado,Adams County,8001008523,7586,83,1731,80.7,756895.67,99.8,23.9
Colorado,Adams County,8001008524,7814,94,1519,84.3,,0,20.6
Colorado,Adams County,8001008526,6742,85,873,83.9,,0,14.2
Colorado,Adams County,8001008529,7446,160,1625,69.7,,0,24.0
Colorado,Adams County,8001008533,7650,193,2191,80.3,,0,31.2
Colorado,Adams County,8001008534,4283,43,1070,78.4,,0,26.0
Colorado,Adams County,8001008535,3298,63,1178,79,0,0.0,37.6
Colorado,Adams County,8001008536,2443,68,500,83.8,,0,23.3
Colorado,Adams County,8001008537,6047,64,2010,83.7,,0,34.3
Colorado,Adams County,8001008538,5305,226,918,86.9,,0,21.6
Colorado,Adams County,8001008539,8437,366,2773,81.7,,0,37.2
Colorado,Adams County,8001008540,6408,144,1300,80.8,,0,22.5
Colorado,Adams County,8001008541,4277,32,489,87.9,,0,12.2
Colorado,Adams County,8001008542,7036,78,1548,80,,0,23.1
