State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Delaware,Kent County,10001040100,6541,524,247,78.1,,0,11.8
Delaware,Kent County,10001040201,5041,1010,312,80.4,11500,2.3,26.2
Delaware,Kent County,10001040202,12763,3098,593,80.1,,0,28.9
Delaware,Kent County,10001040203,5017,1505,261,83,,0,35.2
Delaware,Kent County,10001040501,4923,1960,413,78.6,116142,23.6,48.2
Delaware,Kent County,10001040502,1981,485,108,85.3,,0,29.9
Delaware,Kent County,10001040700,4824,1623,203,77.1,,0,37.9
Delaware,Kent County,10001040900,2561,608,120,80.2,,0,28.4
Delaware,Kent County,10001041000,5995,2226,692,71.8,11697.65,2.0,48.7
Delaware,Kent County,10001041100,3740,428,518,72.5,,0,25.3
Delaware,Kent County,10001041200,4206,1439,343,79.1,,0,42.4
Delaware,Kent County,10001041300,2068,898,145,76.3,952572.11,460.6,50.4
Delaware,Kent County,10001041400,3648,1835,276,73.6,517908.24,142.0,57.9
Delaware,Kent County,10001041500,3875,1305,225,72.1,109057,28.1,39.5
Delaware,Kent County,10001041600,2089,269,110,81.3,,0,18.1
Delaware,Kent County,10001041701,5798,1193,313,84.3,4900,0.8,26.0
Delaware,Kent County,10001041702,4216,1049,224,82,,0,30.2
Delaware,Kent County,10001041801,9633,2191,413,82.1,,0,27.0
Delaware,Kent County,10001041802,5203,1156,209,76.1,,0,26.2
Delaware,Kent County,10001041900,5276,269,177,77.2,,0,8.5
Delaware,Kent County,10001042000,3173,176,55,83.7,,0,7.3
Delaware,Kent County,10001042100,3859,480,119,82.6,,0,15.5
Delaware,Kent County,10001042201,9766,2378,596,78.6,,0,30.5
Delaware,Kent County,10001042202,8857,1500,488,82.6,,0,22.4
Delaware,Kent County,10001042500,3455,1287,613,72.9,,0,55.0
Delaware,Kent County,10001042800,7085,884,270,85.1,,0,16.3
Delaware,Kent County,10001042900,4794,652,167,83.9,,0,17.1
Delaware,Kent County,10001043000,5226,975,228,80.7,76753.3,14.7,23.0
Delaware,Kent County,10001043100,2630,121,46,78.4,,0,6.3
Delaware,Kent County,10001043202,3790,239,233,83.5,,0,12.5
Delaware,Kent County,10001043300,6131,3420,350,75.8,69491,11.3,61.5
Delaware,Kent County,10001043400,4146,629,279,81.6,41500,10.0,21.9
Delaware,New Castle County,10003000200,5438,4188,157,80,954202.75,175.5,79.9
Delaware,New Castle County,10003000300,3194,2502,121,76.7,1396883.95,437.3,82.1
Delaware,New Castle County,10003000400,2956,1460,135,81.6,908514,307.3,54.0
Delaware,New Castle County,10003000500,3647,3174,151,69.4,1181442.95,323.9,91.2
Delaware,New Castle County,10003000601,2910,2550,133,72.6,30000,10.3,92.2
Delaware,New Castle County,10003000602,2649,2308,81,69.4,526959.1,198.9,90.2
Delaware,New Castle County,10003000900,2223,1983,139,66.1,106554,47.9,95.5
Delaware,New Castle County,10003001100,3260,486,108,81.1,1090684.89,334.6,18.2
Delaware,New Castle County,10003001200,1529,111,48,84.1,85500,55.9,10.4
Delaware,New Castle County,10003001300,3468,59,52,86.3,,0,3.2
Delaware,New Castle County,10003001400,2152,637,257,77.2,166332.89,77.3,41.5
Delaware,New Castle County,10003001500,2303,1098,206,74.1,137495.45,59.7,56.6
Delaware,New Castle County,10003001600,2387,1638,287,63.1,417868.32,175.1,80.6
Delaware,New Castle County,10003001902,1918,1338,122,69.8,437876.25,228.3,76.1
Delaware,New Castle County,10003002100,1847,1424,262,64.4,,0,91.3
Delaware,New Castle County,10003002200,3271,1567,1469,68.6,536753.98,164.1,92.8
Delaware,New Castle County,10003002300,3197,1676,1182,64.9,225751.62,70.6,89.4
Delaware,New Castle County,10003002400,4671,1731,775,76.9,300425.36,64.3,53.7
Delaware,New Castle County,10003002500,3039,792,758,78.5,,0,51.0
Delaware,New Castle County,10003002600,3922,1866,1188,67,289840,73.9,77.9
Delaware,New Castle County,10003002700,2108,961,633,66.2,81609.18,38.7,75.6
Delaware,New Castle County,10003002800,1917,975,111,72.6,12483619.61,6512.1,56.7
Delaware,New Castle County,10003002900,3570,3175,188,66.5,554880.02,155.4,94.2
Delaware,New Castle County,10003003002,3275,2471,225,60.7,94200.57,28.8,82.3
Delaware,New Castle County,10003010101,4573,1972,487,73.8,29000,6.3,53.8
Delaware,New Castle County,10003010104,3422,1102,312,74.1,,0,41.3
Delaware,New Castle County,10003010200,1982,386,106,83.6,,0,24.8
Delaware,New Castle County,10003010300,2861,670,158,84.2,97759.15,34.2,28.9
Delaware,New Castle County,10003010400,4490,446,149,79.3,,0,13.3
Delaware,New Castle County,10003010502,5579,768,196,77.8,401561.05,72.0,17.3
Delaware,New Castle County,10003010702,4994,1900,257,77,167454.91,33.5,43.2
Delaware,New Castle County,10003010800,4631,451,173,84.9,42787.25,9.2,13.5
Delaware,New Castle County,10003010900,2745,89,43,89.5,,0,4.8
Delaware,New Castle County,10003011000,3163,289,86,87.5,,0,11.9
Delaware,New Castle County,10003011100,2673,108,47,84.8,12999.1,4.9,5.8
Delaware,New Castle County,10003011201,2246,126,52,80.7,,0,7.9
Delaware,New Castle County,10003011202,3902,256,80,87.4,,0,8.6
Delaware,New Castle County,10003011203,4605,783,138,76.2,,0,20.0
Delaware,New Castle County,10003011204,3309,340,63,85.2,,0,12.2
Delaware,New Castle County,10003011205,2024,81,34,86.9,,0,5.7
Delaware,New Castle County,10003011206,4187,194,59,90.1,,0,6.0
Delaware,New Castle County,10003011300,2367,137,27,88.4,,0,6.9
Delaware,New Castle County,10003011400,3358,126,61,88.9,,0,5.6
Delaware,New Castle County,10003011500,2816,91,75,85.5,,0,5.9
Delaware,New Castle County,10003011600,3281,104,115,85.5,16650,5.1,6.7
Delaware,New Castle County,10003011700,3974,42,77,86,8000,2.0,3.0
Delaware,New Castle County,10003011800,4177,152,112,82.3,,0,6.3
Delaware,New Castle County,10003011900,3338,85,203,88.6,,0,8.6
Delaware,New Castle County,10003012000,4419,579,692,79.4,8309.41,1.9,28.8
Delaware,New Castle County,10003012100,3152,359,505,78.6,,0,27.4
Delaware,New Castle County,10003012200,4447,607,1082,73.2,84593.24,19.0,38.0
Delaware,New Castle County,10003012300,2611,370,492,80.4,,0,33.0
Delaware,New Castle County,10003012400,4602,424,1119,71.8,,0,33.5
Delaware,New Castle County,10003012500,5410,412,1054,73,62000,11.5,27.1
Delaware,New Castle County,10003012600,2776,87,311,84.4,,0,14.3
Delaware,New Castle County,10003012700,4421,489,691,75.8,2500,0.6,26.7
Delaware,New Castle County,10003012900,4720,973,1406,75.4,135875,28.8,50.4
Delaware,New Castle County,10003013000,1823,77,161,79,,0,13.1
Delaware,New Castle County,10003013100,2602,171,428,73.6,,0,23.0
Delaware,New Castle County,10003013200,2697,223,650,79.3,,0,32.4
Delaware,New Castle County,10003013300,1867,68,197,83.5,,0,14.2
Delaware,New Castle County,10003013400,2605,110,129,86.5,,0,9.2
Delaware,New Castle County,10003013501,6602,173,119,89.6,,0,4.4
Delaware,New Castle County,10003013503,7472,233,299,86.7,,0,7.1
Delaware,New Castle County,10003013505,3147,91,41,87.6,,0,4.2
Delaware,New Castle County,10003013506,4833,158,93,90.4,,0,5.2
Delaware,New Castle County,10003013604,4074,174,246,83.4,10000,2.5,10.3
Delaware,New Castle County,10003013607,5929,377,368,80.4,,0,12.6
Delaware,New Castle County,10003013608,1891,109,176,79.6,,0,15.1
Delaware,New Castle County,10003013610,6127,171,136,84.7,,0,5.0
Delaware,New Castle County,10003013611,5753,466,290,76.5,,0,13.1
Delaware,New Castle County,10003013612,6160,179,124,87.4,,0,4.9
Delaware,New Castle County,10003013613,5526,325,199,85.1,,0,9.5
Delaware,New Castle County,10003013614,3132,263,841,66.9,10000,3.2,35.2
Delaware,New Castle County,10003013615,3710,213,383,80.8,,0,16.1
Delaware,New Castle County,10003013700,3904,691,821,75,,0,38.7
Delaware,New Castle County,10003013800,5464,729,357,74.6,,0,19.9
Delaware,New Castle County,10003013901,2833,549,289,75.1,,0,29.6
Delaware,New Castle County,10003013903,4983,1260,268,86.6,,0,30.7
Delaware,New Castle County,10003013904,7780,1995,473,78.9,,0,31.7
Delaware,New Castle County,10003014000,5276,1121,685,77.4,,0,34.2
Delaware,New Castle County,10003014100,4857,1234,501,78.2,,0,35.7
Delaware,New Castle County,10003014200,1627,97,97,84.4,,0,11.9
Delaware,New Castle County,10003014300,7009,438,277,84.4,89158.52,12.7,10.2
Delaware,New Castle County,10003014402,3220,190,133,72,,0,10.0
Delaware,New Castle County,10003014403,5237,493,365,73,1262873.08,241.1,16.4
Delaware,New Castle County,10003014404,3473,241,135,83.4,,0,10.8
Delaware,New Castle County,10003014501,2113,90,101,63.9,,0,9.0
Delaware,New Castle County,10003014502,6439,245,299,58.3,39000,6.1,8.4
