State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Florida,Alachua County,12001000200,7431,1137,838,69.9,794531.45,106.9,26.6
Florida,Alachua County,12001000301,3308,723,332,75.7,59605.99,18.0,31.9
Florida,Alachua County,12001000302,2770,863,209,75.9,40235.4,14.5,38.7
Florida,Alachua County,12001000400,5665,3390,297,80.9,462564.34,81.7,65.1
Florida,Alachua County,12001000500,4976,1020,296,79.7,9895770.34,1988.7,26.4
Florida,Alachua County,12001000600,4350,3926,95,72.3,128633.5,29.6,92.4
Florida,Alachua County,12001000700,6075,4670,150,77.8,2603427.45,428.5,79.3
Florida,Alachua County,12001000806,2180,284,272,75.7,,0,25.5
Florida,Alachua County,12001000808,3630,712,362,70.9,21800,6.0,29.6
Florida,Alachua County,12001000809,1364,205,97,80.9,,0,22.1
Florida,Alachua County,12001000901,2877,305,370,76.5,,0,23.5
Florida,Alachua County,12001000902,5926,754,1023,91.2,,0,30.0
Florida,Alachua County,12001001000,6207,141,644,77.6,,0,12.6
Florida,Alachua County,12001001100,6438,347,383,86.3,11000,1.7,11.3
Florida,Alachua County,12001001201,2906,312,257,83.1,,0,19.6
Florida,Alachua County,12001001202,6914,850,708,80.5,269886.88,39.0,22.5
Florida,Alachua County,12001001203,3657,684,280,79,114998,31.4,26.4
Florida,Alachua County,12001001400,4585,2596,194,81.2,,0,60.9
Florida,Alachua County,12001001514,1281,119,196,73.1,,0,24.6
Florida,Alachua County,12001001515,6343,1264,959,65.8,,0,35.0
Florida,Alachua County,12001001516,2149,340,282,66.8,,0,28.9
Florida,Alachua County,12001001517,4734,1059,663,67.9,,0,36.4
Florida,Alachua County,12001001519,2559,397,361,69.6,,0,29.6
Florida,Alachua County,12001001520,2482,576,403,60.4,,0,39.4
Florida,Alachua County,12001001521,4120,675,580,72.9,,0,30.5
Florida,Alachua County,12001001603,1269,94,122,81.2,,0,17.0
Florida,Alachua County,12001001604,7644,894,1083,70.4,57012.04,7.5,25.9
Florida,Alachua County,12001001701,5895,1054,521,74.5,10000,1.7,26.7
Florida,Alachua County,12001001702,4736,287,298,85.9,60017,12.7,12.4
Florida,Alachua County,12001001801,7489,1142,483,82.2,,0,21.7
Florida,Alachua County,12001001802,2937,936,170,83,,0,37.7
Florida,Alachua County,12001001803,6358,1378,505,82.2,,0,29.6
Florida,Alachua County,12001001805,1482,270,78,87.8,,0,23.5
Florida,Alachua County,12001001806,8675,892,621,81.8,,0,17.4
Florida,Alachua County,12001001811,6170,497,503,83,,0,16.2
