State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Georgia,Appling County,13001950100,3190,116,104,80,,0,6.9
Georgia,Appling County,13001950200,4530,2001,400,79.1,,0,53.0
Georgia,Appling County,13001950300,5176,773,768,78.6,,0,29.8
Georgia,Appling County,13001950400,1476,274,38,87.9,,0,21.1
Georgia,Appling County,13001950500,3864,196,394,81.4,,0,15.3
Georgia,Atkinson County,13003960100,2077,542,387,54,,0,44.7
Georgia,Atkinson County,13003960200,5053,845,1437,62.9,,0,45.2
Georgia,Atkinson County,13003960300,1245,41,215,66.1,,0,20.6
Georgia,Bacon County,13005970100,3057,173,211,69.9,,0,12.6
Georgia,Bacon County,13005970201,4233,913,247,67.9,,0,27.4
Georgia,Bacon County,13005970202,3806,610,333,69.9,,0,24.8
Georgia,Baker County,13007960100,2198,1098,97,67.8,,0,54.4
Georgia,Baker County,13007960200,1253,502,48,71.6,,0,43.9
Georgia,Baldwin County,13009970100,5401,2083,53,79.7,,0,39.5
Georgia,Baldwin County,13009970200,6883,2221,243,75.9,,0,35.8
Georgia,Baldwin County,13009970300,6098,2021,168,83.3,,0,35.9
Georgia,Baldwin County,13009970400,4336,1776,123,76.3,,0,43.8
Georgia,Baldwin County,13009970500,7114,2174,137,74.8,,0,32.5
Georgia,Baldwin County,13009970600,3923,2707,55,73.6,,0,70.4
Georgia,Baldwin County,13009970701,2632,1873,40,65,,0,72.7
Georgia,Baldwin County,13009970702,2297,1273,31,74.5,,0,56.8
Georgia,Baldwin County,13009970800,7036,2738,69,79,,0,39.9
Georgia,Banks County,13011970100,5208,40,548,83.8,,0,11.3
Georgia,Banks County,13011970200,5017,127,134,83,,0,5.2
Georgia,Banks County,13011970300,4366,89,221,80.7,,0,7.1
Georgia,Banks County,13011970400,3804,160,138,82.3,,0,7.8
Georgia,Barrow County,13013180103,4668,243,324,83.6,,0,12.1
Georgia,Barrow County,13013180104,2016,92,172,74.4,,0,13.1
Georgia,Barrow County,13013180105,2501,114,136,82.5,,0,10.0
Georgia,Barrow County,13013180106,2624,101,220,82.3,,0,12.2
Georgia,Barrow County,13013180107,3854,182,204,79.3,,0,10.0
Georgia,Barrow County,13013180108,2931,180,212,71.7,,0,13.4
Georgia,Barrow County,13013180203,3187,1002,369,78.5,,0,43.0
Georgia,Barrow County,13013180204,2416,663,261,74,,0,38.2
Georgia,Barrow County,13013180205,4042,711,346,75.8,,0,26.2
Georgia,Barrow County,13013180206,2887,238,157,79.2,,0,13.7
