State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Illinois,Adams County,17001000100,4627,61,72,90.3,,0,2.9
Illinois,Adams County,17001000201,1986,53,18,87.6,,0,3.6
Illinois,Adams County,17001000202,2999,211,62,81.9,,0,9.1
Illinois,Adams County,17001000400,4322,562,78,81.2,,0,14.8
Illinois,Adams County,17001000500,2337,377,18,81.5,,0,16.9
Illinois,Adams County,17001000600,3718,128,44,82.5,316092.64,85.0,4.6
Illinois,Adams County,17001000700,1481,153,17,79.9,2821746,1905.3,11.5
Illinois,Adams County,17001000800,2711,184,55,78.2,,0,8.8
Illinois,Adams County,17001000900,2573,99,37,80.4,,0,5.3
Illinois,Adams County,17001001001,3391,54,38,87.3,,0,2.7
Illinois,Adams County,17001001002,3223,61,45,90.1,,0,3.3
Illinois,Adams County,17001001100,7257,187,93,89.8,,0,3.9
Illinois,Adams County,17001010100,4451,11,17,80.6,184750,41.5,0.6
Illinois,Adams County,17001010200,3720,9,19,85.9,,0,0.8
Illinois,Adams County,17001010300,5890,10,34,85.2,,0,0.7
Illinois,Adams County,17001010400,3553,16,35,88.9,,0,1.4
Illinois,Adams County,17001010500,2989,47,31,92.8,,0,2.6
Illinois,Adams County,17001010600,5875,65,63,90.6,80310.3,13.7,2.2
Illinois,Alexander County,17003957600,2928,472,107,76.1,25000,8.5,19.8
Illinois,Alexander County,17003957700,2172,326,37,73.9,,0,16.7
Illinois,Alexander County,17003957800,1528,924,7,72.1,,0,60.9
Illinois,Alexander County,17003957900,1610,1186,4,69.6,1572162.22,976.5,73.9
Illinois,Bond County,17005951200,3216,139,31,79.1,,0,5.3
Illinois,Bond County,17005951300,6958,894,442,79.8,2101703,302.1,19.2
Illinois,Bond County,17005951400,3146,5,29,86.2,856216,272.2,1.1
Illinois,Bond County,17005951500,4448,23,45,82,,0,1.5
Illinois,Boone County,17007010100,8562,233,2788,82.9,,0,35.3
Illinois,Boone County,17007010200,6105,67,1959,76.4,17779,2.9,33.2
Illinois,Boone County,17007010300,6631,148,2033,82.4,,0,32.9
Illinois,Boone County,17007010400,6841,140,1351,89.9,,0,21.8
Illinois,Boone County,17007010500,10185,105,796,88.9,,0,8.8
Illinois,Boone County,17007010601,3859,21,592,84.6,,0,15.9
Illinois,Boone County,17007010602,11982,262,1448,84.2,,0,14.3
Illinois,Brown County,17009970400,2606,4,14,82.7,,0,0.7
Illinois,Brown County,17009970500,4331,1271,388,83.5,,0,38.3
Illinois,Bureau County,17011964700,3072,8,79,86.1,,0,2.8
Illinois,Bureau County,17011964800,3496,6,75,83.8,,0,2.3
