State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Kansas,Allen County,20001952600,2011,17,34,83.6,,0,2.5
Kansas,Allen County,20001952700,2174,10,29,83.4,,0,1.8
Kansas,Allen County,20001952800,3999,163,117,77,,0,7.0
Kansas,Allen County,20001952900,2367,23,80,84.4,1213505,512.7,4.4
Kansas,Allen County,20001953000,2820,30,132,85.1,,0,5.7
Kansas,Anderson County,20003953600,5104,24,96,82.1,2248323,440.5,2.4
Kansas,Anderson County,20003953700,2998,16,27,85.7,733672.41,244.7,1.4
Kansas,Atchison County,20005081600,4488,54,54,84.4,1112195,247.8,2.4
Kansas,Atchison County,20005081700,6403,494,161,77.4,,0,10.2
Kansas,Atchison County,20005081800,2907,107,76,81.2,,0,6.3
Kansas,Atchison County,20005081900,3126,189,92,76.4,1361486.03,435.5,9.0
Kansas,Barber County,20007968100,3138,18,64,86.3,30237,9.6,2.6
Kansas,Barber County,20007968200,1723,2,55,86.9,41489,24.1,3.3
Kansas,Barton County,20009971100,3971,8,88,85.9,,0,2.4
Kansas,Barton County,20009971200,1704,1,49,84.5,,0,2.9
Kansas,Barton County,20009971300,3072,30,121,86.3,,0,4.9
Kansas,Barton County,20009971400,2573,68,365,80.4,,0,16.8
Kansas,Barton County,20009971500,3485,30,203,85.2,,0,6.7
Kansas,Barton County,20009971600,3948,58,357,85.5,,0,10.5
Kansas,Barton County,20009971700,2946,60,975,79.8,744953,252.9,35.1
Kansas,Barton County,20009971800,5975,112,1525,84.2,,0,27.4
Kansas,Bourbon County,20011955600,2774,18,46,81.4,198105,71.4,2.3
Kansas,Bourbon County,20011955700,2332,13,29,82.5,,0,1.8
Kansas,Bourbon County,20011955800,3791,161,49,79.7,,0,5.5
Kansas,Bourbon County,20011955900,3402,139,88,75.9,,0,6.7
Kansas,Bourbon County,20011956000,2874,78,97,80.1,1389980.58,483.6,6.1
Kansas,Brown County,20013480600,2923,18,64,85.4,,0,2.8
Kansas,Brown County,20013480700,3602,75,138,81.6,1498419,416.0,5.9
Kansas,Brown County,20013480800,3459,23,104,83.2,724265.87,209.4,3.7
Kansas,Butler County,20015020100,6253,482,261,81.6,398000,63.6,11.9
Kansas,Butler County,20015020201,7176,148,332,85.7,,0,6.7
Kansas,Butler County,20015020202,8343,91,421,86.4,,0,6.1
Kansas,Butler County,20015020203,5784,35,207,81.6,,0,4.2
Kansas,Butler County,20015020300,3883,53,194,80.9,,0,6.4
Kansas,Butler County,20015020400,2559,45,121,80.3,964350,376.8,6.5
Kansas,Butler County,20015020500,5441,84,229,76.8,,0,5.8
Kansas,Butler County,20015020600,7687,39,208,83.7,,0,3.2
Kansas,Butler County,20015020700,4004,8,165,83.8,,0,4.3
Kansas,Butler County,20015020800,3114,20,156,81.7,,0,5.7
Kansas,Butler County,20015020901,4144,23,110,85.3,,0,3.2
Kansas,Butler County,20015020902,3840,11,110,84.8,,0,3.2
Kansas,Butler County,20015020903,3652,15,88,81.2,,0,2.8
Kansas,Chase County,20017960600,2790,34,100,83,482000,172.8,4.8
Kansas,Chautauqua County,20019964600,3669,13,87,81,1884896,513.7,2.7
Kansas,Cherokee County,20021958100,2996,14,48,78.8,,0,2.1
Kansas,Cherokee County,20021958200,2328,14,46,78.3,255238,109.6,2.6
Kansas,Cherokee County,20021958300,4031,16,85,79.2,658541,163.4,2.5
Kansas,Cherokee County,20021958400,3819,26,41,79.3,,0,1.8
Kansas,Cherokee County,20021958500,3854,11,127,79.9,171870,44.6,3.6
Kansas,Cherokee County,20021958600,4575,35,77,74.8,,0,2.4
Kansas,Cheyenne County,20023950200,2726,2,142,85.2,,0,5.3
Kansas,Clark County,20025967100,2215,0,163,80.7,,0,7.4
Kansas,Clay County,20027458100,3894,11,83,85,,0,2.4
Kansas,Clay County,20027458200,4641,23,79,84.9,391624,84.4,2.2
Kansas,Cloud County,20029977100,2347,2,23,82.5,1780416,758.6,1.1
Kansas,Cloud County,20029977200,2293,6,105,80.1,,0,4.8
Kansas,Cloud County,20029977300,3444,37,128,83.1,2181360.99,633.4,4.8
Kansas,Cloud County,20029977400,1449,4,27,82.6,,0,2.1
Kansas,Coffey County,20031966100,2703,4,46,83.9,,0,1.8
Kansas,Coffey County,20031966200,2947,14,50,83.2,,0,2.2
Kansas,Coffey County,20031966300,2951,29,80,79.6,614960,208.4,3.7
Kansas,Comanche County,20033967600,1891,6,73,82.7,,0,4.2
Kansas,Cowley County,20035493100,2729,4,59,85.4,,0,2.3
Kansas,Cowley County,20035493200,3066,2,80,83.9,632810.83,206.4,2.7
Kansas,Cowley County,20035493300,2760,19,65,87.2,,0,3.0
Kansas,Cowley County,20035493400,2598,68,163,83.9,,0,8.9
Kansas,Cowley County,20035493500,5191,286,331,78.4,,0,11.9
Kansas,Cowley County,20035493600,4367,109,260,77.8,1418637.68,324.9,8.4
Kansas,Cowley County,20035493700,3601,109,588,77.4,,0,19.4
Kansas,Cowley County,20035493800,4651,230,871,75.6,,0,23.7
Kansas,Cowley County,20035493900,3433,25,185,88.7,,0,6.1
Kansas,Cowley County,20035494000,2376,109,359,80.1,1500000,631.3,19.7
Kansas,Cowley County,20035494100,1539,10,331,72.9,,0,22.2
Kansas,Crawford County,20037956600,4232,24,102,78.5,,0,3.0
Kansas,Crawford County,20037956700,3727,3,55,81.3,,0,1.6
Kansas,Crawford County,20037956800,3483,51,78,81.3,817030,234.6,3.7
Kansas,Crawford County,20037956900,4252,19,89,82.6,303218,71.3,2.5
Kansas,Crawford County,20037957000,3334,66,200,80.3,,0,8.0
Kansas,Crawford County,20037957100,2710,80,266,74.3,,0,12.8
Kansas,Crawford County,20037957200,2232,55,203,82.3,0,0.0,11.6
Kansas,Crawford County,20037957300,3178,86,128,76.6,,0,6.7
Kansas,Crawford County,20037957400,2159,60,115,80,,0,8.1
Kansas,Crawford County,20037957500,2370,92,283,75.1,253770,107.1,15.8
Kansas,Crawford County,20037957600,7457,221,243,73.9,,0,6.2
Kansas,Decatur County,20039951100,1104,4,12,82.1,,0,1.4
Kansas,Decatur County,20039951200,1857,13,18,85,775521,417.6,1.7
Kansas,Dickinson County,20041084100,4058,34,115,82.7,,0,3.7
Kansas,Dickinson County,20041084200,2525,6,74,89.3,1123093,444.8,3.2
Kansas,Dickinson County,20041084300,2358,17,131,83.2,,0,6.3
Kansas,Dickinson County,20041084400,5141,44,219,82.7,167000,32.5,5.1
Kansas,Dickinson County,20041084500,3104,29,84,82.6,,0,3.6
Kansas,Dickinson County,20041084600,2568,9,146,78.2,,0,6.0
Kansas,Doniphan County,20043020100,2308,110,38,79.5,,0,6.4
Kansas,Doniphan County,20043020200,2188,13,48,80.7,652163,298.1,2.8
Kansas,Doniphan County,20043020300,3449,119,79,73.6,105679,30.6,5.7
Kansas,Douglas County,20045000100,2847,139,166,82.8,595586.13,209.2,10.7
Kansas,Douglas County,20045000200,6819,398,525,82.2,4756565.35,697.5,13.5
Kansas,Douglas County,20045000300,7367,189,309,72.6,206527.28,28.0,6.8
Kansas,Douglas County,20045000400,4167,239,207,79.4,,0,10.7
Kansas,Douglas County,20045000501,3227,223,193,75.7,778911.41,241.4,12.9
Kansas,Douglas County,20045000502,5366,111,229,78.2,413916.28,77.1,6.3
Kansas,Douglas County,20045000603,5786,230,260,81.7,119055.91,20.6,8.5
Kansas,Douglas County,20045000604,5079,231,241,81.9,357575.75,70.4,9.3
Kansas,Douglas County,20045000702,6405,255,347,77.9,379987.98,59.3,9.4
Kansas,Douglas County,20045000797,4786,133,201,85.3,103928.6,21.7,7.0
Kansas,Douglas County,20045000801,5498,293,330,75.3,73469.37,13.4,11.3
Kansas,Douglas County,20045000802,5640,321,405,82.2,402614.25,71.4,12.9
Kansas,Douglas County,20045000901,5768,379,630,65.4,482626.94,83.7,17.5
Kansas,Douglas County,20045000902,2118,80,145,80.8,105775.33,49.9,10.6
Kansas,Douglas County,20045001001,2797,66,129,83.4,505872.34,180.9,7.0
Kansas,Douglas County,20045001002,5747,388,347,80.6,883986.62,153.8,12.8
Kansas,Douglas County,20045001201,1734,18,27,89.3,,0,2.6
Kansas,Douglas County,20045001202,7295,49,298,81,,0,4.8
Kansas,Douglas County,20045001203,6651,99,161,84.1,,0,3.9
Kansas,Douglas County,20045001400,4611,45,86,88.4,,0,2.8
Kansas,Douglas County,20045001500,2431,46,96,83,680806.61,280.1,5.8
Kansas,Douglas County,20045001600,8687,272,319,86.4,41348.5,4.8,6.8
Kansas,Edwards County,20047969600,1512,2,313,82.2,,0,20.8
Kansas,Edwards County,20047969700,1525,3,221,87.9,20000,13.1,14.7
Kansas,Elk County,20049965100,2882,0,79,83,741646,257.3,2.7
Kansas,Ellis County,20051072600,2785,4,37,84.7,,0,1.5
Kansas,Ellis County,20051072701,5421,58,172,85.3,,0,4.2
Kansas,Ellis County,20051072702,2867,7,192,80.2,,0,6.9
Kansas,Ellis County,20051072800,7676,72,267,84.9,,0,4.4
Kansas,Ellis County,20051072900,6284,85,542,79.5,799957,127.3,10.0
Kansas,Ellis County,20051073000,3419,6,89,86.1,129953,38.0,2.8
Kansas,Ellsworth County,20053086600,2093,1,92,83.8,558500,266.8,4.4
Kansas,Ellsworth County,20053086700,4404,298,230,87.6,1356143.7,307.9,12.0
Kansas,Finney County,20055960100,4285,13,1029,81.1,,0,24.3
Kansas,Finney County,20055960200,7047,209,3898,72.5,,0,58.3
Kansas,Finney County,20055960300,2996,35,1007,79.2,,0,34.8
Kansas,Finney County,20055960401,1919,18,413,88.7,,0,22.5
Kansas,Finney County,20055960403,2612,57,858,76.7,,0,35.0
Kansas,Finney County,20055960404,3606,162,1090,72.3,,0,34.7
Kansas,Finney County,20055960501,2300,22,1594,67.1,,0,70.3
Kansas,Finney County,20055960503,1177,8,386,85.9,,0,33.5
Kansas,Finney County,20055960505,1557,22,963,73.9,,0,63.3
Kansas,Finney County,20055960507,1738,70,716,78.4,,0,45.2
Kansas,Finney County,20055960508,1856,5,1316,66,,0,71.2
Kansas,Finney County,20055960600,5683,86,3912,71.7,521036,91.7,70.4
Kansas,Ford County,20057961600,1907,3,181,77.8,,0,9.6
Kansas,Ford County,20057961700,1965,19,140,60.8,61544,31.3,8.1
Kansas,Ford County,20057961800,8407,211,3605,73.9,400000,47.6,45.4
Kansas,Ford County,20057961900,8359,217,4136,70.5,,0,52.1
Kansas,Ford County,20057962000,5111,46,3209,75.3,,0,63.7
Kansas,Ford County,20057962101,4822,69,3747,66.3,30000,6.2,79.1
Kansas,Ford County,20057962102,3277,40,2303,67.4,,0,71.5
Kansas,Franklin County,20059954100,6821,29,150,83,,0,2.6
Kansas,Franklin County,20059954200,2998,53,180,77.2,,0,7.8
Kansas,Franklin County,20059954300,5473,83,240,81.3,,0,5.9
Kansas,Franklin County,20059954400,4664,138,223,79.2,695896,149.2,7.7
Kansas,Franklin County,20059954500,6036,17,144,82.3,536675,88.9,2.7
Kansas,Geary County,20061000100,2779,599,504,64.4,,0,39.7
Kansas,Geary County,20061000200,3004,881,434,68.1,,0,43.8
Kansas,Geary County,20061000300,4952,1274,650,78.9,,0,38.9
Kansas,Geary County,20061000400,6308,1097,713,71.6,,0,28.7
Kansas,Geary County,20061000500,2820,456,314,78.2,392700,139.3,27.3
Kansas,Geary County,20061000600,5838,735,843,70.5,,0,27.0
Kansas,Geary County,20061000700,2627,184,244,79.9,400000,152.3,16.3
Kansas,Geary County,20061000800,6034,789,550,79.3,,0,22.2
Kansas,Gove County,20063955100,1701,5,31,86.4,666078,391.6,2.1
Kansas,Gove County,20063955200,994,2,11,86.6,,0,1.3
Kansas,Graham County,20065952100,996,32,21,82.3,,0,5.3
Kansas,Graham County,20065952200,1601,64,38,90.8,2030932,1268.5,6.4
Kansas,Grant County,20067963600,1497,2,350,75.7,,0,23.5
Kansas,Grant County,20067963700,6332,29,3089,75.4,396527,62.6,49.2
Kansas,Gray County,20069962600,3026,12,554,76.5,,0,18.7
Kansas,Gray County,20069962700,2980,10,301,82.6,38490,12.9,10.4
Kansas,Greeley County,20071958100,1247,3,171,80.1,494301,396.4,14.0
Kansas,Greenwood County,20073965600,2162,4,37,83.2,23732,11.0,1.9
Kansas,Greenwood County,20073965700,2766,6,142,87.2,52237,18.9,5.4
Kansas,Greenwood County,20073965800,1761,13,41,86.1,,0,3.1
Kansas,Hamilton County,20075958600,2690,8,827,69.4,,0,31.0
Kansas,Harper County,20077961600,2151,4,162,84.4,1056000,490.9,7.7
Kansas,Harper County,20077961700,1478,5,45,82.8,,0,3.4
Kansas,Harper County,20077961800,2405,12,91,88.2,1943217,808.0,4.3
Kansas,Harvey County,20079030100,4611,107,600,83,,0,15.3
Kansas,Harvey County,20079030200,5539,97,672,86.6,,0,13.9
Kansas,Harvey County,20079030300,5550,113,1038,81.2,,0,20.7
Kansas,Harvey County,20079030400,5341,107,903,81.4,,0,18.9
Kansas,Harvey County,20079030500,6387,69,257,86.7,400000,62.6,5.1
Kansas,Harvey County,20079030600,7256,37,277,82.9,250291,34.5,4.3
Kansas,Haskell County,20081463100,4256,4,1149,73.8,,0,27.1
Kansas,Hodgeman County,20083461100,1916,20,118,72.7,,0,7.2
Kansas,Jackson County,20085082600,5389,19,125,84.5,1169708,217.1,2.7
Kansas,Jackson County,20085082700,4005,37,175,79.6,377161,94.2,5.3
Kansas,Jackson County,20085082800,4068,13,138,85.5,567849,139.6,3.7
Kansas,Jefferson County,20087020101,6178,25,134,84.2,,0,2.6
Kansas,Jefferson County,20087020102,3255,26,56,80.3,,0,2.5
Kansas,Jefferson County,20087020200,4030,25,58,85,544684,135.2,2.1
Kansas,Jefferson County,20087020300,5663,24,91,83.3,,0,2.0
Kansas,Jewell County,20089576100,1096,1,17,82.7,280000,255.5,1.6
Kansas,Jewell County,20089576200,1981,3,46,84.3,1711612,864.0,2.5
Kansas,Johnson County,20091050000,4688,53,345,86.1,,0,8.5
