State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Louisiana,Acadia Parish,22001960100,6213,1932,118,79.4,2534287.86,407.9,33.0
Louisiana,Acadia Parish,22001960200,5988,292,154,75.6,,0,7.4
Louisiana,Acadia Parish,22001960300,3582,75,62,78.6,,0,3.8
Louisiana,Acadia Parish,22001960400,6584,209,75,75.5,681142.85,103.5,4.3
Louisiana,Acadia Parish,22001960500,6093,400,98,77.6,,0,8.2
Louisiana,Acadia Parish,22001960600,5972,1055,95,79.1,3165332.54,530.0,19.3
Louisiana,Acadia Parish,22001960700,4310,2061,72,77.1,,0,49.5
Louisiana,Acadia Parish,22001960800,5389,626,82,76.2,1577849.11,292.8,13.1
Louisiana,Acadia Parish,22001960900,5072,3094,57,76.3,,0,62.1
Louisiana,Acadia Parish,22001961000,5324,1178,139,79.5,867822.25,163.0,24.7
Louisiana,Acadia Parish,22001961100,3780,130,61,74.8,1328576.24,351.5,5.1
Louisiana,Acadia Parish,22001961200,3466,81,47,86.2,,0,3.7
Louisiana,Allen Parish,22003950100,5115,104,53,62.9,,0,3.1
Louisiana,Allen Parish,22003950200,5326,1348,61,66.5,1573355.06,295.4,26.5
Louisiana,Allen Parish,22003950300,3146,1297,25,60.7,,0,42.0
Louisiana,Allen Parish,22003950400,4368,950,67,68.4,937893.27,214.7,23.3
Louisiana,Allen Parish,22003950500,7809,2258,136,66.5,,0,30.7
Louisiana,Ascension Parish,22005030101,6541,396,285,78.7,,0,10.4
Louisiana,Ascension Parish,22005030102,5073,175,235,80.7,,0,8.1
Louisiana,Ascension Parish,22005030103,5644,41,106,81,,0,2.6
Louisiana,Ascension Parish,22005030203,10551,1001,396,84.4,,0,13.2
Louisiana,Ascension Parish,22005030204,10530,1357,475,84.7,,0,17.4
Louisiana,Ascension Parish,22005030205,9734,1505,471,81.6,,0,20.3
Louisiana,Ascension Parish,22005030206,9290,1358,815,76.4,,0,23.4
Louisiana,Ascension Parish,22005030300,13728,4272,431,77.5,,0,34.3
Louisiana,Ascension Parish,22005030401,4421,1055,357,75.3,2559044.03,578.8,31.9
Louisiana,Ascension Parish,22005030402,6812,3416,637,76.1,,0,59.5
Louisiana,Ascension Parish,22005030500,8843,383,222,79.6,,0,6.8
Louisiana,Ascension Parish,22005030600,5123,1372,358,67.1,721810.64,140.9,33.8
