State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Maryland,Allegany County,24001000100,3718,31,31,85.9,,0,1.7
Maryland,Allegany County,24001000200,4564,835,364,86.2,,0,26.3
Maryland,Allegany County,24001000300,2780,78,27,80.8,410830.42,147.8,3.8
Maryland,Allegany County,24001000400,3022,149,16,86.1,112461.88,37.2,5.5
Maryland,Allegany County,24001000500,2734,319,42,82,264020.35,96.6,13.2
Maryland,Allegany County,24001000600,2965,180,29,82.2,277467.32,93.6,7.0
Maryland,Allegany County,24001000700,3387,159,28,85.3,620096.53,183.1,5.5
Maryland,Allegany County,24001000800,2213,105,16,79.4,535917.26,242.2,5.5
Maryland,Allegany County,24001001000,2547,160,45,77.8,2595227.7,1018.9,8.0
Maryland,Allegany County,24001001100,1493,70,16,81.2,34062.75,22.8,5.8
Maryland,Allegany County,24001001200,3164,133,59,83.1,56181.99,17.8,6.1
Maryland,Allegany County,24001001300,5268,2442,34,80.4,,0,47.0
Maryland,Allegany County,24001001401,4110,34,37,87.5,,0,1.7
Maryland,Allegany County,24001001402,1589,28,3,85.3,,0,2.0
Maryland,Allegany County,24001001502,2055,13,17,86.8,,0,1.5
Maryland,Allegany County,24001001503,1968,10,16,69.3,400000,203.3,1.3
Maryland,Allegany County,24001001600,1766,23,33,82.3,,0,3.2
Maryland,Allegany County,24001001700,4818,128,57,81.8,,0,3.8
Maryland,Allegany County,24001001800,5411,986,128,72.8,498652,92.2,20.6
Maryland,Allegany County,24001001900,2623,1,11,66.1,145818.36,55.6,0.5
Maryland,Allegany County,24001002000,5552,40,43,84.8,138570.25,25.0,1.5
Maryland,Allegany County,24001002100,3466,16,13,87.3,3000,0.9,0.8
Maryland,Allegany County,24001002200,3874,19,20,82.7,1405796.57,362.9,1.0
Maryland,Anne Arundel County,24003701101,4151,95,102,87.8,,0,4.7
Maryland,Anne Arundel County,24003701102,7508,184,676,80.1,,0,11.5
Maryland,Anne Arundel County,24003701200,8298,133,266,82.4,,0,4.8
Maryland,Anne Arundel County,24003701300,7906,631,229,85,,0,10.9
Maryland,Anne Arundel County,24003701400,3575,483,103,89.2,,0,16.4
Maryland,Anne Arundel County,24003702100,6722,249,159,85,,0,6.1
Maryland,Anne Arundel County,24003702204,4169,162,149,87.8,,0,7.5
Maryland,Anne Arundel County,24003702205,5322,496,152,80,,0,12.2
Maryland,Anne Arundel County,24003702206,6372,746,309,81.6,11583,1.8,16.6
Maryland,Anne Arundel County,24003702208,6962,1021,523,78.1,22790,3.3,22.2
Maryland,Anne Arundel County,24003702209,4523,293,165,85.1,,0,10.1
Maryland,Anne Arundel County,24003702300,5423,136,146,86.6,,0,5.2
