State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Massachusetts,Barnstable County,25001010400,2999,37,61,70.1,,0,3.3
Massachusetts,Barnstable County,25001010500,2891,13,20,74.7,,0,1.1
Massachusetts,Barnstable County,25001010800,4878,20,69,86.7,,0,1.8
Massachusetts,Barnstable County,25001010900,4942,47,97,85.8,,0,2.9
Massachusetts,Barnstable County,25001011002,4157,88,69,100,,0,3.8
Massachusetts,Barnstable County,25001011100,4694,62,74,66.7,,0,2.9
Massachusetts,Barnstable County,25001011300,2600,18,39,91.4,,0,2.2
Massachusetts,Barnstable County,25001011400,2991,32,77,93.2,,0,3.6
Massachusetts,Barnstable County,25001011500,4029,88,86,88.6,,0,4.3
Massachusetts,Barnstable County,25001011600,2710,121,68,81.4,,0,7.0
Massachusetts,Barnstable County,25001011700,1877,20,36,86.1,,0,3.0
Massachusetts,Barnstable County,25001011801,2403,8,19,93,,0,1.1
Massachusetts,Barnstable County,25001011802,4255,36,57,86.2,49759.41,11.7,2.2
Massachusetts,Barnstable County,25001012001,5732,119,123,89.7,149198.58,26.0,4.2
Massachusetts,Barnstable County,25001012002,3007,78,121,83.2,529077.96,175.9,6.6
Massachusetts,Barnstable County,25001012101,5339,134,187,85.7,239930.14,44.9,6.0
Massachusetts,Barnstable County,25001012102,3057,73,114,82.8,172571.67,56.5,6.1
Massachusetts,Barnstable County,25001012200,5046,38,43,90.1,195928.01,38.8,1.6
Massachusetts,Barnstable County,25001012502,3080,119,134,76,211987.66,68.8,8.2
Massachusetts,Barnstable County,25001012601,2877,116,148,82.2,432558.02,150.4,9.2
Massachusetts,Barnstable County,25001012602,4915,407,410,76.3,739059.13,150.4,16.6
Massachusetts,Barnstable County,25001012700,4562,86,113,83.7,74394.34,16.3,4.4
Massachusetts,Barnstable County,25001012800,3923,59,72,88.3,109305.96,27.9,3.3
Massachusetts,Barnstable County,25001012900,4135,61,72,83.7,110377.01,26.7,3.2
Massachusetts,Barnstable County,25001013002,2899,23,36,88.7,6763.46,2.3,2.0
Massachusetts,Barnstable County,25001013100,5935,65,116,83.6,180333.3,30.4,3.0
Massachusetts,Barnstable County,25001013200,4783,51,88,88.7,42115.84,8.8,2.9
Massachusetts,Barnstable County,25001013300,3218,10,28,87.5,,0,1.2
Massachusetts,Barnstable County,25001013400,4163,9,44,91.1,,0,1.3
Massachusetts,Barnstable County,25001013500,6940,19,81,85.5,,0,1.4
Massachusetts,Barnstable County,25001013600,6334,32,120,81.7,,0,2.4
Massachusetts,Barnstable County,25001013700,4911,46,80,84.8,,0,2.6
Massachusetts,Barnstable County,25001013800,4840,52,95,76,,0,3.0
Massachusetts,Barnstable County,25001013900,4831,36,40,88.5,,0,1.6
Massachusetts,Barnstable County,25001014002,4053,60,48,88.5,,0,2.7
Massachusetts,Barnstable County,25001014100,1141,93,94,80.1,,0,16.4
Massachusetts,Barnstable County,25001014300,4384,38,50,89.3,,0,2.0
Massachusetts,Barnstable County,25001014402,6947,139,123,87.5,,0,3.8
Massachusetts,Barnstable County,25001014500,5395,101,139,85.7,,0,4.4
Massachusetts,Barnstable County,25001014600,4130,115,89,87,,0,4.9
Massachusetts,Barnstable County,25001014700,3690,66,62,87.8,,0,3.5
Massachusetts,Barnstable County,25001014800,3387,70,45,83.5,,0,3.4
Massachusetts,Barnstable County,25001014900,3598,47,57,88.7,,0,2.9
Massachusetts,Barnstable County,25001015001,4417,80,127,87.2,,0,4.7
Massachusetts,Barnstable County,25001015002,3713,133,81,86.4,,0,5.8
Massachusetts,Barnstable County,25001015100,3809,77,84,88.2,,0,4.2
Massachusetts,Barnstable County,25001015200,2065,22,23,92.7,,0,2.2
Massachusetts,Barnstable County,25001015300,3038,266,186,66.1,2839357.94,934.6,14.9
Massachusetts,Berkshire County,25003900100,3389,306,316,76.6,9538553.06,2814.6,18.4
Massachusetts,Berkshire County,25003900200,4449,322,542,75.6,1245494.4,279.9,19.4
Massachusetts,Berkshire County,25003900300,2903,100,170,81.5,905327.89,311.9,9.3
Massachusetts,Berkshire County,25003900400,4862,216,215,81.6,620636.01,127.7,8.9
Massachusetts,Berkshire County,25003900500,3288,62,92,89.3,715660.62,217.7,4.7
Massachusetts,Berkshire County,25003900600,4117,592,304,73.8,2354303.18,571.8,21.8
Massachusetts,Berkshire County,25003900700,2910,58,69,86.6,481233.24,165.4,4.4
Massachusetts,Berkshire County,25003900800,4835,45,72,91.1,334004.43,69.1,2.4
Massachusetts,Berkshire County,25003900900,5134,170,280,79.1,860205.2,167.6,8.8
Massachusetts,Berkshire County,25003901100,3729,141,72,90.9,221492.7,59.4,5.7
Massachusetts,Berkshire County,25003911100,3091,39,41,85.5,,0,2.6
Massachusetts,Berkshire County,25003912100,6756,48,109,88.4,,0,2.3
Massachusetts,Berkshire County,25003913100,5025,55,138,90.4,,0,3.8
Massachusetts,Berkshire County,25003914100,5943,57,261,88.7,,0,5.4
Massachusetts,Berkshire County,25003920101,4638,128,198,88,,0,7.0
Massachusetts,Berkshire County,25003920102,3116,84,122,93.2,,0,6.6
Massachusetts,Berkshire County,25003921300,5118,142,192,84.9,,0,6.5
Massachusetts,Berkshire County,25003921400,1699,28,94,87.7,,0,7.2
Massachusetts,Berkshire County,25003921500,3100,45,80,83.7,,0,4.0
Massachusetts,Berkshire County,25003922100,2680,12,29,83.5,,0,1.5
Massachusetts,Berkshire County,25003922200,3689,27,45,82.9,,0,2.0
Massachusetts,Berkshire County,25003922300,2116,12,24,86.4,,0,1.7
Massachusetts,Berkshire County,25003923100,3235,14,35,90.3,,0,1.5
Massachusetts,Berkshire County,25003924100,1947,18,59,83.6,,0,4.0
Massachusetts,Berkshire County,25003925100,7104,177,424,82.8,,0,8.5
Massachusetts,Berkshire County,25003926100,3257,34,105,85.7,,0,4.3
Massachusetts,Berkshire County,25003931100,1702,3,16,88,,0,1.1
Massachusetts,Berkshire County,25003931300,1444,18,14,85.4,,0,2.2
Massachusetts,Berkshire County,25003931400,1746,14,4,84.9,,0,1.0
Massachusetts,Berkshire County,25003932200,2317,12,43,92.3,,0,2.4
Massachusetts,Berkshire County,25003932300,2032,8,18,83.6,,0,1.3
Massachusetts,Berkshire County,25003933200,1288,17,9,86.1,,0,2.0
Massachusetts,Berkshire County,25003933300,1509,18,27,84.3,,0,3.0
