State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Michigan,Alcona County,26001000100,1807,0,23,88.5,,0,1.3
Michigan,Alcona County,26001970100,2549,4,33,87.7,,0,1.5
Michigan,Alcona County,26001970400,3013,4,36,88.5,1055513,350.3,1.3
Michigan,Alcona County,26001970500,2092,4,16,91.4,,0,1.0
Michigan,Alcona County,26001970600,1481,1,16,88.7,,0,1.1
Michigan,Alger County,26003000100,3869,8,46,77,599948.08,155.1,1.4
Michigan,Alger County,26003000200,2742,4,37,85.4,,0,1.5
Michigan,Alger County,26003000300,2990,595,31,86.9,,0,20.9
Michigan,Allegan County,26005030200,3278,8,123,90.7,91834.75,28.0,4.0
Michigan,Allegan County,26005030300,7290,16,177,90,,0,2.6
Michigan,Allegan County,26005030401,7439,29,154,89.6,,0,2.5
Michigan,Allegan County,26005030402,4820,25,146,92.4,,0,3.5
Michigan,Allegan County,26005030500,7281,20,214,84.8,,0,3.2
Michigan,Allegan County,26005030600,4957,20,107,88,,0,2.6
Michigan,Allegan County,26005030702,4763,17,108,88.6,,0,2.6
Michigan,Allegan County,26005030703,2652,44,898,87,4946542.08,1865.2,35.5
Michigan,Allegan County,26005030704,4419,17,692,89.2,,0,16.0
Michigan,Allegan County,26005030800,5101,22,216,87.4,,0,4.7
Michigan,Allegan County,26005030901,2837,80,257,90.5,,0,11.9
Michigan,Allegan County,26005030902,2519,4,425,89.8,,0,17.0
Michigan,Allegan County,26005031000,6214,241,1215,83,,0,23.4
Michigan,Allegan County,26005031100,6409,55,115,91.8,,0,2.7
Michigan,Allegan County,26005031200,5497,213,211,83.9,,0,7.7
Michigan,Allegan County,26005031300,4692,22,174,85.2,,0,4.2
Michigan,Allegan County,26005031800,4486,18,115,87.1,,0,3.0
Michigan,Allegan County,26005031900,5007,42,169,85.8,,0,4.2
Michigan,Allegan County,26005032000,5260,43,128,83.7,915069,174.0,3.3
Michigan,Allegan County,26005032100,4496,40,96,89.5,116282,25.9,3.0
Michigan,Allegan County,26005032200,5286,181,741,84.5,0,0.0,17.4
Michigan,Allegan County,26005032401,1520,63,634,73.9,233472.19,153.6,45.9
Michigan,Allegan County,26005032402,3751,15,229,86.7,,0,6.5
Michigan,Allegan County,26005032600,1434,29,110,87.9,,0,9.7
Michigan,Alpena County,26007000100,4660,7,58,87.2,,0,1.4
Michigan,Alpena County,26007000200,4431,6,34,87.4,,0,0.9
Michigan,Alpena County,26007000300,3204,17,33,91.5,,0,1.6
Michigan,Alpena County,26007000400,2989,12,41,78.7,1228300,410.9,1.8
Michigan,Alpena County,26007000500,2104,5,24,81.8,,0,1.4
Michigan,Alpena County,26007000600,3270,0,44,90.1,,0,1.3
Michigan,Alpena County,26007000700,2732,4,24,89.7,,0,1.0
Michigan,Alpena County,26007000800,3298,19,25,86.6,,0,1.3
Michigan,Alpena County,26007000900,2910,8,21,93.5,,0,1.0
Michigan,Antrim County,26009960100,2602,2,86,90.2,,0,3.4
Michigan,Antrim County,26009960200,3388,8,49,87.2,,0,1.7
Michigan,Antrim County,26009960300,2727,2,30,88.4,226440,83.0,1.2
Michigan,Antrim County,26009960400,3361,3,49,91.2,,0,1.5
Michigan,Antrim County,26009960500,3212,1,57,88.2,,0,1.8
