State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Mississippi,Adams County,28001000100,7602,2042,1896,82.2,,0,51.8
Mississippi,Adams County,28001000200,4126,3402,37,80.4,,0,83.3
Mississippi,Adams County,28001000300,2087,1986,18,76.3,140248.94,67.2,96.0
Mississippi,Adams County,28001000400,3208,3082,16,69.6,,0,96.6
Mississippi,Adams County,28001000500,3607,1977,66,80.6,,0,56.6
Mississippi,Adams County,28001000600,2211,939,20,73,,0,43.4
Mississippi,Adams County,28001000700,1783,661,33,80.3,120450.5,67.6,38.9
Mississippi,Adams County,28001000800,3456,2217,13,79.3,,0,64.5
Mississippi,Adams County,28001000900,4217,844,51,77.5,,0,21.2
Mississippi,Alcorn County,28003950100,5606,135,50,84.7,165443.44,29.5,3.3
Mississippi,Alcorn County,28003950200,6911,1293,362,82.5,,0,23.9
Mississippi,Alcorn County,28003950300,3643,328,132,81.3,527293.79,144.7,12.6
Mississippi,Alcorn County,28003950400,5559,41,52,84.9,489743,88.1,1.7
Mississippi,Alcorn County,28003950500,6586,1944,321,76.5,901038.81,136.8,34.4
Mississippi,Alcorn County,28003950600,4477,13,38,80.9,365000,81.5,1.1
Mississippi,Alcorn County,28003950700,4275,455,55,80.4,591740.35,138.4,11.9
Mississippi,Amite County,28005950100,4490,1388,28,82.8,690071.62,153.7,31.5
Mississippi,Amite County,28005950200,3632,1482,39,63.5,1460083.49,402.0,41.9
Mississippi,Amite County,28005950300,5009,2526,43,75.1,,0,51.3
Mississippi,Attala County,28007060100,2985,800,59,82.5,422000,141.4,28.8
Mississippi,Attala County,28007060200,2619,511,58,76.6,,0,21.7
Mississippi,Attala County,28007060300,3421,2056,34,71,339276,99.2,61.1
Mississippi,Attala County,28007060400,2998,881,11,85.7,,0,29.8
Mississippi,Attala County,28007060500,3855,1941,100,83.9,793755.77,205.9,52.9
Mississippi,Attala County,28007060600,3686,1991,61,78.9,310163.77,84.1,55.7
Mississippi,Benton County,28009950100,6062,2842,124,68.1,608192.52,100.3,48.9
Mississippi,Benton County,28009950200,2667,402,24,68.7,1664708.98,624.2,16.0
Mississippi,Bolivar County,28011950100,3805,3219,76,59.7,763114.82,200.6,86.6
Mississippi,Bolivar County,28011950200,3110,2591,19,60,1247534.47,401.1,83.9
Mississippi,Bolivar County,28011950300,3168,2843,39,66.1,796192.64,251.3,91.0
Mississippi,Bolivar County,28011950400,4709,3490,56,64,1352162.25,287.1,75.3
Mississippi,Bolivar County,28011950500,5178,2361,236,57,414590,80.1,50.2
Mississippi,Bolivar County,28011950600,6632,714,109,76.7,14360,2.2,12.4
Mississippi,Bolivar County,28011950701,4215,3594,80,72.5,660701.6,156.8,87.2
Mississippi,Bolivar County,28011950702,3328,3027,24,73.3,,0,91.7
Mississippi,Calhoun County,28013950100,4098,436,114,81.3,402258.58,98.2,13.4
Mississippi,Calhoun County,28013950200,1724,875,64,68.2,98500,57.1,54.5
Mississippi,Calhoun County,28013950300,3126,829,16,73.8,98500,31.5,27.0
Mississippi,Calhoun County,28013950400,3250,687,577,78.4,373200,114.8,38.9
Mississippi,Calhoun County,28013950500,2764,1301,34,64.2,,0,48.3
Mississippi,Carroll County,28015950100,4938,1014,73,71.4,344809.1,69.8,22.0
Mississippi,Carroll County,28015950200,5659,2430,33,68.3,,0,43.5
Mississippi,Chickasaw County,28017950100,4110,2512,71,79,1822110.61,443.3,62.8
Mississippi,Chickasaw County,28017950200,3517,985,127,78.9,395337,112.4,31.6
Mississippi,Chickasaw County,28017950300,4225,1636,277,80.5,825000,195.3,45.3
Mississippi,Chickasaw County,28017950400,5540,2159,168,84.9,282914.17,51.1,42.0
Mississippi,Choctaw County,28019950100,2761,304,22,86.1,,0,11.8
Mississippi,Choctaw County,28019950200,4201,1568,50,77.8,238503.89,56.8,38.5
Mississippi,Choctaw County,28019950300,1585,699,4,67.6,1336733.6,843.4,44.4
Mississippi,Claiborne County,28021950100,3330,2492,14,51.5,500000,150.2,75.3
Mississippi,Claiborne County,28021950200,1463,1233,7,75.8,527497.24,360.6,84.8
Mississippi,Claiborne County,28021950300,4811,4347,53,57.2,180477.53,37.5,91.5
Mississippi,Clarke County,28023950100,4359,988,20,82.2,,0,23.1
Mississippi,Clarke County,28023950200,5969,1607,44,66.8,874929.41,146.6,27.7
