State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Missouri,Adair County,29001950100,3802,6,22,86.7,,0,0.7
Missouri,Adair County,29001950200,3019,5,22,86.7,,0,0.9
Missouri,Adair County,29001950300,2951,48,77,79.5,4852571.87,1644.4,4.2
Missouri,Adair County,29001950400,3892,36,83,88.7,,0,3.1
Missouri,Adair County,29001950500,7079,142,172,87.7,,0,4.4
Missouri,Adair County,29001950900,2277,38,51,83.7,,0,3.9
Missouri,Adair County,29001951000,2587,117,96,71.6,,0,8.2
Missouri,Andrew County,29003010100,5439,42,134,85.6,,0,3.2
Missouri,Andrew County,29003010200,6738,23,101,84.7,300000,44.5,1.8
Missouri,Andrew County,29003010300,2063,3,22,74.7,,0,1.2
Missouri,Andrew County,29003010400,3051,2,33,84.4,,0,1.1
Missouri,Atchison County,29005950100,3215,17,25,85.9,392732.23,122.2,1.3
Missouri,Atchison County,29005950200,2470,0,30,88.6,745812.06,301.9,1.2
Missouri,Audrain County,29007950100,4180,614,72,84.2,97975,23.4,16.4
Missouri,Audrain County,29007950200,4917,23,26,83.1,,0,1.0
Missouri,Audrain County,29007950300,3609,31,27,82.9,,0,1.6
Missouri,Audrain County,29007950400,2942,248,174,79.7,4310528.01,1465.2,14.3
Missouri,Audrain County,29007950500,3582,131,154,82.5,,0,8.0
Missouri,Audrain County,29007950600,2899,225,55,87.2,,0,9.7
Missouri,Audrain County,29007950700,3400,365,157,85.2,,0,15.4
Missouri,Barry County,29009960100,6127,6,124,80.3,,0,2.1
Missouri,Barry County,29009960200,6418,4,710,77.6,,0,11.1
Missouri,Barry County,29009960300,6400,30,1298,75.6,901000,140.8,20.8
Missouri,Barry County,29009960401,4190,5,90,77.9,,0,2.3
Missouri,Barry County,29009960402,3641,24,298,74.5,,0,8.8
Missouri,Barry County,29009960500,6054,16,195,81.1,366173.85,60.5,3.5
Missouri,Barry County,29009960600,2767,2,30,82.4,,0,1.2
Missouri,Barton County,29011960100,2986,4,52,85.3,,0,1.9
Missouri,Barton County,29011960200,4104,5,70,83.5,,0,1.8
Missouri,Barton County,29011960300,5312,33,109,80.7,199520,37.6,2.7
Missouri,Bates County,29013070100,5248,7,59,82,,0,1.3
Missouri,Bates County,29013070200,4411,14,80,76.8,,0,2.1
Missouri,Bates County,29013070300,4520,112,100,81.9,855102,189.2,4.7
Missouri,Bates County,29013070400,2870,10,36,81.8,,0,1.6
Missouri,Benton County,29015460100,3211,0,40,87.2,,0,1.2
Missouri,Benton County,29015460200,2466,5,43,80.1,,0,1.9
Missouri,Benton County,29015460300,4378,26,107,83.4,,0,3.0
Missouri,Benton County,29015460400,2269,9,25,83.4,,0,1.5
Missouri,Benton County,29015460700,2821,9,29,89.4,,0,1.3
Missouri,Benton County,29015460800,3911,7,47,80.7,,0,1.4
Missouri,Bollinger County,29017950100,4691,28,32,77,,0,1.3
Missouri,Bollinger County,29017950200,4609,3,50,77.2,,0,1.1
Missouri,Bollinger County,29017950300,3063,1,16,75.5,,0,0.6
Missouri,Boone County,29019000200,1730,120,73,79.6,237188.15,137.1,11.2
Missouri,Boone County,29019000300,3010,49,69,65.5,92642.57,30.8,3.9
Missouri,Boone County,29019000500,2794,130,86,70.4,228700,81.9,7.7
Missouri,Boone County,29019000600,4602,125,104,87.8,31768.5,6.9,5.0
Missouri,Boone County,29019000700,3542,604,162,77.5,2955792.57,834.5,21.6
Missouri,Boone County,29019000900,1511,473,87,72.4,729152.75,482.6,37.1
Missouri,Boone County,29019001001,4656,383,106,80.1,181059.58,38.9,10.5
Missouri,Boone County,29019001002,5950,541,231,80,0,0.0,13.0
Missouri,Boone County,29019001101,8628,694,315,74.2,76540,8.9,11.7
Missouri,Boone County,29019001103,6714,357,161,82.4,25254.2,3.8,7.7
Missouri,Boone County,29019001104,10629,735,232,78.8,34680,3.3,9.1
Missouri,Boone County,29019001201,5820,265,148,87.3,60,0.0,7.1
Missouri,Boone County,29019001202,5223,231,92,87.2,,0,6.2
Missouri,Boone County,29019001300,3836,641,212,76,300470.72,78.3,22.2
Missouri,Boone County,29019001400,11433,1384,411,79.6,181155.63,15.8,15.7
Missouri,Boone County,29019001502,6356,1497,305,77.4,206280.09,32.5,28.4
Missouri,Boone County,29019001503,4023,857,147,80.9,50025,12.4,25.0
Missouri,Boone County,29019001504,9106,1710,544,80.5,326495.04,35.9,24.8
Missouri,Boone County,29019001601,8052,1072,274,76.4,65469.37,8.1,16.7
Missouri,Boone County,29019001602,3272,128,58,84.5,,0,5.7
Missouri,Boone County,29019001701,6909,57,96,81.5,,0,2.2
Missouri,Boone County,29019001702,4306,129,76,83.7,,0,4.8
Missouri,Boone County,29019001803,4222,134,88,81.2,,0,5.3
Missouri,Boone County,29019001805,9020,804,234,81.6,23573,2.6,11.5
Missouri,Boone County,29019001901,4270,39,48,83.1,,0,2.0
Missouri,Boone County,29019001902,8249,108,121,79.1,2125,0.3,2.8
Missouri,Boone County,29019002000,4906,43,70,82.7,192400,39.2,2.3
Missouri,Boone County,29019002100,3120,1195,156,70.5,3496069.89,1120.5,43.3
Missouri,Boone County,29019002200,6753,438,189,73,,0,9.3
Missouri,Buchanan County,29021000100,5397,162,255,83.5,1790,0.3,7.7
Missouri,Buchanan County,29021000200,4415,111,137,86.8,335542.45,76.0,5.6
Missouri,Buchanan County,29021000300,3297,112,114,77.5,732430.54,222.2,6.9
Missouri,Buchanan County,29021000400,1785,59,142,83.2,519926.62,291.3,11.3
Missouri,Buchanan County,29021000500,2947,66,111,79.5,271409.9,92.1,6.0
Missouri,Buchanan County,29021000600,5432,739,177,85.4,649876.83,119.6,16.9
Missouri,Buchanan County,29021000701,4427,399,127,87.8,23966.8,5.4,11.9
Missouri,Buchanan County,29021000702,4495,271,176,82.8,136075,30.3,9.9
Missouri,Buchanan County,29021000900,4725,330,285,77.2,879422.47,186.1,13.0
Missouri,Buchanan County,29021001000,2932,538,423,69.5,3611737.81,1231.8,32.8
Missouri,Buchanan County,29021001100,2660,177,222,79,9731489.81,3658.5,15.0
Missouri,Buchanan County,29021001200,2065,224,175,73.5,4558734.58,2207.6,19.3
Missouri,Buchanan County,29021001500,5371,215,338,76.6,965601.58,179.8,10.3
Missouri,Buchanan County,29021001600,2640,106,106,81,349019.36,132.2,8.0
Missouri,Buchanan County,29021001700,4341,115,207,82.7,274433.07,63.2,7.4
Missouri,Buchanan County,29021001800,3506,94,116,81.9,136039,38.8,6.0
Missouri,Buchanan County,29021002100,2471,91,191,76.6,619863.23,250.9,11.4
Missouri,Buchanan County,29021002200,1919,25,68,89.5,,0,4.8
Missouri,Buchanan County,29021002300,2344,21,153,83.6,157298.88,67.1,7.4
Missouri,Buchanan County,29021002400,1988,65,168,75.6,934771.32,470.2,11.7
Missouri,Buchanan County,29021002500,2305,33,99,75.6,163507.32,70.9,5.7
Missouri,Buchanan County,29021002700,3327,101,77,83.9,,0,5.4
Missouri,Buchanan County,29021002800,4854,37,95,85.7,,0,2.7
Missouri,Buchanan County,29021002900,3250,9,73,79.1,55000,16.9,2.5
Missouri,Buchanan County,29021003000,6308,472,639,77.2,6321767.52,1002.2,17.6
Missouri,Butler County,29023950100,5397,34,46,76.6,,0,1.5
Missouri,Butler County,29023950201,5057,71,80,71.1,,0,3.0
Missouri,Butler County,29023950202,5252,75,43,69.9,,0,2.2
Missouri,Butler County,29023950300,7046,449,178,75.9,,0,8.9
Missouri,Butler County,29023950400,3323,615,74,65.5,,0,20.7
Missouri,Butler County,29023950500,2598,231,35,70,3378516.84,1300.4,10.2
Missouri,Butler County,29023950600,4287,62,43,77.3,,0,2.4
Missouri,Butler County,29023950700,2917,234,78,61.4,,0,10.7
Missouri,Butler County,29023950800,3039,230,52,62.6,,0,9.3
Missouri,Butler County,29023950900,3878,234,37,71.6,,0,7.0
Missouri,Caldwell County,29025950100,2939,8,22,82.5,500000,170.1,1.0
Missouri,Caldwell County,29025950200,6485,31,121,83.1,1047528,161.5,2.3
Missouri,Callaway County,29027070100,5108,93,48,78.9,,0,2.8
Missouri,Callaway County,29027070200,3633,43,58,82.2,,0,2.8
Missouri,Callaway County,29027070300,7284,871,129,78,,0,13.7
Missouri,Callaway County,29027070400,6055,683,149,80.7,1171953.99,193.6,13.7
Missouri,Callaway County,29027070500,4999,40,61,83.3,,0,2.0
Missouri,Callaway County,29027070600,6426,36,57,81.4,,0,1.4
Missouri,Callaway County,29027070700,6294,144,115,78.5,,0,4.1
Missouri,Callaway County,29027070800,4533,96,90,75.2,363856.58,80.3,4.1
Missouri,Camden County,29029950100,4660,32,64,86.9,,0,2.1
Missouri,Camden County,29029950200,6112,52,347,80,,0,6.5
Missouri,Camden County,29029950300,2625,3,38,90.8,,0,1.6
Missouri,Camden County,29029950400,3569,13,85,86.2,,0,2.7
Missouri,Camden County,29029950500,3726,13,127,78.5,680817,182.7,3.8
Missouri,Camden County,29029950600,4179,25,63,79,,0,2.1
Missouri,Camden County,29029950700,3677,10,49,86.7,,0,1.6
Missouri,Camden County,29029950800,6817,12,122,79.2,,0,2.0
Missouri,Camden County,29029950900,3242,0,36,81.9,,0,1.1
Missouri,Camden County,29029951100,2913,6,48,87.8,,0,1.9
Missouri,Camden County,29029951200,2482,4,35,87.3,,0,1.6
Missouri,Cape Girardeau County,29031880100,5738,24,36,83.7,,0,1.0
Missouri,Cape Girardeau County,29031880200,3822,21,41,86.6,,0,1.6
Missouri,Cape Girardeau County,29031880300,4387,6,17,84.2,465000,106.0,0.5
Missouri,Cape Girardeau County,29031880400,6908,102,92,83.6,2151289.11,311.4,2.8
Missouri,Cape Girardeau County,29031880500,9040,159,118,84.2,,0,3.1
Missouri,Cape Girardeau County,29031880600,6347,196,85,84.2,,0,4.4
Missouri,Cape Girardeau County,29031880700,4362,250,55,84.7,,0,7.0
Missouri,Cape Girardeau County,29031880800,4620,594,140,71.5,,0,15.9
Missouri,Cape Girardeau County,29031880900,2618,643,43,74.1,,0,26.2
