State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Montana,Beaverhead County,30001000100,1366,2,57,78.4,,0,4.3
Montana,Beaverhead County,30001000200,3470,4,127,80.6,400000,115.3,3.8
Montana,Beaverhead County,30001000300,4410,13,154,78.6,15000,3.4,3.8
Montana,Big Horn County,30003000100,4522,25,290,77.2,,0,7.0
Montana,Big Horn County,30003940400,1790,1,92,66.7,,0,5.2
Montana,Blaine County,30005000100,1353,3,35,71,,0,2.8
Montana,Blaine County,30005000200,2410,0,29,76.6,,0,1.2
Montana,Broadwater County,30007000100,2077,5,59,79.8,250000,120.4,3.1
Montana,Broadwater County,30007000200,3535,10,67,82.7,271796,76.9,2.2
Montana,Carbon County,30009000100,2487,8,38,84.9,,0,1.8
Montana,Carbon County,30009000200,1756,2,45,81,,0,2.7
Montana,Carbon County,30009000300,2222,8,42,80.9,1049500,472.3,2.3
Montana,Carbon County,30009000400,2259,11,48,78.9,,0,2.6
Montana,Carbon County,30009000500,1354,1,15,79.6,,0,1.2
Montana,Carter County,30011000300,1160,1,8,86,,0,0.8
Montana,Cascade County,30013000100,2621,71,89,83.2,35200,13.4,6.1
Montana,Cascade County,30013000200,3846,32,89,84.9,1140609.35,296.6,3.1
Montana,Cascade County,30013000300,3432,35,134,78.5,1432123.52,417.3,4.9
Montana,Cascade County,30013000400,1910,18,60,78.8,1210103.13,633.6,4.1
Montana,Cascade County,30013000700,2053,23,125,76.8,7275228.03,3543.7,7.2
Montana,Cascade County,30013000800,1810,29,109,78.1,1754646.66,969.4,7.6
Montana,Cascade County,30013000900,3328,26,168,77.6,1462452.98,439.4,5.8
Montana,Cascade County,30013001000,3372,20,86,88.1,363680.83,107.9,3.1
Montana,Cascade County,30013001100,4343,53,157,82.2,75476.22,17.4,4.8
Montana,Cascade County,30013001200,3472,300,381,75.5,,0,19.6
Montana,Cascade County,30013001600,4377,22,146,77.6,2227120.42,508.8,3.8
Montana,Cascade County,30013001700,2240,5,61,80.2,96390.44,43.0,2.9
Montana,Cascade County,30013001800,3694,30,113,85.7,139822,37.9,3.9
Montana,Cascade County,30013001900,5749,47,125,86.6,847421.48,147.4,3.0
Montana,Cascade County,30013002100,4837,88,165,77.3,658702.49,136.2,5.2
Montana,Cascade County,30013002200,6467,41,196,81.5,1959944.52,303.1,3.7
Montana,Cascade County,30013002300,7157,34,159,89.5,12237,1.7,2.7
Montana,Cascade County,30013010100,3746,13,84,75.2,,0,2.6
Montana,Cascade County,30013010400,1764,0,31,82,,0,1.8
Montana,Cascade County,30013010600,3734,5,29,82.1,,0,0.9
Montana,Cascade County,30013010700,4455,33,69,81.3,5036,1.1,2.3
Montana,Cascade County,30013010800,2920,33,135,75.6,6125786.27,2097.9,5.8
Montana,Chouteau County,30015010200,2125,1,16,84.1,15000,7.1,0.8
Montana,Chouteau County,30015010300,3688,0,78,82.3,,0,2.1
Montana,Custer County,30017961300,1905,0,21,80.2,,0,1.1
Montana,Custer County,30017961500,1794,3,61,75.8,,0,3.6
Montana,Custer County,30017961600,2291,18,53,82.7,650000,283.7,3.1
Montana,Custer County,30017961800,1456,0,17,85.7,,0,1.2
Montana,Custer County,30017961900,1990,2,42,85.6,,0,2.2
Montana,Custer County,30017962000,2263,8,69,73.7,941819.99,416.2,3.4
Montana,Daniels County,30019020300,1751,3,27,85.2,,0,1.7
Montana,Dawson County,30021000100,1456,0,11,85.8,,0,0.8
Montana,Dawson County,30021000200,2590,2,50,82.7,,0,2.0
Montana,Dawson County,30021000300,4920,23,117,82,509580.72,103.6,2.8
Montana,Deer Lodge County,30023000300,2967,7,103,81.2,1209697.33,407.7,3.7
Montana,Deer Lodge County,30023000400,3160,18,53,84.9,,0,2.2
Montana,Deer Lodge County,30023000500,3171,11,115,81.9,,0,4.0
Montana,Fallon County,30025000100,2890,2,34,81,118411.13,41.0,1.2
Montana,Fergus County,30027030100,5011,7,44,85.1,15000,3.0,1.0
Montana,Fergus County,30027030200,6575,11,127,81.6,374000,56.9,2.1
Montana,Flathead County,30029000100,3255,1,47,63.7,,0,1.5
Montana,Flathead County,30029000201,4543,3,105,72.6,420000,92.4,2.4
Montana,Flathead County,30029000202,2736,5,59,77,,0,2.3
Montana,Flathead County,30029000203,4261,4,99,78.6,383800,90.1,2.4
Montana,Flathead County,30029000300,4369,18,123,75.9,,0,3.2
Montana,Flathead County,30029000401,5300,13,99,80.7,380000,71.7,2.1
Montana,Flathead County,30029000402,2689,8,74,78.3,,0,3.0
Montana,Flathead County,30029000601,4096,6,82,80.6,200000,48.8,2.1
Montana,Flathead County,30029000602,3523,4,45,82.1,,0,1.4
Montana,Flathead County,30029000700,5790,10,160,76.6,,0,2.9
Montana,Flathead County,30029000800,7094,11,124,83.4,912812.39,128.7,1.9
