State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Nebraska,Adams County,31001965400,4169,7,79,89.3,,0,2.1
Nebraska,Adams County,31001965500,4129,7,234,86.7,,0,5.8
Nebraska,Adams County,31001965600,5536,49,366,83,,0,7.5
Nebraska,Adams County,31001965700,1288,22,189,80.7,345000,267.9,16.4
Nebraska,Adams County,31001965800,2421,26,321,82.1,,0,14.3
Nebraska,Adams County,31001965900,4359,16,147,90.5,,0,3.7
Nebraska,Adams County,31001966000,4776,72,768,80.6,,0,17.6
Nebraska,Adams County,31001966100,2346,19,424,86.2,,0,18.9
Nebraska,Adams County,31001966200,2340,1,16,91.4,,0,0.7
Nebraska,Antelope County,31003979600,2146,9,21,85.8,,0,1.4
Nebraska,Antelope County,31003979700,1758,4,68,85.4,,0,4.1
Nebraska,Antelope County,31003979800,2781,6,89,84.1,,0,3.4
Nebraska,Banner County,31007954000,690,0,26,79.9,,0,3.8
Nebraska,Boone County,31011960100,3626,19,35,86.8,,0,1.5
Nebraska,Boone County,31011960200,1879,4,30,89.6,,0,1.8
Nebraska,Box Butte County,31013951100,2259,3,63,83.2,,0,2.9
Nebraska,Box Butte County,31013951200,4832,21,466,83.4,,0,10.1
Nebraska,Box Butte County,31013951300,4217,25,628,78.6,,0,15.5
Nebraska,Boyd County,31015975800,2099,1,33,85.2,,0,1.6
Nebraska,Brown County,31017975000,3145,2,29,83.8,,0,1.0
Nebraska,Buffalo County,31019968900,3555,2,55,87.3,,0,1.6
Nebraska,Buffalo County,31019969000,4103,3,112,85.9,,0,2.8
Nebraska,Buffalo County,31019969100,4782,7,879,85.3,,0,18.5
Nebraska,Buffalo County,31019969202,3274,22,140,84.7,,0,4.9
Nebraska,Buffalo County,31019969203,5347,28,140,86.9,,0,3.1
Nebraska,Buffalo County,31019969204,4995,54,184,87.1,,0,4.8
Nebraska,Buffalo County,31019969300,2274,4,387,77.2,,0,17.2
Nebraska,Buffalo County,31019969400,3992,49,229,83.2,,0,7.0
Nebraska,Buffalo County,31019969500,2349,19,154,69.8,,0,7.4
Nebraska,Buffalo County,31019969600,5475,104,542,73.9,,0,11.8
Nebraska,Buffalo County,31019969700,5956,62,610,80.5,,0,11.3
Nebraska,Burt County,31021963200,2158,8,37,86.5,,0,2.1
Nebraska,Burt County,31021963300,2668,8,44,91.1,,0,1.9
Nebraska,Burt County,31021963400,2032,7,45,87.1,,0,2.6
Nebraska,Butler County,31023967600,3327,4,70,90.4,,0,2.2
Nebraska,Butler County,31023967700,3110,19,107,87.7,,0,4.1
Nebraska,Butler County,31023967800,1958,1,18,88.7,,0,1.0
Nebraska,Cass County,31025965600,3706,24,150,83.9,,0,4.7
Nebraska,Cass County,31025965700,4778,21,77,88.1,,0,2.1
Nebraska,Cass County,31025965800,2953,5,43,86.8,,0,1.6
Nebraska,Cass County,31025965900,4998,8,97,85.7,0,0.0,2.1
Nebraska,Cass County,31025966000,4301,11,109,90.3,,0,2.8
Nebraska,Cass County,31025966100,4505,13,132,80.1,,0,3.2
Nebraska,Cedar County,31027977100,4656,5,46,88.4,,0,1.1
