State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Nevada,Churchill County,32001950100,2563,62,276,84.6,,0,13.2
Nevada,Churchill County,32001950301,3884,81,574,83.2,162000,41.7,16.9
Nevada,Churchill County,32001950302,5268,115,719,84.5,492653.13,93.5,15.8
Nevada,Churchill County,32001950400,711,54,98,61.8,,0,21.4
Nevada,Churchill County,32001950500,1391,3,124,85.1,,0,9.1
Nevada,Churchill County,32001950600,5359,21,688,83.1,,0,13.2
Nevada,Churchill County,32001950700,5701,30,530,84.6,,0,9.8
Nevada,Clark County,32003000101,6851,674,3947,75.4,275354.45,40.2,67.5
Nevada,Clark County,32003000103,5645,349,3386,75,,0,66.2
Nevada,Clark County,32003000105,3998,144,2007,69.2,1477096.25,369.5,53.8
Nevada,Clark County,32003000106,4263,402,1642,78.1,114860.15,26.9,47.9
Nevada,Clark County,32003000107,3856,280,1708,70.8,149476.6,38.8,51.6
Nevada,Clark County,32003000108,3681,109,2687,73.2,40000,10.9,76.0
Nevada,Clark County,32003000109,3567,318,1679,76.8,,0,56.0
Nevada,Clark County,32003000201,4533,1437,2098,73.5,,0,78.0
Nevada,Clark County,32003000203,3582,717,1215,72.4,28950.21,8.1,53.9
Nevada,Clark County,32003000204,1157,82,213,80.6,18309,15.8,25.5
Nevada,Clark County,32003000301,3103,1570,1038,58.5,11976038.18,3859.5,84.0
Nevada,Clark County,32003000302,4673,3058,1116,65.6,3459253.03,740.3,89.3
Nevada,Clark County,32003000401,2865,658,783,64.2,4037937.98,1409.4,50.3
Nevada,Clark County,32003000402,3491,559,2200,66.4,572635.49,164.0,79.0
Nevada,Clark County,32003000403,2753,340,1578,72.4,1830733.96,665.0,69.7
Nevada,Clark County,32003000510,5503,282,4620,76.1,135761.61,24.7,89.1
Nevada,Clark County,32003000513,3874,266,2522,78.1,,0,72.0
Nevada,Clark County,32003000514,6235,654,4291,75.3,500,0.1,79.3
Nevada,Clark County,32003000515,5104,315,3679,77,107199.71,21.0,78.3
Nevada,Clark County,32003000516,5326,735,3177,78.7,4620,0.9,73.5
Nevada,Clark County,32003000517,5103,425,3451,73.9,,0,76.0
Nevada,Clark County,32003000518,5297,440,3512,74.1,1044750.69,197.2,74.6
Nevada,Clark County,32003000519,4649,291,3403,75.5,,0,79.5
Nevada,Clark County,32003000520,1995,36,1615,73.7,187290.97,93.9,82.8
Nevada,Clark County,32003000521,4127,366,2922,62.7,,0,79.7
Nevada,Clark County,32003000522,3438,303,2840,64.3,164270.81,47.8,91.4
Nevada,Clark County,32003000523,2194,341,1427,65.3,814660.57,371.3,80.6
Nevada,Clark County,32003000524,2288,94,1946,62,447744.2,195.7,89.2
Nevada,Clark County,32003000525,2758,304,2009,72.7,100000,36.3,83.9
Nevada,Clark County,32003000526,2695,88,2198,76.4,,0,84.8
Nevada,Clark County,32003000527,3788,231,3038,74.3,,0,86.3
Nevada,Clark County,32003000528,3255,413,2281,65.7,,0,82.8
Nevada,Clark County,32003000600,2824,401,1036,66.3,157558.9,55.8,50.9
Nevada,Clark County,32003000700,5186,1455,1141,69.9,11251672.6,2169.6,50.1
Nevada,Clark County,32003000800,2233,370,527,68.2,9567571.39,4284.6,40.2
Nevada,Clark County,32003000900,942,176,109,73.1,312110,331.3,30.3
Nevada,Clark County,32003001003,4025,312,1444,68.7,4205,1.0,43.6
Nevada,Clark County,32003001004,6368,523,2342,78.7,,0,45.0
Nevada,Clark County,32003001005,1554,69,191,76.4,,0,16.7
Nevada,Clark County,32003001006,4172,216,1063,71.7,1478614.17,354.4,30.7
Nevada,Clark County,32003001100,2611,358,1118,66.9,4754328.4,1820.9,56.5
Nevada,Clark County,32003001200,4146,256,1909,73.9,3952113.31,953.2,52.2
Nevada,Clark County,32003001300,4694,135,2489,82,40000,8.5,55.9
Nevada,Clark County,32003001401,3181,170,1799,78.2,,0,61.9
Nevada,Clark County,32003001402,4162,82,3012,81,,0,74.3
Nevada,Clark County,32003001501,2877,389,1215,72.9,,0,55.8
Nevada,Clark County,32003001502,3852,143,1425,87.3,,0,40.7
Nevada,Clark County,32003001607,5512,557,1422,71.9,6005716,1089.6,35.9
Nevada,Clark County,32003001608,1861,108,681,78.8,,0,42.4
Nevada,Clark County,32003001609,4239,273,2404,80.2,,0,63.2
Nevada,Clark County,32003001610,2894,134,1562,77.1,,0,58.6
Nevada,Clark County,32003001611,4769,323,2729,75.6,150588.75,31.6,64.0
Nevada,Clark County,32003001612,7336,1308,3119,58.9,,0,60.3
Nevada,Clark County,32003001613,3999,439,2096,68.4,4447668.56,1112.2,63.4
Nevada,Clark County,32003001706,3012,206,419,76.5,582865.05,193.5,20.8
Nevada,Clark County,32003001707,1510,124,289,78.7,265333.49,175.7,27.4
Nevada,Clark County,32003001708,3015,136,854,77.4,,0,32.8
Nevada,Clark County,32003001709,1547,92,405,74.3,,0,32.1
Nevada,Clark County,32003001710,4186,388,1738,66.3,699,0.2,50.8
