State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
New Mexico,Bernalillo County,35001000107,2715,46,426,84.3,,0,17.4
New Mexico,Bernalillo County,35001000108,2683,71,568,76.6,,0,23.8
New Mexico,Bernalillo County,35001000109,2577,45,663,77.8,,0,27.5
New Mexico,Bernalillo County,35001000110,3561,125,1016,72.9,,0,32.0
New Mexico,Bernalillo County,35001000111,2807,77,700,81.1,,0,27.7
New Mexico,Bernalillo County,35001000112,2080,33,318,87.5,,0,16.9
New Mexico,Bernalillo County,35001000113,3157,108,956,75.8,,0,33.7
New Mexico,Bernalillo County,35001000114,3197,56,1213,77.8,,0,39.7
New Mexico,Bernalillo County,35001000115,3269,130,1117,71.5,,0,38.1
New Mexico,Bernalillo County,35001000116,2908,70,874,80.7,,0,32.5
New Mexico,Bernalillo County,35001000117,2326,41,649,84.4,,0,29.7
New Mexico,Bernalillo County,35001000118,2828,99,789,75.4,149241.08,52.8,31.4
New Mexico,Bernalillo County,35001000119,1836,48,484,85.4,,0,29.0
New Mexico,Bernalillo County,35001000120,2666,58,888,73.9,,0,35.5
New Mexico,Bernalillo County,35001000121,5770,195,1853,78.7,,0,35.5
New Mexico,Bernalillo County,35001000122,4088,64,1159,82.3,14996.44,3.7,29.9
New Mexico,Bernalillo County,35001000123,5064,122,1939,78.5,,0,40.7
New Mexico,Bernalillo County,35001000124,3642,149,1428,74,,0,43.3
New Mexico,Bernalillo County,35001000125,4204,67,894,85.5,,0,22.9
New Mexico,Bernalillo County,35001000126,2866,86,861,75.7,,0,33.0
New Mexico,Bernalillo County,35001000127,2801,56,1119,80.2,,0,41.9
New Mexico,Bernalillo County,35001000128,3228,115,1497,76,510000,158.0,49.9
New Mexico,Bernalillo County,35001000129,4692,167,1552,76.8,,0,36.6
New Mexico,Bernalillo County,35001000203,1953,65,555,78.5,,0,31.7
New Mexico,Bernalillo County,35001000204,3285,80,1563,72.9,,0,50.0
New Mexico,Bernalillo County,35001000205,3229,86,1593,75.9,225000,69.7,52.0
New Mexico,Bernalillo County,35001000206,2991,56,1049,83.8,,0,36.9
New Mexico,Bernalillo County,35001000207,3383,68,1530,77.6,79425,23.5,47.2
New Mexico,Bernalillo County,35001000208,2736,38,1469,82.8,0,0.0,55.1
New Mexico,Bernalillo County,35001000300,5952,79,1428,84.7,,0,25.3
New Mexico,Bernalillo County,35001000401,4379,101,1243,76.6,47000,10.7,30.7
New Mexico,Bernalillo County,35001000402,3415,46,930,81.1,47000,13.8,28.6
New Mexico,Bernalillo County,35001000501,2645,104,1003,78.4,65000,24.6,41.9
New Mexico,Bernalillo County,35001000502,4754,93,1245,80.5,9860820.88,2074.2,28.1
New Mexico,Bernalillo County,35001000601,3846,116,1176,74.8,1625274.22,422.6,33.6
New Mexico,Bernalillo County,35001000603,5150,143,3741,68.4,734108.5,142.5,75.4
New Mexico,Bernalillo County,35001000604,4361,135,2730,70.4,327219.73,75.0,65.7
New Mexico,Bernalillo County,35001000704,3715,138,1563,81.7,,0,45.8
New Mexico,Bernalillo County,35001000707,6152,179,3879,74,,0,66.0
New Mexico,Bernalillo County,35001000708,5858,200,2607,71.9,,0,47.9
New Mexico,Bernalillo County,35001000710,5540,87,1222,85.8,,0,23.6
New Mexico,Bernalillo County,35001000711,4445,117,1142,79.8,59992.34,13.5,28.3
New Mexico,Bernalillo County,35001000712,4204,253,1716,75.6,,0,46.8
New Mexico,Bernalillo County,35001000713,5961,381,2416,71.4,,0,46.9
New Mexico,Bernalillo County,35001000714,4669,159,1668,74,,0,39.1
New Mexico,Bernalillo County,35001000801,3860,332,614,77.4,,0,24.5
New Mexico,Bernalillo County,35001000901,7471,254,5473,68,119240.42,16.0,76.7
New Mexico,Bernalillo County,35001000903,5987,515,2837,67.7,,0,56.0
New Mexico,Bernalillo County,35001000904,4311,234,2069,76.2,,0,53.4
New Mexico,Bernalillo County,35001001101,5113,165,1252,86,,0,27.7
New Mexico,Bernalillo County,35001001102,3118,76,1312,74.6,,0,44.5
New Mexico,Bernalillo County,35001001200,7164,526,3837,72.4,10807492.67,1508.6,60.9
New Mexico,Bernalillo County,35001001300,4595,156,4120,74.1,4460754.77,970.8,93.1
New Mexico,Bernalillo County,35001001400,3173,63,2450,74.1,4327977.75,1364.0,79.2
New Mexico,Bernalillo County,35001001500,2646,135,1471,73,0,0.0,60.7
New Mexico,Bernalillo County,35001001600,2529,78,725,69.1,960000,379.6,31.8
New Mexico,Bernalillo County,35001001700,4932,92,1118,74,335104.49,67.9,24.5
