State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
North Carolina,Alamance County,37001020100,3908,875,428,80.5,1505075.29,385.1,33.3
North Carolina,Alamance County,37001020200,4152,1222,1221,78.9,1063033.73,256.0,58.8
North Carolina,Alamance County,37001020300,8063,2535,2586,79.9,33300,4.1,63.5
North Carolina,Alamance County,37001020400,6059,3615,1167,75.7,419870.85,69.3,78.9
North Carolina,Alamance County,37001020501,3575,513,340,85.8,65000,18.2,23.9
North Carolina,Alamance County,37001020502,3782,1541,836,73,910593.17,240.8,62.9
North Carolina,Alamance County,37001020601,3234,90,86,90,,0,5.4
North Carolina,Alamance County,37001020602,2414,146,115,85.5,,0,10.8
North Carolina,Alamance County,37001020701,4519,594,238,75.1,,0,18.4
North Carolina,Alamance County,37001020702,4742,1101,469,74.3,500000,105.4,33.1
North Carolina,Alamance County,37001020801,1450,197,198,83.4,,0,27.2
North Carolina,Alamance County,37001020802,5857,1804,1448,76.8,235800.78,40.3,55.5
North Carolina,Alamance County,37001020901,3583,488,791,74.3,,0,35.7
North Carolina,Alamance County,37001020902,3380,318,393,86.9,,0,21.0
North Carolina,Alamance County,37001021000,3720,1298,699,78.1,,0,53.7
North Carolina,Alamance County,37001021101,2668,748,296,78.5,,0,39.1
North Carolina,Alamance County,37001021102,3318,522,247,77.9,,0,23.2
North Carolina,Alamance County,37001021201,5252,1435,1004,78.7,,0,46.4
North Carolina,Alamance County,37001021204,4280,635,447,76.6,,0,25.3
North Carolina,Alamance County,37001021205,4636,978,212,83.4,,0,25.7
North Carolina,Alamance County,37001021206,4320,890,421,80.9,,0,30.3
North Carolina,Alamance County,37001021207,3086,406,169,83.4,,0,18.6
North Carolina,Alamance County,37001021300,6057,1909,353,86.9,,0,37.3
North Carolina,Alamance County,37001021400,2650,156,61,83.8,,0,8.2
North Carolina,Alamance County,37001021500,4681,345,100,84.4,,0,9.5
North Carolina,Alamance County,37001021600,6934,690,277,81.8,,0,13.9
North Carolina,Alamance County,37001021701,3237,120,80,89.9,,0,6.2
North Carolina,Alamance County,37001021702,5282,486,126,79,,0,11.6
North Carolina,Alamance County,37001021703,4866,580,236,78.1,,0,16.8
North Carolina,Alamance County,37001021801,4441,203,75,87.3,,0,6.3
North Carolina,Alamance County,37001021802,3553,114,85,84.9,,0,5.6
North Carolina,Alamance County,37001021803,2879,115,95,84.3,,0,7.3
North Carolina,Alamance County,37001021901,4535,257,174,87,,0,9.5
North Carolina,Alamance County,37001021902,4423,331,413,84.3,,0,16.8
North Carolina,Alamance County,37001022001,3319,237,242,85.6,,0,14.4
North Carolina,Alamance County,37001022002,4276,491,511,83,,0,23.4
North Carolina,Alexander County,37003040100,3476,79,84,87.9,,0,4.7
North Carolina,Alexander County,37003040200,3994,83,100,88,,0,4.6
North Carolina,Alexander County,37003040300,3202,102,60,87.6,,0,5.1
North Carolina,Alexander County,37003040400,6552,806,430,77.5,15887,2.4,18.9
North Carolina,Alexander County,37003040500,6982,334,567,84.7,,0,12.9
North Carolina,Alexander County,37003040600,6347,574,253,87.2,,0,13.0
North Carolina,Alexander County,37003040700,6645,47,107,83,,0,2.3
North Carolina,Alleghany County,37005950100,4079,37,315,87.9,,0,8.6
North Carolina,Alleghany County,37005950200,3870,80,472,85.9,,0,14.3
North Carolina,Alleghany County,37005950300,3206,16,217,89.5,,0,7.3
North Carolina,Anson County,37007920100,3411,1761,36,79.9,,0,52.7
North Carolina,Anson County,37007920200,1738,667,36,79.5,,0,40.4
North Carolina,Anson County,37007920300,8178,2754,401,84.8,,0,38.6
North Carolina,Anson County,37007920400,3032,2152,54,80,,0,72.8
North Carolina,Anson County,37007920500,6138,3068,81,80.5,,0,51.3
North Carolina,Anson County,37007920600,4451,2636,204,85.3,,0,63.8
North Carolina,Ashe County,37009970200,2884,3,78,87.9,,0,2.8
North Carolina,Ashe County,37009970300,2470,4,38,88.5,,0,1.7
North Carolina,Ashe County,37009970400,4525,19,238,86.6,,0,5.7
North Carolina,Ashe County,37009970500,6528,74,484,86,20500,3.1,8.5
North Carolina,Ashe County,37009970700,5926,18,171,88.3,,0,3.2
North Carolina,Ashe County,37009970800,4948,30,302,87.4,,0,6.7
North Carolina,Avery County,37011930100,3100,63,130,83.7,,0,6.2
North Carolina,Avery County,37011930200,2723,14,129,90.3,,0,5.3
North Carolina,Avery County,37011930301,3515,12,179,76.9,,0,5.4
North Carolina,Avery County,37011930302,3130,20,84,81.7,,0,3.3
North Carolina,Avery County,37011930400,5329,597,275,83.4,,0,16.4
North Carolina,Beaufort County,37013930100,5351,1699,332,85,,0,38.0
North Carolina,Beaufort County,37013930200,6185,1236,343,83.7,,0,25.5
North Carolina,Beaufort County,37013930300,4071,2034,229,81.2,63325,15.6,55.6
North Carolina,Beaufort County,37013930400,5189,2137,440,83.3,,0,49.7
North Carolina,Beaufort County,37013930501,4845,986,880,81.3,,0,38.5
North Carolina,Beaufort County,37013930502,3469,404,260,82.5,,0,19.1
North Carolina,Beaufort County,37013930600,3224,62,105,89.1,,0,5.2
North Carolina,Beaufort County,37013930700,3023,276,27,87.3,,0,10.0
North Carolina,Beaufort County,37013930800,2447,1040,68,84.4,,0,45.3
North Carolina,Beaufort County,37013930900,3904,806,68,90.1,,0,22.4
North Carolina,Beaufort County,37013931000,6051,1425,414,79.8,,0,30.4
North Carolina,Bertie County,37015960100,5677,2663,54,85.2,,0,47.9
North Carolina,Bertie County,37015960200,3953,2480,58,80.5,,0,64.2
North Carolina,Bertie County,37015960300,3667,2971,76,76.8,,0,83.1
North Carolina,Bertie County,37015960400,7985,5138,79,82.2,233259.21,29.2,65.3
North Carolina,Bladen County,37017950100,5693,1487,442,83.5,,0,33.9
North Carolina,Bladen County,37017950200,3366,1092,466,75.7,5280.94,1.6,46.3
North Carolina,Bladen County,37017950300,6719,1720,855,76,,0,38.3
North Carolina,Bladen County,37017950400,6252,3136,299,78.8,,0,54.9
North Carolina,Bladen County,37017950500,6707,1407,213,79.1,,0,24.2
North Carolina,Bladen County,37017950600,6453,3360,227,77.7,,0,55.6
North Carolina,Brunswick County,37019020101,2706,1088,232,77.8,,0,48.8
North Carolina,Brunswick County,37019020102,2839,402,404,82.4,,0,28.4
North Carolina,Brunswick County,37019020103,7052,688,433,87.5,,0,15.9
North Carolina,Brunswick County,37019020104,5305,1348,595,76.8,,0,36.6
North Carolina,Brunswick County,37019020201,3300,623,120,84.1,,0,22.5
North Carolina,Brunswick County,37019020202,5719,539,220,87.1,,0,13.3
North Carolina,Brunswick County,37019020203,2517,350,75,86,,0,16.9
North Carolina,Brunswick County,37019020204,5391,281,102,86.7,,0,7.1
North Carolina,Brunswick County,37019020303,2712,273,69,88.8,,0,12.6
North Carolina,Brunswick County,37019020304,4846,94,83,93,,0,3.7
North Carolina,Brunswick County,37019020305,2774,392,106,84.8,,0,18.0
North Carolina,Brunswick County,37019020306,2352,210,93,89,,0,12.9
North Carolina,Brunswick County,37019020308,1648,7,10,89.6,,0,1.0
North Carolina,Brunswick County,37019020309,2734,18,36,88.3,,0,2.0
North Carolina,Brunswick County,37019020310,2149,12,48,90.6,,0,2.8
North Carolina,Brunswick County,37019020402,2359,21,72,85.7,,0,3.9
North Carolina,Brunswick County,37019020403,4571,276,291,83.1,,0,12.4
North Carolina,Brunswick County,37019020404,3092,514,156,80,,0,21.7
North Carolina,Brunswick County,37019020405,2949,232,77,87.1,,0,10.5
North Carolina,Brunswick County,37019020504,1443,123,33,94.6,,0,10.8
North Carolina,Brunswick County,37019020505,4185,1050,429,79.9,,0,35.3
North Carolina,Brunswick County,37019020506,4175,303,178,87.5,,0,11.5
North Carolina,Brunswick County,37019020507,6043,360,137,93.3,,0,8.2
North Carolina,Brunswick County,37019020508,2252,110,87,92.9,,0,8.7
North Carolina,Brunswick County,37019020509,4402,126,412,88.3,,0,12.2
North Carolina,Brunswick County,37019020510,2160,20,168,89.3,,0,8.7
North Carolina,Brunswick County,37019020511,2502,37,143,88.2,,0,7.2
North Carolina,Brunswick County,37019020601,4785,881,385,80.3,,0,26.5
North Carolina,Brunswick County,37019020602,5147,870,231,81.8,,0,21.4
North Carolina,Brunswick County,37019020603,2509,872,112,81.8,,0,39.2
