State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
North Dakota,Adams County,38001965600,2343,8,20,85.6,,0,1.2
North Dakota,Barnes County,38003967900,1695,1,14,90.4,144700,85.4,0.9
North Dakota,Barnes County,38003968000,2740,2,13,88.6,131239,47.9,0.5
North Dakota,Barnes County,38003968200,3007,58,54,80.6,739584,246.0,3.7
North Dakota,Barnes County,38003968300,3624,22,42,88.3,71000,19.6,1.8
North Dakota,Benson County,38005940100,2524,0,33,78.5,,0,1.3
North Dakota,Benson County,38005940200,1994,0,22,75,47096,23.6,1.1
North Dakota,Benson County,38005956500,1170,0,10,80.7,198076.4,169.3,0.9
North Dakota,Benson County,38005956600,972,1,12,87.1,35000,36.0,1.3
North Dakota,Billings County,38007963100,783,0,4,79.3,,0,0.5
North Dakota,Bottineau County,38009952300,2289,15,30,88,196778.59,86.0,2.0
North Dakota,Bottineau County,38009952400,2279,3,20,83.7,,0,1.0
North Dakota,Bottineau County,38009952500,1861,7,32,83.9,,0,2.1
North Dakota,Bowman County,38011965200,1855,0,65,86.1,107518,58.0,3.5
North Dakota,Bowman County,38011965300,1296,3,13,86.6,,0,1.2
North Dakota,Burke County,38013953300,1968,4,37,82.5,383400,194.8,2.1
North Dakota,Burleigh County,38015010100,3221,43,68,79.1,945796.49,293.6,3.4
North Dakota,Burleigh County,38015010200,5006,36,90,77.9,393166.04,78.5,2.5
North Dakota,Burleigh County,38015010300,5926,40,70,84.6,8703,1.5,1.9
North Dakota,Burleigh County,38015010400,3474,9,35,91.1,,0,1.3
North Dakota,Burleigh County,38015010500,5022,29,59,85.5,44998,9.0,1.8
North Dakota,Burleigh County,38015010600,4644,33,85,83.7,80189.58,17.3,2.5
North Dakota,Burleigh County,38015010700,4298,33,41,86.9,63281.81,14.7,1.7
North Dakota,Burleigh County,38015010800,3916,16,48,76.7,266689.18,68.1,1.6
North Dakota,Burleigh County,38015010900,4563,54,79,87.1,72740.36,15.9,2.9
North Dakota,Burleigh County,38015011001,4438,21,56,81.5,,0,1.7
North Dakota,Burleigh County,38015011002,5815,10,48,89.4,,0,1.0
North Dakota,Burleigh County,38015011101,5064,41,58,86.3,,0,2.0
North Dakota,Burleigh County,38015011103,3030,23,47,85.9,,0,2.3
North Dakota,Burleigh County,38015011104,3993,7,33,93.3,,0,1.0
North Dakota,Burleigh County,38015011105,3480,2,24,92.4,,0,0.7
North Dakota,Burleigh County,38015011200,5834,47,70,86.6,62000,10.6,2.0
North Dakota,Burleigh County,38015011300,5732,25,36,85.7,349500,61.0,1.1
North Dakota,Burleigh County,38015011400,2352,3,35,86.8,,0,1.6
North Dakota,Burleigh County,38015011500,1500,4,4,85.2,,0,0.5
North Dakota,Cass County,38017000100,5162,20,47,93.4,100470.12,19.5,1.3
North Dakota,Cass County,38017000201,3457,26,51,83.9,,0,2.2
North Dakota,Cass County,38017000202,3092,62,56,78.9,12000,3.9,3.8
North Dakota,Cass County,38017000300,5013,58,82,76.4,72840,14.5,2.8
North Dakota,Cass County,38017000400,3853,27,50,82,82500,21.4,2.0
North Dakota,Cass County,38017000501,3717,48,123,76.2,282968.28,76.1,4.6
North Dakota,Cass County,38017000502,2907,43,70,69.6,281389.35,96.8,3.9
North Dakota,Cass County,38017000600,4929,262,207,81.7,2342759.17,475.3,9.5
North Dakota,Cass County,38017000700,1715,46,37,77.2,2755025.76,1606.4,4.8
North Dakota,Cass County,38017000801,3271,52,99,78.5,308995.73,94.5,4.6
North Dakota,Cass County,38017000802,5167,344,159,78.4,707364.67,136.9,9.7
North Dakota,Cass County,38017000901,4987,50,122,88.1,146014.96,29.3,3.4
North Dakota,Cass County,38017000903,3599,103,93,76.7,,0,5.4
North Dakota,Cass County,38017000904,4008,73,72,85.4,,0,3.6
North Dakota,Cass County,38017001001,5417,131,124,83.6,14065,2.6,4.7
North Dakota,Cass County,38017001002,2780,97,61,77.8,127148,45.7,5.7
North Dakota,Cass County,38017010106,4292,217,127,79.6,,0,8.0
North Dakota,Cass County,38017010107,2872,110,86,82.2,85046,29.6,6.8
North Dakota,Cass County,38017010108,5501,327,107,85.1,,0,7.9
North Dakota,Cass County,38017010109,3728,46,80,88.1,,0,3.4
North Dakota,Cass County,38017010201,5433,23,74,86.3,400000,73.6,1.8
North Dakota,Cass County,38017010203,2988,62,114,79.1,400000,133.9,5.9
North Dakota,Cass County,38017010204,6035,249,108,87,,0,5.9
North Dakota,Cass County,38017010303,6281,81,77,85.9,,0,2.5
North Dakota,Cass County,38017010305,5670,268,152,86.8,1050080,185.2,7.4
North Dakota,Cass County,38017010306,4017,84,64,83.8,95000,23.6,3.7
North Dakota,Cass County,38017010307,2273,14,17,93.3,,0,1.4
North Dakota,Cass County,38017040100,1955,2,21,86.9,,0,1.2
North Dakota,Cass County,38017040200,2291,1,15,87.9,,0,0.7
North Dakota,Cass County,38017040300,3213,5,58,90.5,607000,188.9,2.0
North Dakota,Cass County,38017040400,3576,31,43,88.5,500000,139.8,2.1
North Dakota,Cass County,38017040500,23686,407,361,84.5,92744.98,3.9,3.2
North Dakota,Cass County,38017040600,2893,3,58,87.3,,0,2.1
North Dakota,Cavalier County,38019950900,1848,4,15,87.9,578149.3,312.9,1.0
North Dakota,Cavalier County,38019951100,2145,0,9,85.2,153544.63,71.6,0.4
North Dakota,Dickey County,38021973200,2318,9,72,85.5,517215,223.1,3.5
North Dakota,Dickey County,38021973300,1500,10,11,82.9,,0,1.4
North Dakota,Dickey County,38021973400,1471,16,17,85.5,,0,2.2
North Dakota,Divide County,38023954500,2071,5,30,84.8,,0,1.7
North Dakota,Dunn County,38025962200,3536,8,38,79.6,140000,39.6,1.3
North Dakota,Eddy County,38027959200,2385,4,52,85.1,60519.97,25.4,2.3
North Dakota,Emmons County,38029966500,3550,2,34,85.1,191232,53.9,1.0
North Dakota,Foster County,38031959600,3343,3,29,86.2,,0,1.0
North Dakota,Golden Valley County,38033962900,1680,9,35,80.9,,0,2.6
North Dakota,Grand Forks County,38035010100,3176,32,126,78.9,2852322.44,898.1,5.0
North Dakota,Grand Forks County,38035010200,4381,33,137,79.8,5621363.32,1283.1,3.9
North Dakota,Grand Forks County,38035010300,5212,129,107,76.3,,0,4.5
North Dakota,Grand Forks County,38035010400,6004,178,183,79.4,205000,34.1,6.0
North Dakota,Grand Forks County,38035010600,2127,36,113,82,4584532.74,2155.4,7.0
North Dakota,Grand Forks County,38035010700,1883,11,73,80.9,178000,94.5,4.5
North Dakota,Grand Forks County,38035010801,4428,71,105,84.2,78000,17.6,4.0
North Dakota,Grand Forks County,38035010803,5626,248,166,74.9,261500,46.5,7.4
North Dakota,Grand Forks County,38035010804,4259,129,95,78,,0,5.3
North Dakota,Grand Forks County,38035010900,1657,8,15,87,82807.48,50.0,1.4
North Dakota,Grand Forks County,38035011000,2340,13,54,82.3,,0,2.9
North Dakota,Grand Forks County,38035011100,4617,17,46,91.7,,0,1.4
North Dakota,Grand Forks County,38035011200,6231,119,198,79.6,100000,16.0,5.1
North Dakota,Grand Forks County,38035011400,2273,9,39,83.7,,0,2.1
North Dakota,Grand Forks County,38035011700,5882,36,168,84.5,,0,3.5
North Dakota,Grand Forks County,38035011800,1652,5,7,60.1,,0,0.7
North Dakota,Grand Forks County,38035011900,2367,226,237,77.6,,0,19.6
North Dakota,Grand Forks County,38035012000,2746,22,82,61,,0,3.8
North Dakota,Grant County,38037965900,2394,1,7,88.6,532453.25,222.4,0.3
North Dakota,Griggs County,38039968600,2420,7,9,85.1,164355.51,67.9,0.7
North Dakota,Hettinger County,38041964700,1134,0,0,89.7,291938.34,257.4,0.0
North Dakota,Hettinger County,38041964800,1343,6,12,87.7,92014.1,68.5,1.3
North Dakota,Kidder County,38043966800,2435,6,71,84,350000,143.7,3.2
North Dakota,LaMoure County,38045972100,1521,0,9,85,150000,98.6,0.6
North Dakota,LaMoure County,38045972200,2618,5,25,87.3,,0,1.1
North Dakota,Logan County,38047972500,1990,2,12,86.9,155504.18,78.1,0.7
North Dakota,McHenry County,38049955600,2512,7,55,83.3,80080,31.9,2.5
North Dakota,McHenry County,38049955900,2883,1,25,88.7,73711.61,25.6,0.9
North Dakota,McIntosh County,38051972900,2809,6,38,87.1,44978.46,16.0,1.6
North Dakota,McKenzie County,38053962300,1723,1,11,82.4,,0,0.7
North Dakota,McKenzie County,38053962400,1930,2,33,81,200000,103.6,1.8
North Dakota,McKenzie County,38053962500,1308,1,23,82.4,,0,1.8
North Dakota,McLean County,38055960800,3909,2,43,86.7,68524,17.5,1.2
North Dakota,McLean County,38055961000,5053,4,68,79.2,50000,9.9,1.4
North Dakota,Mercer County,38057961600,2590,8,33,86.8,100000,38.6,1.6
North Dakota,Mercer County,38057961700,3205,7,71,85,235000,73.3,2.4
North Dakota,Mercer County,38057961800,2629,1,17,86.4,30000,11.4,0.7
North Dakota,Morton County,38059020100,5136,55,71,82.2,50000,9.7,2.5
North Dakota,Morton County,38059020200,7105,17,106,89.3,696954.02,98.1,1.7
North Dakota,Morton County,38059020300,8561,38,179,79.4,74250,8.7,2.5
North Dakota,Morton County,38059020400,3026,2,8,86.5,,0,0.3
North Dakota,Morton County,38059020500,3643,0,36,87.2,40000,11.0,1.0
North Dakota,Mountrail County,38061955200,3992,9,124,75.9,,0,3.3
North Dakota,Nelson County,38063959000,3126,8,33,85.8,113747.41,36.4,1.3
North Dakota,Oliver County,38065961200,1846,3,19,82.4,,0,1.2
North Dakota,Pembina County,38067950100,1367,3,16,89.7,309458.45,226.4,1.4
North Dakota,Pembina County,38067950200,1667,5,21,84.8,419500,251.6,1.6
North Dakota,Pembina County,38067950300,1412,0,39,87.8,227088.9,160.8,2.8
North Dakota,Pembina County,38067950400,1434,9,21,85,,0,2.1
North Dakota,Pembina County,38067950500,1533,4,93,81.3,92159,60.1,6.3
North Dakota,Pierce County,38069956100,1572,11,33,88.1,27948,17.8,2.8
North Dakota,Pierce County,38069956200,2785,8,11,91.7,,0,0.7
North Dakota,Ramsey County,38071957600,4263,20,53,78.2,268449.3,63.0,1.7
North Dakota,Ramsey County,38071957700,2845,0,31,84.8,84719,29.8,1.1
North Dakota,Ramsey County,38071957800,4343,21,53,81.7,,0,1.7
North Dakota,Ransom County,38073968900,1688,4,25,82.5,100000,59.2,1.7
North Dakota,Ransom County,38073969000,1511,5,13,88.8,,0,1.2
North Dakota,Ransom County,38073969100,2258,10,28,85.3,150000,66.4,1.7
North Dakota,Renville County,38075952900,2470,2,24,81.4,137098,55.5,1.1
North Dakota,Richland County,38077970700,2111,4,17,85,78784.32,37.3,1.0
North Dakota,Richland County,38077970800,2163,1,32,91.8,186200,86.1,1.5
North Dakota,Richland County,38077970900,4027,63,74,78.2,1299300,322.6,3.4
North Dakota,Richland County,38077971000,3814,35,82,79.4,,0,3.1
North Dakota,Richland County,38077971100,1327,4,24,90.4,,0,2.1
North Dakota,Richland County,38077971400,2879,3,42,87.1,,0,1.6
North Dakota,Rolette County,38079951600,1509,1,27,71.1,96000,63.6,1.9
North Dakota,Rolette County,38079951700,4600,11,40,52,,0,1.1
North Dakota,Rolette County,38079951900,1828,1,13,77.3,,0,0.8
North Dakota,Sargent County,38081974000,1447,0,22,85.4,175000,120.9,1.5
North Dakota,Sargent County,38081974200,2382,2,29,88.3,218250,91.6,1.3
North Dakota,Sheridan County,38083960200,1321,0,16,87.7,60000,45.4,1.2
North Dakota,Slope County,38087965000,727,0,12,81.1,,0,1.7
North Dakota,Stark County,38089963300,1275,2,14,89.9,85000,66.7,1.3
North Dakota,Stark County,38089963400,3234,10,45,90,,0,1.7
North Dakota,Stark County,38089963500,4924,42,91,83.5,,0,2.7
North Dakota,Stark County,38089963600,2388,78,81,81.6,,0,6.7
North Dakota,Stark County,38089963700,3958,20,77,85.2,1076616.98,272.0,2.5
North Dakota,Stark County,38089963800,4031,25,99,87.2,,0,3.1
North Dakota,Stark County,38089963900,2711,9,30,89.5,,0,1.4
North Dakota,Stark County,38089964000,1678,0,17,88.6,,0,1.0
North Dakota,Steele County,38091968700,1975,3,20,79.8,,0,1.2
North Dakota,Stutsman County,38093967000,2555,4,16,91.6,40386.06,15.8,0.8
North Dakota,Stutsman County,38093967200,2683,1,17,86.7,188146.92,70.1,0.7
North Dakota,Stutsman County,38093967300,2578,38,39,84,,0,3.0
North Dakota,Stutsman County,38093967400,5672,49,111,79.2,,0,2.8
North Dakota,Stutsman County,38093967500,3546,15,77,82,621787.7,175.3,2.6
North Dakota,Stutsman County,38093967800,4066,19,101,82.8,2249076.88,553.1,3.0
North Dakota,Towner County,38095951500,2246,2,10,80.6,,0,0.5
North Dakota,Traill County,38097970100,2412,2,53,78.3,,0,2.3
North Dakota,Traill County,38097970200,2537,36,54,81.4,,0,3.5
North Dakota,Traill County,38097970300,1492,0,18,85.4,,0,1.2
North Dakota,Traill County,38097970400,1680,1,89,83.1,210000,125.0,5.4
