State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Ohio,Adams County,39001770100,4864,28,54,85.4,225186,46.3,1.7
Ohio,Adams County,39001770200,4815,11,32,87.8,,0,0.9
Ohio,Adams County,39001770300,6964,24,51,81.3,,0,1.1
Ohio,Adams County,39001770400,4948,14,38,84.7,378366.11,76.5,1.1
Ohio,Adams County,39001770500,3442,3,21,85.1,,0,0.7
Ohio,Adams County,39001770600,3517,4,47,82.7,,0,1.5
Ohio,Allen County,39003010100,4405,71,69,90.8,,0,3.2
Ohio,Allen County,39003010200,4110,13,45,85.8,,0,1.4
Ohio,Allen County,39003010300,1676,7,20,87.4,,0,1.6
Ohio,Allen County,39003010600,5138,21,37,86.5,,0,1.1
Ohio,Allen County,39003010800,7994,303,169,87.7,,0,5.9
Ohio,Allen County,39003010900,4515,581,113,81.7,4930,1.1,15.4
Ohio,Allen County,39003011000,5445,746,134,75,,0,16.2
Ohio,Allen County,39003011200,4218,942,359,77.6,,0,30.8
Ohio,Allen County,39003011300,7559,146,121,85.4,7001.48,0.9,3.5
Ohio,Allen County,39003011400,3056,13,40,85.2,,0,1.7
Ohio,Allen County,39003011500,2783,13,33,86.7,,0,1.7
Ohio,Allen County,39003011600,2693,62,45,83.3,,0,4.0
Ohio,Allen County,39003011800,2346,127,40,85.3,35000,14.9,7.1
Ohio,Allen County,39003011900,3208,69,66,82.5,,0,4.2
Ohio,Allen County,39003012000,2410,121,31,89.7,,0,6.3
Ohio,Allen County,39003012100,3455,153,44,85.5,,0,5.7
Ohio,Allen County,39003012200,3291,703,134,67.5,101622.11,30.9,25.4
Ohio,Allen County,39003012300,4052,527,116,78.2,46490.44,11.5,15.9
Ohio,Allen County,39003012400,2710,470,107,72,106759,39.4,21.3
Ohio,Allen County,39003012600,1834,250,49,83.8,50708,27.6,16.3
Ohio,Allen County,39003012700,1648,553,64,70,110540,67.1,37.4
Ohio,Allen County,39003012900,1741,537,64,76.8,66942,38.5,34.5
Ohio,Allen County,39003013000,3993,675,125,79.9,129241,32.4,20.0
Ohio,Allen County,39003013100,2313,247,30,84.7,23735,10.3,12.0
Ohio,Allen County,39003013200,1774,456,43,75.8,41642,23.5,28.1
Ohio,Allen County,39003013300,1290,567,38,75.3,83746,64.9,46.9
Ohio,Allen County,39003013400,2549,810,85,76.1,477307.5,187.3,35.1
Ohio,Allen County,39003013600,1375,525,35,70.4,112528.98,81.8,40.7
Ohio,Allen County,39003013700,1156,671,49,77.2,121674.94,105.3,62.3
Ohio,Allen County,39003013800,2728,1503,42,73.8,323025.85,118.4,56.6
Ohio,Allen County,39003013900,3406,16,44,85.3,,0,1.8
Ohio,Allen County,39003014000,3309,13,46,90.1,,0,1.8
Ohio,Allen County,39003014100,2151,597,76,70.6,10851503.01,5044.9,31.3
Ohio,Ashland County,39005970100,8353,25,76,87.5,,0,1.2
Ohio,Ashland County,39005970200,5845,20,37,84,,0,1.0
Ohio,Ashland County,39005970300,3895,16,50,83.6,,0,1.7
Ohio,Ashland County,39005970400,3837,40,41,82,,0,2.1
Ohio,Ashland County,39005970500,3083,48,36,79.4,63665,20.7,2.7
Ohio,Ashland County,39005970600,5371,83,42,84.2,95382,17.8,2.3
Ohio,Ashland County,39005970700,5288,47,45,87.9,,0,1.7
