State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Oklahoma,Adair County,40001376600,2843,1,71,65.4,,0,2.5
Oklahoma,Adair County,40001376700,5354,22,230,62.9,,0,4.7
Oklahoma,Adair County,40001376800,4845,8,195,61.9,,0,4.2
Oklahoma,Adair County,40001376900,4535,13,513,63.7,,0,11.6
Oklahoma,Adair County,40001377000,5106,9,188,68.7,,0,3.9
Oklahoma,Alfalfa County,40003955600,1469,7,51,85.3,265000,180.4,3.9
Oklahoma,Alfalfa County,40003955700,1338,7,35,86.4,,0,3.1
Oklahoma,Alfalfa County,40003956000,2835,210,138,79.1,,0,12.3
Oklahoma,Atoka County,40005587600,1449,29,34,51.9,,0,4.3
Oklahoma,Atoka County,40005587700,4082,266,141,65.3,229557.46,56.2,10.0
Oklahoma,Atoka County,40005587800,3774,7,85,70.2,,0,2.4
Oklahoma,Atoka County,40005587900,4877,225,149,72.1,,0,7.7
Oklahoma,Beaver County,40007951600,2698,17,740,58.4,,0,28.1
Oklahoma,Beaver County,40007951700,1327,1,67,75.2,,0,5.1
Oklahoma,Beaver County,40007951800,1611,13,328,73.5,,0,21.2
Oklahoma,Beckham County,40009966100,7400,212,812,78.2,,0,13.8
Oklahoma,Beckham County,40009966200,6970,131,605,76.7,,0,10.6
Oklahoma,Beckham County,40009966500,1756,5,69,71.3,,0,4.2
Oklahoma,Beckham County,40009966800,5993,494,1133,76.4,10000,1.7,27.1
Oklahoma,Blaine County,40011958600,1525,5,120,77,,0,8.2
Oklahoma,Blaine County,40011958700,1737,0,101,69.6,,0,5.8
Oklahoma,Blaine County,40011958800,1220,3,45,77.9,,0,3.9
Oklahoma,Blaine County,40011958900,5524,275,2464,68.5,16000,2.9,49.6
Oklahoma,Blaine County,40011959000,1937,15,143,76.5,,0,8.2
Oklahoma,Bryan County,40013795600,2700,6,99,55.9,,0,3.9
Oklahoma,Bryan County,40013795700,3564,14,78,69.7,,0,2.6
Oklahoma,Bryan County,40013795900,1711,27,23,56.6,,0,2.9
Oklahoma,Bryan County,40013796001,5728,19,280,65.9,,0,5.2
Oklahoma,Bryan County,40013796002,4303,10,168,63.7,,0,4.1
Oklahoma,Bryan County,40013796100,7991,103,354,70.3,,0,5.7
Oklahoma,Bryan County,40013796200,4397,191,302,57.4,,0,11.2
Oklahoma,Bryan County,40013796300,1709,43,179,64.2,649956,380.3,13.0
Oklahoma,Bryan County,40013796400,1946,25,221,54.7,,0,12.6
Oklahoma,Bryan County,40013796500,2645,14,148,62.6,,0,6.1
Oklahoma,Bryan County,40013796600,5722,188,255,60.6,,0,7.7
Oklahoma,Caddo County,40015161600,6346,368,983,74.7,,0,21.3
Oklahoma,Caddo County,40015161700,1756,0,251,74.8,,0,14.3
Oklahoma,Caddo County,40015161800,3215,31,351,68.7,,0,11.9
Oklahoma,Caddo County,40015161900,1699,21,81,67.6,,0,6.0
Oklahoma,Caddo County,40015162000,3350,33,209,71.3,,0,7.2
Oklahoma,Caddo County,40015162100,7471,321,858,68.5,,0,15.8
Oklahoma,Caddo County,40015162200,2874,7,134,69.3,,0,4.9
Oklahoma,Caddo County,40015162300,2889,23,128,68.7,,0,5.2
Oklahoma,Canadian County,40017300100,2469,8,96,70.3,,0,4.2
Oklahoma,Canadian County,40017300201,5263,42,273,82.9,,0,6.0
Oklahoma,Canadian County,40017300202,4308,62,397,79,,0,10.7
Oklahoma,Canadian County,40017300300,3381,71,644,76.9,,0,21.1
Oklahoma,Canadian County,40017300400,1127,230,191,72.4,,0,37.4
Oklahoma,Canadian County,40017300500,3078,117,414,75.2,,0,17.3
Oklahoma,Canadian County,40017300600,3201,60,199,79.4,,0,8.1
Oklahoma,Canadian County,40017300700,6173,718,553,83.8,,0,20.6
Oklahoma,Canadian County,40017300801,8021,208,395,84.9,,0,7.5
Oklahoma,Canadian County,40017300802,2513,33,60,86,,0,3.7
Oklahoma,Canadian County,40017300901,5914,130,360,79.3,,0,8.3
Oklahoma,Canadian County,40017300902,2490,35,137,83.2,,0,6.9
Oklahoma,Canadian County,40017300904,3643,90,455,80.8,,0,15.0
Oklahoma,Canadian County,40017300905,4436,103,183,89.4,,0,6.4
Oklahoma,Canadian County,40017301003,5932,105,376,78.3,,0,8.1
Oklahoma,Canadian County,40017301006,3210,57,198,79.9,,0,7.9
Oklahoma,Canadian County,40017301007,5285,220,352,75,2244.94,0.4,10.8
Oklahoma,Canadian County,40017301008,5942,223,377,82.9,,0,10.1
Oklahoma,Canadian County,40017301009,2770,16,152,74.5,6446.96,2.3,6.1
Oklahoma,Canadian County,40017301100,5949,51,310,84.9,,0,6.1
Oklahoma,Canadian County,40017301201,4042,30,212,73.6,,0,6.0
Oklahoma,Canadian County,40017301202,2519,18,109,85.2,,0,5.0
Oklahoma,Canadian County,40017301300,4483,31,223,81.3,,0,5.7
Oklahoma,Canadian County,40017301406,4898,33,294,81.5,,0,6.7
Oklahoma,Canadian County,40017301407,5103,36,235,83.2,,0,5.3
Oklahoma,Canadian County,40017301408,1921,9,72,82.8,,0,4.2
Oklahoma,Canadian County,40017301409,2815,20,227,72.8,,0,8.8
Oklahoma,Canadian County,40017301410,4579,64,298,76.5,,0,7.9
Oklahoma,Carter County,40019892100,2904,460,114,72.6,,0,19.8
Oklahoma,Carter County,40019892200,1411,20,40,75.3,,0,4.3
Oklahoma,Carter County,40019892300,3059,31,106,74.2,,0,4.5
Oklahoma,Carter County,40019892400,3448,7,75,71.6,424998,123.3,2.4
Oklahoma,Carter County,40019892500,9131,166,300,76.7,,0,5.1
Oklahoma,Carter County,40019892600,6387,475,323,78,,0,12.5
Oklahoma,Carter County,40019892700,4455,79,124,84.8,,0,4.6
Oklahoma,Carter County,40019892800,4932,1097,508,75.8,,0,32.5
Oklahoma,Carter County,40019892900,2448,205,233,78.3,,0,17.9
Oklahoma,Carter County,40019893000,6437,271,337,76.6,,0,9.4
Oklahoma,Carter County,40019893100,2945,323,368,77.3,,0,23.5
Oklahoma,Cherokee County,40021977600,5144,18,135,75.1,,0,3.0
Oklahoma,Cherokee County,40021977700,6434,47,231,70.4,,0,4.3
Oklahoma,Cherokee County,40021977800,5853,64,492,75.9,,0,9.5
Oklahoma,Cherokee County,40021977900,6776,157,464,73.4,,0,9.2
Oklahoma,Cherokee County,40021978000,4123,68,728,72.9,356152.79,86.4,19.3
Oklahoma,Cherokee County,40021978100,6116,159,397,78.7,,0,9.1
Oklahoma,Cherokee County,40021978201,2897,9,127,61.2,,0,4.7
Oklahoma,Cherokee County,40021978202,3256,14,74,67,,0,2.7
Oklahoma,Cherokee County,40021978300,6388,46,304,67.1,,0,5.5
Oklahoma,Choctaw County,40023966900,2696,73,55,69,,0,4.7
Oklahoma,Choctaw County,40023967000,3149,244,62,69,,0,9.7
Oklahoma,Choctaw County,40023967100,3676,479,138,67.3,,0,16.8
Oklahoma,Choctaw County,40023967200,2393,698,60,61.6,,0,31.7
Oklahoma,Choctaw County,40023967300,3291,160,112,70.5,,0,8.3
Oklahoma,Cimarron County,40025950100,1163,4,151,72.7,,0,13.3
Oklahoma,Cimarron County,40025950300,1312,2,363,73.7,,0,27.8
Oklahoma,Cleveland County,40027200100,578,58,31,81,4755614.3,8227.7,15.4
Oklahoma,Cleveland County,40027200200,1786,46,181,81.9,786650.46,440.5,12.7
Oklahoma,Cleveland County,40027200300,3586,131,633,77.8,1011290.25,282.0,21.3
Oklahoma,Cleveland County,40027200400,1922,50,180,74.9,791432.12,411.8,12.0
Oklahoma,Cleveland County,40027200500,3797,67,168,78.2,322352.33,84.9,6.2
Oklahoma,Cleveland County,40027200601,6203,621,440,72.1,421777.75,68.0,17.1
Oklahoma,Cleveland County,40027200602,3448,122,219,72.2,260024.69,75.4,9.9
Oklahoma,Cleveland County,40027200800,6574,351,425,78.9,194718.47,29.6,11.8
Oklahoma,Cleveland County,40027200900,3946,123,272,79.8,220460.15,55.9,10.0
Oklahoma,Cleveland County,40027201000,5774,249,618,78.7,212583.17,36.8,15.0
Oklahoma,Cleveland County,40027201101,5464,156,264,76.6,27535,5.0,7.7
Oklahoma,Cleveland County,40027201102,2783,99,129,76.8,26272.9,9.4,8.2
Oklahoma,Cleveland County,40027201201,2121,166,105,64.1,50462.48,23.8,12.8
Oklahoma,Cleveland County,40027201202,4771,192,227,76.2,151044,31.7,8.8
Oklahoma,Cleveland County,40027201203,5396,422,357,67.2,20573,3.8,14.4
Oklahoma,Cleveland County,40027201301,7499,545,540,70.2,171716.05,22.9,14.5
Oklahoma,Cleveland County,40027201403,4966,208,271,81.6,226719.88,45.7,9.6
Oklahoma,Cleveland County,40027201404,2328,120,94,77.3,38323.25,16.5,9.2
Oklahoma,Cleveland County,40027201405,5378,248,348,81.1,3215,0.6,11.1
Oklahoma,Cleveland County,40027201505,5522,103,261,81.5,30554,5.5,6.6
Oklahoma,Cleveland County,40027201507,6318,217,256,77.3,42507.86,6.7,7.5
Oklahoma,Cleveland County,40027201508,3028,91,318,73.5,26744.75,8.8,13.5
Oklahoma,Cleveland County,40027201509,2364,76,125,84.4,98382.9,41.6,8.5
Oklahoma,Cleveland County,40027201510,6640,94,257,85.5,21029,3.2,5.3
Oklahoma,Cleveland County,40027201602,2713,60,230,77.5,,0,10.7
Oklahoma,Cleveland County,40027201603,3895,107,418,70.4,59339.08,15.2,13.5
Oklahoma,Cleveland County,40027201604,3671,94,400,73.8,,0,13.5
Oklahoma,Cleveland County,40027201607,5181,223,343,80.6,,0,10.9
Oklahoma,Cleveland County,40027201609,4070,143,200,83.8,,0,8.4
Oklahoma,Cleveland County,40027201610,3708,134,278,85.9,,0,11.1
Oklahoma,Cleveland County,40027201611,2214,78,117,86.6,,0,8.8
Oklahoma,Cleveland County,40027201612,5074,183,296,83.7,6580,1.3,9.4
Oklahoma,Cleveland County,40027201700,1701,28,102,87.9,,0,7.6
Oklahoma,Cleveland County,40027201801,4143,81,202,87.9,,0,6.8
Oklahoma,Cleveland County,40027201802,3435,83,172,87,,0,7.4
Oklahoma,Cleveland County,40027201902,4230,173,401,79.2,,0,13.6
Oklahoma,Cleveland County,40027201903,2926,241,337,74.1,4580.62,1.6,19.8
Oklahoma,Cleveland County,40027201904,4598,273,442,80.2,5560,1.2,15.6
Oklahoma,Cleveland County,40027202002,4244,197,366,77.8,,0,13.3
Oklahoma,Cleveland County,40027202004,3588,144,261,79.1,,0,11.3
Oklahoma,Cleveland County,40027202005,6173,346,928,80.1,14527.54,2.4,20.6
Oklahoma,Cleveland County,40027202006,2854,284,398,68.7,,0,23.9
