State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Pennsylvania,Adams County,42001030101,2580,9,76,89,,0,3.3
Pennsylvania,Adams County,42001030102,5780,5,309,87.2,10328,1.8,5.4
Pennsylvania,Adams County,42001030200,5500,38,731,83.9,526869.64,95.8,14.0
Pennsylvania,Adams County,42001030300,4156,35,585,67.7,468710.49,112.8,14.9
Pennsylvania,Adams County,42001030400,5829,96,451,77.4,66825,11.5,9.4
Pennsylvania,Adams County,42001030500,3767,23,410,87.2,830,0.2,11.5
Pennsylvania,Adams County,42001030600,4928,99,306,87.7,25000,5.1,8.2
Pennsylvania,Adams County,42001030700,6493,65,389,87.4,,0,7.0
Pennsylvania,Adams County,42001030800,7451,84,320,85.6,113866.19,15.3,5.4
Pennsylvania,Adams County,42001030900,7300,98,698,88,35568,4.9,10.9
Pennsylvania,Adams County,42001031000,1781,28,27,89.1,,0,3.1
Pennsylvania,Adams County,42001031101,5163,40,231,85.7,,0,5.2
Pennsylvania,Adams County,42001031102,3179,25,68,91.7,,0,2.9
Pennsylvania,Adams County,42001031201,3670,75,73,88.9,,0,4.0
Pennsylvania,Adams County,42001031202,2700,9,38,86.6,,0,1.7
Pennsylvania,Adams County,42001031203,3148,20,67,88.7,,0,2.8
Pennsylvania,Adams County,42001031300,4434,36,110,83.6,152923.2,34.5,3.3
Pennsylvania,Adams County,42001031401,3975,138,198,90.7,,0,8.5
Pennsylvania,Adams County,42001031402,2187,38,25,88.4,,0,2.9
Pennsylvania,Adams County,42001031501,3315,138,123,84.4,32000,9.7,7.9
Pennsylvania,Adams County,42001031502,4305,273,711,81.9,1647155.66,382.6,22.9
Pennsylvania,Adams County,42001031600,6887,49,109,86.1,,0,2.3
Pennsylvania,Adams County,42001031700,2879,29,60,79.4,13618,4.7,3.1
Pennsylvania,Allegheny County,42003010300,6600,2004,161,68.3,2044464.55,309.8,32.8
Pennsylvania,Allegheny County,42003020100,3629,573,119,74.7,131049928.1,36111.9,19.1
Pennsylvania,Allegheny County,42003020300,616,96,10,78.3,3063865.52,4973.8,17.2
Pennsylvania,Allegheny County,42003030500,2256,1846,32,77.2,5488460.03,2432.8,83.2
Pennsylvania,Allegheny County,42003040200,2604,997,61,69.5,184536.74,70.9,40.6
Pennsylvania,Allegheny County,42003040400,2488,85,95,75.2,250000,100.5,7.2
Pennsylvania,Allegheny County,42003040500,3694,167,79,64.9,613786,166.2,6.7
Pennsylvania,Allegheny County,42003040600,2392,138,78,65.2,20000,8.4,9.0
Pennsylvania,Allegheny County,42003040900,2969,627,86,74,73000,24.6,24.0
Pennsylvania,Allegheny County,42003050100,1707,1602,15,74.3,1333884.62,781.4,94.7
Pennsylvania,Allegheny County,42003050600,2057,1589,29,76,1007597.69,489.8,78.7
Pennsylvania,Allegheny County,42003050900,1202,1099,19,64.5,3250,2.7,93.0
Pennsylvania,Allegheny County,42003051000,2106,1070,26,71.1,0,0.0,52.0
Pennsylvania,Allegheny County,42003051100,1122,1104,9,51.4,3147.14,2.8,99.2
Pennsylvania,Allegheny County,42003060300,2341,546,30,78.6,3307407,1412.8,24.6
Pennsylvania,Allegheny County,42003060500,1274,155,28,78.1,373691.19,293.3,14.4
Pennsylvania,Allegheny County,42003070300,2197,124,64,79,770094,350.5,8.6
Pennsylvania,Allegheny County,42003070500,2997,130,90,80.6,590000,196.9,7.3
Pennsylvania,Allegheny County,42003070600,2082,54,65,83.9,7500,3.6,5.7
Pennsylvania,Allegheny County,42003070800,1705,83,63,83.2,731835.86,429.2,8.6
Pennsylvania,Allegheny County,42003070900,4934,343,176,74.8,13000,2.6,10.5
Pennsylvania,Allegheny County,42003080200,1679,82,32,80.5,147588.24,87.9,6.8
Pennsylvania,Allegheny County,42003080400,1369,94,40,78,291350,212.8,9.8
Pennsylvania,Allegheny County,42003080600,1998,169,54,80.7,208443,104.3,11.2
Pennsylvania,Allegheny County,42003080700,1785,353,76,74.6,632319.89,354.2,24.0
Pennsylvania,Allegheny County,42003080900,1767,234,48,77.8,357324.99,202.2,16.0
Pennsylvania,Allegheny County,42003090100,1843,224,26,81,2096059.93,1137.3,13.6
Pennsylvania,Allegheny County,42003090200,2635,193,52,81.7,785783.47,298.2,9.3
Pennsylvania,Allegheny County,42003090300,1629,131,45,84.4,644950,395.9,10.8
