State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Puerto Rico Commonwealth,Adjuntas Municipio,72001956300,4336,0,4318,71.6,,0,99.6
Puerto Rico Commonwealth,Adjuntas Municipio,72001956400,2995,0,2991,77,,0,99.9
Puerto Rico Commonwealth,Adjuntas Municipio,72001956500,3126,0,3112,74.7,,0,99.6
Puerto Rico Commonwealth,Adjuntas Municipio,72001956600,2329,0,2324,79.8,,0,99.8
Puerto Rico Commonwealth,Adjuntas Municipio,72001956700,2053,2,2040,79.7,,0,99.5
Puerto Rico Commonwealth,Adjuntas Municipio,72001956800,4644,0,4616,75.2,,0,99.4
Puerto Rico Commonwealth,Aguada Municipio,72003430100,4983,3,4956,67.4,,0,99.5
Puerto Rico Commonwealth,Aguada Municipio,72003430200,5388,1,5343,70,,0,99.2
Puerto Rico Commonwealth,Aguada Municipio,72003430300,2646,1,2631,66.9,,0,99.5
Puerto Rico Commonwealth,Aguada Municipio,72003430401,4907,0,4879,70.4,,0,99.4
Puerto Rico Commonwealth,Aguada Municipio,72003430402,5166,2,5117,65.9,,0,99.1
Puerto Rico Commonwealth,Aguada Municipio,72003430501,6122,1,6091,70.6,,0,99.5
Puerto Rico Commonwealth,Aguada Municipio,72003430502,4840,1,4822,67.5,,0,99.6
Puerto Rico Commonwealth,Aguada Municipio,72003430601,4530,2,4507,65.8,,0,99.5
Puerto Rico Commonwealth,Aguada Municipio,72003430602,3377,2,3355,70,,0,99.4
Puerto Rico Commonwealth,Aguadilla Municipio,72005400100,5593,2,5517,71,,0,98.7
Puerto Rico Commonwealth,Aguadilla Municipio,72005400300,3687,44,3350,64.8,,0,92.1
Puerto Rico Commonwealth,Aguadilla Municipio,72005400400,4519,4,4465,67.5,,0,98.9
Puerto Rico Commonwealth,Aguadilla Municipio,72005400501,3614,5,3578,69.1,,0,99.1
Puerto Rico Commonwealth,Aguadilla Municipio,72005400502,6064,6,5999,72.3,,0,99.0
Puerto Rico Commonwealth,Aguadilla Municipio,72005400600,2869,1,2846,65.8,,0,99.2
Puerto Rico Commonwealth,Aguadilla Municipio,72005400700,2896,2,2863,74.5,,0,98.9
Puerto Rico Commonwealth,Aguadilla Municipio,72005400800,1846,4,1832,52.6,92029.32,49.9,99.5
Puerto Rico Commonwealth,Aguadilla Municipio,72005400900,2357,5,2339,68.1,,0,99.4
Puerto Rico Commonwealth,Aguadilla Municipio,72005401000,1781,0,1766,57.6,545235,306.1,99.2
Puerto Rico Commonwealth,Aguadilla Municipio,72005401100,1520,4,1500,65.2,,0,98.9
Puerto Rico Commonwealth,Aguadilla Municipio,72005401200,4143,5,4115,67.2,,0,99.4
Puerto Rico Commonwealth,Aguadilla Municipio,72005401301,4428,3,4391,67.7,,0,99.2
Puerto Rico Commonwealth,Aguadilla Municipio,72005401302,6267,4,6214,71,,0,99.2
Puerto Rico Commonwealth,Aguadilla Municipio,72005401401,4479,13,4438,66,,0,99.4
Puerto Rico Commonwealth,Aguadilla Municipio,72005401402,4886,3,4833,72.3,,0,99.0
Puerto Rico Commonwealth,Aguas Buenas Municipio,72007230100,4307,0,4276,66.6,,0,99.3
Puerto Rico Commonwealth,Aguas Buenas Municipio,72007230200,6546,0,6509,69.9,,0,99.4
Puerto Rico Commonwealth,Aguas Buenas Municipio,72007230300,3363,1,3342,65.8,,0,99.4
Puerto Rico Commonwealth,Aguas Buenas Municipio,72007230400,4823,2,4797,69.6,,0,99.5
Puerto Rico Commonwealth,Aguas Buenas Municipio,72007230501,4678,0,4669,63.4,,0,99.8
Puerto Rico Commonwealth,Aguas Buenas Municipio,72007230502,4942,9,4920,66.5,,0,99.7
Puerto Rico Commonwealth,Aibonito Municipio,72009250100,5772,2,5731,67.6,,0,99.3
Puerto Rico Commonwealth,Aibonito Municipio,72009250200,5113,2,5092,73.8,,0,99.6
Puerto Rico Commonwealth,Aibonito Municipio,72009250300,3029,1,3018,69.9,,0,99.7
Puerto Rico Commonwealth,Aibonito Municipio,72009250400,2917,2,2894,65.6,,0,99.3
Puerto Rico Commonwealth,Aibonito Municipio,72009250500,4442,2,4396,75.8,,0,99.0
Puerto Rico Commonwealth,Aibonito Municipio,72009250600,4627,0,4598,70.5,,0,99.4
Puerto Rico Commonwealth,AÐasco Municipio,72011810100,3563,1,3546,64.6,,0,99.6
Puerto Rico Commonwealth,AÐasco Municipio,72011810200,7707,9,7650,64.3,,0,99.4
Puerto Rico Commonwealth,AÐasco Municipio,72011810300,2338,1,2314,71.5,,0,99.0
Puerto Rico Commonwealth,AÐasco Municipio,72011810400,1310,1,1301,66.2,,0,99.4
Puerto Rico Commonwealth,AÐasco Municipio,72011810500,5979,6,5931,70.5,,0,99.3
Puerto Rico Commonwealth,AÐasco Municipio,72011810600,4750,1,4714,70.3,,0,99.3
Puerto Rico Commonwealth,AÐasco Municipio,72011810700,3614,3,3578,70.1,,0,99.1
Puerto Rico Commonwealth,Arecibo Municipio,72013300101,5178,1,5123,68.2,,0,99.0
Puerto Rico Commonwealth,Arecibo Municipio,72013300102,5256,3,5209,68.6,,0,99.2
Puerto Rico Commonwealth,Arecibo Municipio,72013300200,3800,9,3765,69.1,,0,99.3
Puerto Rico Commonwealth,Arecibo Municipio,72013300301,3153,1,3144,74.2,,0,99.7
Puerto Rico Commonwealth,Arecibo Municipio,72013300302,5285,3,5240,76.6,,0,99.2
Puerto Rico Commonwealth,Arecibo Municipio,72013300400,1991,5,1968,73.1,,0,99.1
Puerto Rico Commonwealth,Arecibo Municipio,72013300500,1252,0,1239,66.7,,0,99.0
Puerto Rico Commonwealth,Arecibo Municipio,72013300700,1338,8,1311,68.1,,0,98.6
Puerto Rico Commonwealth,Arecibo Municipio,72013300800,5064,5,5023,71.5,19894,3.9,99.3
Puerto Rico Commonwealth,Arecibo Municipio,72013301000,5194,1,5143,77.2,,0,99.0
Puerto Rico Commonwealth,Arecibo Municipio,72013301100,7662,2,7630,72.4,,0,99.6
Puerto Rico Commonwealth,Arecibo Municipio,72013301200,3868,0,3843,72.3,,0,99.4
Puerto Rico Commonwealth,Arecibo Municipio,72013301300,3590,0,3554,60.2,,0,99.0
Puerto Rico Commonwealth,Arecibo Municipio,72013301400,1190,3,1174,69.3,,0,98.9
Puerto Rico Commonwealth,Arecibo Municipio,72013301500,5948,2,5888,73.3,,0,99.0
Puerto Rico Commonwealth,Arecibo Municipio,72013301600,4656,4,4620,68.7,,0,99.3
Puerto Rico Commonwealth,Arecibo Municipio,72013301700,4887,0,4847,72.5,,0,99.2
Puerto Rico Commonwealth,Arecibo Municipio,72013301800,1882,0,1869,66.2,,0,99.3
Puerto Rico Commonwealth,Arecibo Municipio,72013301900,5574,12,5506,67.7,,0,99.0
