State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
South Carolina,Abbeville County,45001950100,3254,404,33,73.1,,0,13.4
South Carolina,Abbeville County,45001950200,4195,739,45,65,,0,18.7
South Carolina,Abbeville County,45001950300,3130,266,16,80.9,,0,9.0
South Carolina,Abbeville County,45001950400,6073,1722,87,83.5,,0,29.8
South Carolina,Abbeville County,45001950500,5701,2621,43,79.6,,0,46.7
South Carolina,Abbeville County,45001950600,3064,1408,31,73.2,,0,47.0
South Carolina,Aiken County,45003020100,4830,1194,310,81,,0,31.1
South Carolina,Aiken County,45003020200,5817,1059,289,83.8,,0,23.2
South Carolina,Aiken County,45003020301,2407,360,204,83,,0,23.4
South Carolina,Aiken County,45003020302,5480,2680,178,76.2,,0,52.2
South Carolina,Aiken County,45003020400,5647,1367,563,80.7,,0,34.2
South Carolina,Aiken County,45003020500,7150,1046,160,84.3,,0,16.9
South Carolina,Aiken County,45003020601,3725,787,73,89,,0,23.1
South Carolina,Aiken County,45003020602,6214,1904,378,80.2,,0,36.7
South Carolina,Aiken County,45003020701,5583,899,86,82,,0,17.6
South Carolina,Aiken County,45003020702,4993,1958,668,72.2,,0,52.6
South Carolina,Aiken County,45003020801,3000,164,57,86.5,,0,7.4
South Carolina,Aiken County,45003020802,5010,1042,336,74.2,,0,27.5
South Carolina,Aiken County,45003020901,2318,646,120,82.9,,0,33.0
South Carolina,Aiken County,45003020902,5994,1758,282,83,,0,34.0
South Carolina,Aiken County,45003021001,4621,820,352,80.2,,0,25.4
South Carolina,Aiken County,45003021002,5396,1252,663,77.8,,0,35.5
South Carolina,Aiken County,45003021101,3000,323,125,80.8,,0,14.9
South Carolina,Aiken County,45003021102,3898,408,176,85.3,,0,15.0
South Carolina,Aiken County,45003021201,5480,495,164,88.5,,0,12.0
South Carolina,Aiken County,45003021202,3747,365,60,80.9,,0,11.3
South Carolina,Aiken County,45003021203,8159,743,202,86.4,,0,11.6
South Carolina,Aiken County,45003021300,4985,1034,123,88,450933.28,90.5,23.2
South Carolina,Aiken County,45003021400,5913,4633,132,81.3,1282334.16,216.9,80.6
South Carolina,Aiken County,45003021500,5284,1109,198,84.5,93664.88,17.7,24.7
South Carolina,Aiken County,45003021601,5635,2415,188,79.4,289716.44,51.4,46.2
South Carolina,Aiken County,45003021602,7408,1063,283,87.2,,0,18.2
South Carolina,Aiken County,45003021700,4815,1538,107,70.5,,0,34.2
South Carolina,Aiken County,45003021800,2589,1039,30,70.9,,0,41.3
South Carolina,Aiken County,45003021900,6149,1126,645,83,,0,28.8
South Carolina,Aiken County,45003022001,4284,820,442,87.3,,0,29.5
South Carolina,Aiken County,45003022002,7104,2139,156,84.8,,0,32.3
South Carolina,Aiken County,45003022100,3464,857,74,81.1,,0,26.9
South Carolina,Allendale County,45005970200,5151,4018,157,78.7,,0,81.1
South Carolina,Allendale County,45005970300,1068,485,16,65.2,,0,46.9
South Carolina,Allendale County,45005970400,4200,3142,66,84.8,,0,76.4
South Carolina,Anderson County,45007000200,4101,464,76,83.2,7313.56,1.8,13.2
South Carolina,Anderson County,45007000300,4912,887,177,78.1,,0,21.7
South Carolina,Anderson County,45007000500,2875,1940,44,78.8,4050,1.4,69.0
South Carolina,Anderson County,45007000600,3084,2234,87,76.7,4446132.7,1441.7,75.3
South Carolina,Anderson County,45007000700,4495,2545,288,76.6,4495745.94,1000.2,63.0
South Carolina,Anderson County,45007000800,2381,694,163,79.2,540,0.2,36.0
South Carolina,Anderson County,45007000900,2869,934,102,82.7,1650316.04,575.2,36.1
South Carolina,Anderson County,45007001000,2914,559,208,72.6,,0,26.3
South Carolina,Anderson County,45007001100,5115,571,230,79.6,48962.23,9.6,15.7
South Carolina,Anderson County,45007010102,6204,286,134,86,,0,6.8
South Carolina,Anderson County,45007010103,7244,439,286,88.1,,0,10.0
South Carolina,Anderson County,45007010104,7915,480,137,87.8,,0,7.8
South Carolina,Anderson County,45007010200,5051,203,152,87.4,,0,7.0
South Carolina,Anderson County,45007010300,3987,123,133,84.5,,0,6.4
South Carolina,Anderson County,45007010401,5933,617,178,84,,0,13.4
South Carolina,Anderson County,45007010402,6807,345,454,82.4,,0,11.7
South Carolina,Anderson County,45007010500,6051,387,200,81.7,,0,9.7
South Carolina,Anderson County,45007010600,7409,563,106,80.9,,0,9.0
South Carolina,Anderson County,45007010700,5741,1417,136,86.8,640963,111.6,27.1
South Carolina,Anderson County,45007010800,4798,451,62,88.7,,0,10.7
South Carolina,Anderson County,45007010900,4085,146,48,85,,0,4.7
South Carolina,Anderson County,45007011001,4883,301,105,82.9,,0,8.3
South Carolina,Anderson County,45007011002,4156,363,43,83,,0,9.8
South Carolina,Anderson County,45007011100,2607,450,81,78.6,,0,20.4
South Carolina,Anderson County,45007011201,4003,176,78,89.3,,0,6.3
South Carolina,Anderson County,45007011202,7782,599,193,84.6,,0,10.2
South Carolina,Anderson County,45007011300,7234,1360,153,85.8,,0,20.9
South Carolina,Anderson County,45007011401,3855,544,68,85.7,,0,15.9
South Carolina,Anderson County,45007011402,3368,693,58,82.4,,0,22.3
South Carolina,Anderson County,45007011500,6283,805,75,79.8,,0,14.0
South Carolina,Anderson County,45007011600,2041,54,19,87.4,,0,3.6
South Carolina,Anderson County,45007011700,6335,621,62,79.3,,0,10.8
South Carolina,Anderson County,45007011800,4051,351,72,83.8,,0,10.4
South Carolina,Anderson County,45007011901,5299,1429,333,81.1,24097.84,4.5,33.3
South Carolina,Anderson County,45007011902,2829,1408,75,80.5,,0,52.4
South Carolina,Anderson County,45007012001,4958,825,267,85.7,,0,22.0
South Carolina,Anderson County,45007012002,4696,1220,109,86.8,,0,28.3
South Carolina,Anderson County,45007012200,5476,638,136,80.6,,0,14.1
South Carolina,Anderson County,45007012300,3299,1688,119,79.2,3683806.3,1116.6,54.8
South Carolina,Bamberg County,45009960100,6016,4878,114,72.8,860200,143.0,83.0
South Carolina,Bamberg County,45009960200,7126,3943,89,79.6,,0,56.6
South Carolina,Bamberg County,45009960300,1291,437,34,82.2,,0,36.5
South Carolina,Bamberg County,45009960400,1554,528,21,84.2,,0,35.3
South Carolina,Barnwell County,45011970100,5701,2514,73,81.2,,0,45.4
South Carolina,Barnwell County,45011970200,3873,2512,106,79.5,865469,223.5,67.6
South Carolina,Barnwell County,45011970300,3846,2003,35,79.1,50000,13.0,53.0
South Carolina,Barnwell County,45011970400,5263,1039,109,85,,0,21.8
South Carolina,Barnwell County,45011970500,3938,1896,88,81.2,,0,50.4
South Carolina,Beaufort County,45013000100,4269,2879,100,77.7,,0,69.8
South Carolina,Beaufort County,45013000200,5201,2984,221,77,,0,61.6
South Carolina,Beaufort County,45013000300,4850,759,599,69.9,,0,28.0
South Carolina,Beaufort County,45013000400,997,115,144,71.6,,0,26.0
South Carolina,Beaufort County,45013000501,6466,2470,772,74.8,,0,50.1
South Carolina,Beaufort County,45013000502,4808,1708,405,75,,0,43.9
South Carolina,Beaufort County,45013000503,4864,892,576,79.6,,0,30.2
South Carolina,Beaufort County,45013000600,2157,651,138,81,,0,36.6
South Carolina,Beaufort County,45013000700,6284,1457,358,81,,0,28.9
South Carolina,Beaufort County,45013000800,5247,1577,349,73.8,,0,36.7
South Carolina,Beaufort County,45013000901,2650,461,75,87.4,,0,20.2
South Carolina,Beaufort County,45013000902,8142,1368,480,83.8,,0,22.7
South Carolina,Beaufort County,45013000903,1778,437,116,85.9,,0,31.1
South Carolina,Beaufort County,45013001000,4469,543,680,73.2,,0,27.4
South Carolina,Beaufort County,45013001101,3862,1529,84,87.8,,0,41.8
South Carolina,Beaufort County,45013001102,4901,3631,284,78.8,,0,79.9
South Carolina,Beaufort County,45013002102,1517,130,194,86.4,,0,21.4
South Carolina,Beaufort County,45013002103,2969,289,508,80.3,,0,26.8
South Carolina,Beaufort County,45013002104,11608,457,346,93.6,,0,6.9
South Carolina,Beaufort County,45013002105,2973,283,295,84.4,,0,19.4
South Carolina,Beaufort County,45013002106,9216,956,2009,82.8,,0,32.2
South Carolina,Beaufort County,45013002107,9876,1611,3300,70.6,,0,49.7
South Carolina,Beaufort County,45013002108,4769,274,1244,72.4,,0,31.8
South Carolina,Beaufort County,45013002201,6477,244,321,88.6,,0,8.7
South Carolina,Beaufort County,45013002202,2956,228,77,90.4,,0,10.3
South Carolina,Beaufort County,45013010100,1717,28,23,94.7,,0,3.0
South Carolina,Beaufort County,45013010200,3476,62,571,87,,0,18.2
South Carolina,Beaufort County,45013010300,3975,29,204,87.5,709164,178.4,5.9
South Carolina,Beaufort County,45013010400,5237,681,811,81.5,,0,28.5
South Carolina,Beaufort County,45013010500,3622,640,978,78.1,179937.19,49.7,44.7
South Carolina,Beaufort County,45013010600,3925,46,76,90.2,,0,3.1
South Carolina,Beaufort County,45013010700,4606,59,51,88.7,,0,2.4
South Carolina,Beaufort County,45013010800,3154,658,1754,66,,0,76.5
South Carolina,Beaufort County,45013010900,1794,55,301,88.1,,0,19.8
South Carolina,Beaufort County,45013011000,1771,295,518,74.3,,0,45.9
