State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
South Dakota,Aurora County,46003973600,2710,9,101,82.7,,0,4.1
South Dakota,Beadle County,46005956600,1999,8,36,93.3,,0,2.2
South Dakota,Beadle County,46005956700,1922,1,27,88.9,,0,1.5
South Dakota,Beadle County,46005956800,1706,12,93,89.6,,0,6.2
South Dakota,Beadle County,46005956900,3129,31,518,81.7,,0,17.5
South Dakota,Beadle County,46005957000,5628,42,445,84.1,,0,8.7
South Dakota,Beadle County,46005957100,3014,24,218,87,,0,8.0
South Dakota,Bon Homme County,46009967600,3454,10,40,87.5,,0,1.4
South Dakota,Bon Homme County,46009967700,3616,55,90,87.9,,0,4.0
South Dakota,Brookings County,46011958600,3746,5,188,85.3,,0,5.2
South Dakota,Brookings County,46011958700,4965,5,89,88.1,,0,1.9
South Dakota,Brookings County,46011958802,6516,67,100,75.9,316000,48.5,2.6
South Dakota,Brookings County,46011958803,4364,38,82,87.4,,0,2.7
South Dakota,Brookings County,46011958900,7389,116,84,82.4,,0,2.7
South Dakota,Brookings County,46011959000,4985,15,93,84.5,,0,2.2
South Dakota,Brown County,46013951300,5950,27,75,84.5,,0,1.7
South Dakota,Brown County,46013951400,6228,16,97,86,,0,1.8
South Dakota,Brown County,46013951500,2575,25,71,76.2,1604193.49,623.0,3.7
South Dakota,Brown County,46013951600,4598,44,50,78,,0,2.0
South Dakota,Brown County,46013951700,4274,21,51,80.5,,0,1.7
South Dakota,Brown County,46013951800,4964,43,93,84.5,,0,2.7
South Dakota,Brown County,46013951900,3530,7,33,88.1,,0,1.1
South Dakota,Brown County,46013952000,4412,4,26,87.1,,0,0.7
South Dakota,Brule County,46015973100,2657,4,37,85,,0,1.5
South Dakota,Brule County,46015973200,2598,8,38,78.6,1296500,499.0,1.8
South Dakota,Buffalo County,46017940200,1912,4,35,84.5,,0,2.0
South Dakota,Butte County,46019967600,2972,11,56,77.5,,0,2.3
South Dakota,Butte County,46019967700,7138,9,250,80,321206.15,45.0,3.6
South Dakota,Campbell County,46021964100,1466,1,20,89.3,,0,1.4
South Dakota,Charles Mix County,46023940200,3142,4,70,67.8,,0,2.4
South Dakota,Charles Mix County,46023940300,3323,3,75,71.2,,0,2.3
South Dakota,Charles Mix County,46023970100,2664,1,7,88,,0,0.3
South Dakota,Clark County,46025955800,3691,6,63,89.2,483000,130.9,1.9
South Dakota,Clay County,46027965700,5243,64,102,81.9,,0,3.2
South Dakota,Clay County,46027965800,2897,4,20,86.4,,0,0.8
South Dakota,Clay County,46027965900,5724,111,155,84,3321000,580.2,4.6
South Dakota,Codington County,46029954100,3198,2,77,88.4,,0,2.5
South Dakota,Codington County,46029954301,4209,15,60,79,152818,36.3,1.8
South Dakota,Codington County,46029954302,5080,14,41,90.1,,0,1.1
South Dakota,Codington County,46029954400,5245,21,93,79.6,7000,1.3,2.2
South Dakota,Codington County,46029954501,2262,11,80,83.4,,0,4.0
South Dakota,Codington County,46029954502,4797,20,76,88.3,,0,2.0
South Dakota,Codington County,46029954600,2436,5,6,85.7,,0,0.5
South Dakota,Custer County,46033965100,5525,5,126,83.6,,0,2.4
South Dakota,Custer County,46033965200,2691,10,56,85,1001206.93,372.1,2.5
South Dakota,Davison County,46035962600,2919,0,27,81.1,,0,0.9
South Dakota,Davison County,46035962700,5467,20,44,82.3,,0,1.2
South Dakota,Davison County,46035962800,6111,25,113,77.4,782500,128.0,2.3
South Dakota,Davison County,46035962900,5007,26,110,80.7,,0,2.7
South Dakota,Day County,46037952700,1682,3,28,84.9,,0,1.8
South Dakota,Day County,46037952800,2109,3,16,85.8,307500,145.8,0.9
South Dakota,Day County,46037952900,1919,2,18,69.6,,0,1.0
South Dakota,Deuel County,46039953600,2924,8,73,88.4,,0,2.8
South Dakota,Deuel County,46039953700,1440,4,13,87.1,,0,1.2
South Dakota,Douglas County,46043969600,3002,11,23,86.8,,0,1.1
South Dakota,Edmunds County,46045962100,2411,1,8,86.8,,0,0.4
South Dakota,Edmunds County,46045962200,1660,4,50,84.8,,0,3.3
South Dakota,Fall River County,46047964100,2787,2,68,83.1,,0,2.5
South Dakota,Fall River County,46047964200,4307,44,91,84,2168734.19,503.5,3.1
