State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Utah,Beaver County,49001100100,3818,3,414,76.5,1233234,323.0,10.9
Utah,Beaver County,49001100200,2811,11,302,78.1,,0,11.1
Utah,Box Elder County,49003960100,3152,6,183,77.9,78500,24.9,6.0
Utah,Box Elder County,49003960200,6901,16,406,83.2,150000,21.7,6.1
Utah,Box Elder County,49003960300,8186,22,927,79.6,158000,19.3,11.6
Utah,Box Elder County,49003960400,4872,20,289,82.9,99651,20.5,6.3
Utah,Box Elder County,49003960500,5023,17,558,79.9,172385,34.3,11.4
Utah,Box Elder County,49003960601,3720,17,396,82.9,1067185,286.9,11.1
Utah,Box Elder County,49003960602,2429,3,109,88.1,62871,25.9,4.6
Utah,Box Elder County,49003960701,4765,15,583,78.6,,0,12.5
Utah,Box Elder County,49003960702,2281,11,292,76.5,,0,13.3
Utah,Box Elder County,49003960801,4206,9,216,83.9,,0,5.3
Utah,Box Elder County,49003960802,4440,3,193,85.7,75000,16.9,4.4
Utah,Cache County,49005000101,4599,18,281,83.4,,0,6.5
Utah,Cache County,49005000102,1563,0,131,82.5,,0,8.4
Utah,Cache County,49005000201,3228,24,212,83.5,100000,31.0,7.3
Utah,Cache County,49005000202,6953,31,410,88.1,10000,1.4,6.3
Utah,Cache County,49005000300,7492,37,1272,79.7,105806.5,14.1,17.5
Utah,Cache County,49005000401,3338,11,328,77.4,55000,16.5,10.2
Utah,Cache County,49005000402,3118,11,48,88.7,,0,1.9
Utah,Cache County,49005000403,5754,12,324,87.8,,0,5.8
Utah,Cache County,49005000501,5128,48,1153,75.7,2402258.2,468.5,23.4
Utah,Cache County,49005000502,5231,82,793,70.1,82140.57,15.7,16.7
Utah,Cache County,49005000600,7068,67,457,73,10000,1.4,7.4
Utah,Cache County,49005000701,4520,22,108,88.9,6250,1.4,2.9
Utah,Cache County,49005000702,2720,42,240,88.7,,0,10.4
Utah,Cache County,49005000800,4795,38,440,78,3500542.74,730.0,10.0
Utah,Cache County,49005000900,3374,10,376,75.9,87556.59,26.0,11.4
Utah,Cache County,49005001001,3026,34,814,77.7,15000,5.0,28.0
Utah,Cache County,49005001002,4560,46,1062,69.5,1320284,289.5,24.3
Utah,Cache County,49005001101,5596,7,349,82.5,38000,6.8,6.4
Utah,Cache County,49005001102,4230,12,135,89.2,,0,3.5
Utah,Cache County,49005001201,4955,7,159,86.1,,0,3.4
Utah,Cache County,49005001202,5387,8,562,84.2,255000,47.3,10.6
Utah,Cache County,49005001300,6117,13,181,85.9,,0,3.2
Utah,Cache County,49005001401,4096,8,583,82.8,15000,3.7,14.4
Utah,Cache County,49005001402,3665,5,734,77.7,,0,20.2
Utah,Cache County,49005001500,2038,3,63,84,35702.38,17.5,3.2
Utah,Carbon County,49007000100,3809,16,363,79.5,,0,10.0
Utah,Carbon County,49007000200,4469,10,512,78,30000,6.7,11.7
Utah,Carbon County,49007000300,4461,34,746,69.8,1432667.83,321.2,17.5
Utah,Carbon County,49007000500,4248,12,428,87.2,250000,58.9,10.4
Utah,Carbon County,49007000600,4416,12,610,77.5,63000,14.3,14.1
Utah,Daggett County,49009960100,1059,4,33,75.4,75500,71.3,3.5
Utah,Davis County,49011125102,4143,40,170,87,,0,5.1
Utah,Davis County,49011125103,4293,33,429,79,372421.32,86.8,10.8
Utah,Davis County,49011125104,5788,57,275,85.7,,0,5.7
Utah,Davis County,49011125200,3319,210,380,66.2,,0,17.8
Utah,Davis County,49011125301,5108,67,785,74.7,625000,122.4,16.7
Utah,Davis County,49011125303,10657,128,1009,80.6,,0,10.7
Utah,Davis County,49011125304,4901,49,580,81.2,430000,87.7,12.8
Utah,Davis County,49011125305,6152,84,715,82.3,,0,13.0
Utah,Davis County,49011125401,11309,73,647,83.3,161418,14.3,6.4
Utah,Davis County,49011125403,11439,92,725,82.6,327583,28.6,7.1
Utah,Davis County,49011125405,9412,207,1095,80,62148,6.6,13.8
Utah,Davis County,49011125406,7491,76,564,83.6,161289,21.5,8.5
Utah,Davis County,49011125501,5759,66,801,80.1,5486,1.0,15.1
Utah,Davis County,49011125502,5411,63,1020,76,20000,3.7,20.0
Utah,Davis County,49011125503,4695,30,326,79.3,,0,7.6
