State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Virginia,Accomack County,51001090200,6156,1893,179,82.2,,0,33.7
Virginia,Accomack County,51001090300,2335,442,152,86.6,,0,25.4
Virginia,Accomack County,51001090400,6234,2304,1486,79.1,,0,60.8
Virginia,Accomack County,51001090500,2849,738,405,72,,0,40.1
Virginia,Accomack County,51001090600,4401,781,111,86,,0,20.3
Virginia,Accomack County,51001090700,4907,1703,193,79.1,,0,38.6
Virginia,Accomack County,51001090800,3336,1371,275,75.5,,0,49.3
Virginia,Albemarle County,51003010100,5190,115,85,82.8,,0,3.9
Virginia,Albemarle County,51003010201,4664,409,172,86.3,,0,12.5
Virginia,Albemarle County,51003010202,3077,62,51,88.6,,0,3.7
Virginia,Albemarle County,51003010300,8098,429,237,84.2,,0,8.2
Virginia,Albemarle County,51003010401,4331,449,104,82.3,,0,12.8
Virginia,Albemarle County,51003010402,3314,180,90,88,30000,9.1,8.1
Virginia,Albemarle County,51003010500,4543,475,176,83.3,,0,14.3
Virginia,Albemarle County,51003010601,5817,775,545,79.3,,0,22.7
Virginia,Albemarle County,51003010602,2697,232,65,82.6,,0,11.0
Virginia,Albemarle County,51003010700,6145,1597,848,74,312757.27,50.9,39.8
Virginia,Albemarle County,51003010800,5325,993,607,76.6,,0,30.0
Virginia,Albemarle County,51003010901,1900,88,116,73.9,,0,10.7
Virginia,Albemarle County,51003010902,3191,315,187,75.6,,0,15.7
Virginia,Albemarle County,51003010903,2613,169,122,100,,0,11.1
Virginia,Albemarle County,51003011000,6292,159,113,88.1,82500,13.1,4.3
Virginia,Albemarle County,51003011100,7024,283,213,87.4,644000,91.7,7.1
Virginia,Albemarle County,51003011201,4092,209,180,81.3,,0,9.5
Virginia,Albemarle County,51003011202,3413,260,123,89.4,,0,11.2
Virginia,Albemarle County,51003011301,5390,361,117,81,4349.75,0.8,8.9
Virginia,Albemarle County,51003011302,3765,552,986,61,,0,40.8
Virginia,Albemarle County,51003011303,3738,571,133,84.7,,0,18.8
