State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Washington,Adams County,53001950100,2447,2,112,84.9,,0,4.7
Washington,Adams County,53001950200,1738,21,202,79.6,719916.3,414.2,12.8
Washington,Adams County,53001950300,6934,18,5063,76.2,,0,73.3
Washington,Adams County,53001950400,2856,2,1973,72.7,325062.3,113.8,69.2
Washington,Adams County,53001950500,4753,4,3749,76.1,804719.88,169.3,79.0
Washington,Asotin County,53003960100,4304,12,101,81.3,3000,0.7,2.6
Washington,Asotin County,53003960200,4542,20,97,85.8,,0,2.6
Washington,Asotin County,53003960300,3775,32,143,79.8,,0,4.6
Washington,Asotin County,53003960400,2165,8,82,76.6,,0,4.2
Washington,Asotin County,53003960500,3424,15,137,76.3,0,0.0,4.4
Washington,Asotin County,53003960600,3413,2,83,79.4,,0,2.5
Washington,Benton County,53005010100,4448,56,133,90.6,8683.13,2.0,4.2
Washington,Benton County,53005010201,4295,63,203,86.4,672665.89,156.6,6.2
Washington,Benton County,53005010202,6060,113,633,74.5,337852.59,55.8,12.3
Washington,Benton County,53005010300,5010,72,402,86.3,259973.46,51.9,9.5
Washington,Benton County,53005010400,3617,52,375,83.5,348989.42,96.5,11.8
Washington,Benton County,53005010500,3022,28,311,73.7,1782441.41,589.8,11.2
Washington,Benton County,53005010600,4296,69,476,81.4,499535.7,116.3,12.7
Washington,Benton County,53005010701,2138,11,191,84.9,,0,9.4
Washington,Benton County,53005010703,2803,19,221,83.6,,0,8.6
Washington,Benton County,53005010705,5268,46,310,87.7,,0,6.8
Washington,Benton County,53005010707,2491,17,172,86.6,,0,7.6
Washington,Benton County,53005010708,2440,17,194,84.2,,0,8.6
Washington,Benton County,53005010803,6690,63,456,88.3,,0,7.8
Washington,Benton County,53005010805,5917,80,446,87.7,306157.48,51.7,8.9
Washington,Benton County,53005010807,1082,4,87,89.2,,0,8.4
Washington,Benton County,53005010809,6015,93,773,78.8,42961,7.1,14.4
Washington,Benton County,53005010810,4548,43,284,89,,0,7.2
Washington,Benton County,53005010811,3100,23,145,91.4,,0,5.4
Washington,Benton County,53005010813,9288,63,703,90.4,,0,8.2
Washington,Benton County,53005010814,2844,15,144,88.7,,0,5.6
Washington,Benton County,53005010901,6177,229,1524,73.4,,0,28.4
Washington,Benton County,53005010902,4907,61,1541,76.3,307.95,0.1,32.6
Washington,Benton County,53005011001,4975,114,1190,79.4,,0,26.2
Washington,Benton County,53005011002,4475,86,1041,76.1,150000,33.5,25.2
Washington,Benton County,53005011100,7365,101,1664,76,20800.65,2.8,24.0
Washington,Benton County,53005011200,8552,218,4785,73.2,5673612.62,663.4,58.5
Washington,Benton County,53005011300,5067,38,2177,77,1126287.26,222.3,43.7
Washington,Benton County,53005011401,3810,58,1315,77.5,,0,36.0
Washington,Benton County,53005011402,5016,13,586,85.4,9586.34,1.9,11.9
Washington,Benton County,53005011501,6740,15,1349,80.9,,0,20.2
Washington,Benton County,53005011503,9380,82,912,88.3,,0,10.6
Washington,Benton County,53005011504,2975,11,443,86.3,,0,15.3
Washington,Benton County,53005011600,931,0,395,69.2,,0,42.4
Washington,Benton County,53005011700,7076,27,2607,80.4,,0,37.2
Washington,Benton County,53005011800,6546,15,3054,81,,0,46.9
Washington,Benton County,53005011900,5808,16,1454,79.2,,0,25.3
Washington,Chelan County,53007960100,2369,1,404,79.3,390000,164.6,17.1
Washington,Chelan County,53007960200,6251,16,366,87,,0,6.1
Washington,Chelan County,53007960300,6396,8,1850,75.4,940070.76,147.0,29.0
Washington,Chelan County,53007960400,3813,8,1560,71.7,,0,41.1
Washington,Chelan County,53007960500,6831,8,1721,78.5,24000,3.5,25.3
Washington,Chelan County,53007960600,4064,9,1112,82.9,,0,27.6
Washington,Chelan County,53007960700,3455,5,318,83.5,,0,9.3
Washington,Chelan County,53007960801,2666,2,179,89.2,,0,6.8
Washington,Chelan County,53007960802,7202,18,1794,83.4,884142.83,122.8,25.2
Washington,Chelan County,53007961000,6800,27,2480,76.6,2018387.88,296.8,36.9
Washington,Chelan County,53007961100,9596,31,4844,75.6,774610.21,80.7,50.8
Washington,Chelan County,53007961200,3762,8,760,84.6,,0,20.4
Washington,Chelan County,53007961301,1327,6,75,76.9,,0,6.1
Washington,Chelan County,53007961302,7921,30,1250,81.9,14181.44,1.8,16.2
Washington,Clallam County,53009000200,1783,240,158,77.4,,0,22.3
Washington,Clallam County,53009000300,4695,20,1052,76.2,999581.69,212.9,22.8
Washington,Clallam County,53009000400,1758,5,72,71.3,,0,4.4
Washington,Clallam County,53009000600,3370,6,79,85.4,,0,2.5
Washington,Clallam County,53009000700,3534,42,168,77.7,,0,5.9
Washington,Clallam County,53009000800,4181,25,153,82.9,,0,4.3
Washington,Clallam County,53009000900,2806,24,120,78.3,,0,5.1
Washington,Clallam County,53009001000,2477,19,86,85.3,407951.21,164.7,4.2
Washington,Clallam County,53009001100,2969,18,121,82,,0,4.7
Washington,Clallam County,53009001200,3771,28,138,87.1,,0,4.4
Washington,Clallam County,53009001300,3090,13,65,85.2,,0,2.5
Washington,Clallam County,53009001400,4510,14,109,89.3,,0,2.7
Washington,Clallam County,53009001500,2072,4,66,81.7,,0,3.4
