State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
West Virginia,Barbour County,54001965500,3979,15,32,79.5,,0,1.2
West Virginia,Barbour County,54001965600,3564,76,22,76.8,1500000,420.9,2.7
West Virginia,Barbour County,54001965700,5276,22,19,80.3,,0,0.8
West Virginia,Barbour County,54001965800,3770,7,23,74.1,,0,0.8
West Virginia,Berkeley County,54003971101,4614,279,180,85.7,,0,9.9
West Virginia,Berkeley County,54003971102,8554,203,195,85.7,,0,4.7
West Virginia,Berkeley County,54003971201,9837,491,366,86.2,,0,8.7
West Virginia,Berkeley County,54003971202,5845,54,65,85.5,,0,2.0
West Virginia,Berkeley County,54003971300,8363,1020,458,81.4,,0,17.7
West Virginia,Berkeley County,54003971400,8890,813,273,77,,0,12.2
West Virginia,Berkeley County,54003971500,3660,524,160,79,370465.2,101.2,18.7
West Virginia,Berkeley County,54003971600,4546,585,298,77.7,906283.35,199.4,19.4
West Virginia,Berkeley County,54003971700,5416,574,277,79,484569.65,89.5,15.7
West Virginia,Berkeley County,54003971800,8175,69,148,84.6,,0,2.7
West Virginia,Berkeley County,54003971900,9879,738,447,78,15924,1.6,12.0
West Virginia,Berkeley County,54003972000,11756,1241,624,83.4,4000,0.3,15.9
West Virginia,Berkeley County,54003972101,4924,161,142,79.3,,0,6.2
West Virginia,Berkeley County,54003972102,9710,482,328,78.2,,0,8.3
West Virginia,Boone County,54005958200,4185,4,21,82.9,,0,0.6
West Virginia,Boone County,54005958300,3992,10,14,82.1,,0,0.6
West Virginia,Boone County,54005958400,2145,3,24,80.9,,0,1.3
West Virginia,Boone County,54005958501,3238,9,11,87.1,,0,0.6
West Virginia,Boone County,54005958502,3746,45,15,83.3,3550000,947.7,1.6
West Virginia,Boone County,54005958600,2153,5,5,77.7,,0,0.5
West Virginia,Boone County,54005958700,2042,2,3,78.7,,0,0.2
West Virginia,Boone County,54005958800,3128,44,4,72.3,,0,1.5
West Virginia,Braxton County,54007967900,5303,22,26,80.5,,0,0.9
West Virginia,Braxton County,54007968000,4596,13,16,80.6,,0,0.6
West Virginia,Braxton County,54007968100,4624,24,25,76.1,,0,1.1
West Virginia,Brooke County,54009031101,5213,106,39,78.4,87152.53,16.7,2.8
West Virginia,Brooke County,54009031102,4513,11,25,78.2,,0,0.8
West Virginia,Brooke County,54009031200,3308,9,20,84.3,3700,1.1,0.9
