State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Wisconsin,Adams County,55001950100,2973,3,28,95.9,,0,1.0
Wisconsin,Adams County,55001950201,1379,5,24,90.9,,0,2.1
Wisconsin,Adams County,55001950202,2674,9,63,91.4,,0,2.7
Wisconsin,Adams County,55001950400,4767,50,152,88.9,631191.41,132.4,4.2
Wisconsin,Adams County,55001950501,1469,4,29,91.1,,0,2.2
Wisconsin,Adams County,55001950502,4112,514,400,87.2,327951,79.8,22.2
Wisconsin,Adams County,55001950700,3501,26,87,88.2,,0,3.2
Wisconsin,Barron County,55005000100,3829,14,37,92.2,,0,1.3
Wisconsin,Barron County,55005000200,3933,12,85,92.5,294795.66,75.0,2.5
Wisconsin,Barron County,55005000300,4215,4,56,90.3,903183,214.3,1.4
Wisconsin,Barron County,55005000400,5465,303,192,82.4,485647.58,88.9,9.1
Wisconsin,Barron County,55005000500,4242,18,73,84.6,,0,2.1
Wisconsin,Barron County,55005000600,6182,14,176,80.2,438388.96,70.9,3.1
Wisconsin,Barron County,55005000800,5435,11,91,87,342945,63.1,1.9
Wisconsin,Barron County,55005000900,5123,11,74,87.1,182600,35.6,1.7
Wisconsin,Barron County,55005001001,1874,2,9,90.9,,0,0.6
Wisconsin,Barron County,55005001002,5572,8,69,90.4,,0,1.4
Wisconsin,Brown County,55009000100,2690,178,323,78.3,2694341.32,1001.6,18.6
Wisconsin,Brown County,55009000200,5963,220,282,89.9,32721,5.5,8.4
Wisconsin,Brown County,55009000302,4553,213,312,86.6,37114.4,8.2,11.5
Wisconsin,Brown County,55009000303,2811,131,130,87.4,10000,3.6,9.3
Wisconsin,Brown County,55009000401,4632,164,393,85.6,158025.31,34.1,12.0
Wisconsin,Brown County,55009000402,2343,20,91,93.8,,0,4.7
Wisconsin,Brown County,55009000500,2953,170,276,86.2,1601562.73,542.4,15.1
Wisconsin,Brown County,55009000600,4097,48,147,92.9,16270,4.0,4.8
Wisconsin,Brown County,55009000700,4945,133,416,87.8,245602.77,49.7,11.1
Wisconsin,Brown County,55009000800,1835,202,296,75.9,3411044.72,1858.9,27.1
Wisconsin,Brown County,55009000900,4029,145,1653,80.3,1454425.38,361.0,44.6
Wisconsin,Brown County,55009001000,1538,118,91,80.8,9842833.3,6399.8,13.6
Wisconsin,Brown County,55009001100,2081,108,641,78.6,653992.22,314.3,36.0
Wisconsin,Brown County,55009001200,2323,267,607,74.1,1826597.81,786.3,37.6
Wisconsin,Brown County,55009001300,3022,102,354,85,900684.61,298.0,15.1
