State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Wyoming,Albany County,56001962700,3368,10,308,84.3,,0,9.4
Wyoming,Albany County,56001962800,3285,22,453,83.4,,0,14.5
Wyoming,Albany County,56001962900,1809,17,465,79.3,50000,27.6,26.6
Wyoming,Albany County,56001963000,2509,42,328,75.3,175502,69.9,14.7
Wyoming,Albany County,56001963100,7020,92,444,78.4,,0,7.6
Wyoming,Albany County,56001963400,3498,56,224,80,814524,232.9,8.0
Wyoming,Albany County,56001963500,2826,59,123,66.7,,0,6.4
Wyoming,Albany County,56001963600,4617,36,280,80.3,,0,6.8
Wyoming,Albany County,56001963700,5226,52,487,78.7,,0,10.3
Wyoming,Albany County,56001963900,2141,4,90,74.1,,0,4.4
Wyoming,Big Horn County,56003962600,2542,6,174,81.4,19313,7.6,7.1
Wyoming,Big Horn County,56003962700,3555,10,369,79.3,54993.24,15.5,10.7
Wyoming,Big Horn County,56003962800,5571,9,441,81.2,25000,4.5,8.1
Wyoming,Campbell County,56005000100,8924,10,481,74.6,,0,5.5
Wyoming,Campbell County,56005000200,6441,26,418,78.9,,0,6.9
Wyoming,Campbell County,56005000300,5487,24,520,78.7,,0,9.9
Wyoming,Campbell County,56005000400,4394,14,614,74.6,48385.59,11.0,14.3
Wyoming,Campbell County,56005000500,6365,21,384,82.3,,0,6.4
Wyoming,Campbell County,56005000600,5694,15,592,78.1,286674.57,50.3,10.7
Wyoming,Campbell County,56005000700,8828,24,602,75,,0,7.1
Wyoming,Carbon County,56007967600,2326,36,286,75.2,,0,13.8
Wyoming,Carbon County,56007967700,4413,35,1139,80,23509,5.3,26.6
Wyoming,Carbon County,56007967800,4326,29,1030,84.1,102723.39,23.7,24.5
Wyoming,Carbon County,56007968000,3181,0,147,78.9,,0,4.6
Wyoming,Carbon County,56007968100,1639,9,66,76,,0,4.6
Wyoming,Converse County,56009956400,4979,8,348,79.3,147482,29.6,7.2
Wyoming,Converse County,56009956500,2807,14,201,74.1,,0,7.7
Wyoming,Converse County,56009956600,3194,8,163,78.3,,0,5.4
Wyoming,Converse County,56009956700,2853,13,155,75.7,,0,5.9
Wyoming,Crook County,56011950200,4481,8,107,79.2,49950,11.1,2.6
Wyoming,Crook County,56011950300,2602,6,34,85.6,,0,1.5
Wyoming,Fremont County,56013000100,3973,8,201,79.1,150000,37.8,5.3
Wyoming,Fremont County,56013000200,3595,5,155,83.3,233082,64.8,4.5
Wyoming,Fremont County,56013000300,4422,6,166,80,24352.73,5.5,3.9
Wyoming,Fremont County,56013000400,1803,11,25,82.4,,0,2.0
Wyoming,Goshen County,56015957700,1796,5,62,80.8,,0,3.7
Wyoming,Goshen County,56015957800,3577,17,437,74.1,275000,76.9,12.7
Wyoming,Goshen County,56015957900,4861,45,432,81.2,49000,10.1,9.8
Wyoming,Goshen County,56015958000,3015,3,357,76.8,,0,11.9
Wyoming,Hot Springs County,56017967800,2956,7,64,80,981035,331.9,2.4
Wyoming,Hot Springs County,56017967900,1856,5,41,83.6,,0,2.5
Wyoming,Johnson County,56019955100,2475,1,79,84,25000,10.1,3.2
Wyoming,Johnson County,56019955200,6094,13,197,84.7,49000,8.0,3.4
Wyoming,Laramie County,56021000200,4588,230,1325,77.6,895618.53,195.2,33.9
Wyoming,Laramie County,56021000300,3769,173,948,76.2,314267.22,83.4,29.7
Wyoming,Laramie County,56021000401,4626,63,731,78.6,41507,9.0,17.2
Wyoming,Laramie County,56021000402,5108,121,1056,77.2,56013.66,11.0,23.0
Wyoming,Laramie County,56021000501,8164,210,1168,78.5,,0,16.9
Wyoming,Laramie County,56021000600,5968,134,900,77.7,530991.22,89.0,17.3
Wyoming,Laramie County,56021000700,4338,139,693,79.5,5421142.46,1249.7,19.2
Wyoming,Laramie County,56021000800,1835,32,191,82.8,9268.94,5.1,12.2
Wyoming,Laramie County,56021000900,2768,34,227,81.5,55356.34,20.0,9.4
Wyoming,Laramie County,56021001000,3026,129,498,72.8,431206.41,142.5,20.7
Wyoming,Laramie County,56021001100,3072,217,347,72.7,,0,18.4
Wyoming,Laramie County,56021001200,5030,80,285,85.9,,0,7.3
Wyoming,Laramie County,56021001300,7079,71,636,87.1,12474,1.8,10.0
Wyoming,Laramie County,56021001401,3984,63,501,79.6,30149,7.6,14.2
Wyoming,Laramie County,56021001402,2516,66,212,80.5,,0,11.0
Wyoming,Laramie County,56021001501,4765,120,497,80.1,119829.56,25.1,12.9
